Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_1f78b-9da6e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_38ced-63877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_be8b0-b4ff9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_aa4e9-b2d76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_38cd5-74aa5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7b6b5-3628a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_de340-774c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0e060-e599a,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
rev_ce8c1-98d65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2c815-955e1,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0
rev_1877d-51a4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8c72f-181d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_65b4e-bb2a8,1,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0
rev_82784-012d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_58c73-68224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0ebd0-6e1ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_de8fb-358c8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_08783-7bac5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_01b9c-2956e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_78d7e-3fe07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_54f3a-0423b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c2d33-9f357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2f8b3-3cbd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7e96e-b0bee,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0
rev_2ed34-3dd80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_24e9d-2936d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_73fa4-b997c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_53627-9ad4f,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_69e46-b7144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_737c1-36965,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
rev_6ac39-7e3de,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0
rev_58b30-a6f87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_006aa-f20ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f096a-d87b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_68656-ffdea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0b2be-435f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_170fa-55399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4ad71-3458d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1df12-911ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d55a8-aa25e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_12719-d5e7e,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_24fa7-2243c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_16dcd-dc737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6ccd9-ec250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3a550-51426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cbe02-42ea6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_06e88-b1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d173f-fa3df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_54c59-df08f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_66a2c-bb227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_65383-1d981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_12e2f-78664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5a579-e5f0c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7942e-b3ddb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_18ecf-0ffbe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_24c97-d5316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e3a82-62771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1345e-20865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_69806-d5ad1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_09fa4-311be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_247aa-2be2f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e5d5c-b5a19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b4929-d004f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e0796-1a170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_131cf-50e97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ba6a8-61e0a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f4ab1-4299f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_78923-1a586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_20e13-ef050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b3d60-f5028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c43c8-c5cc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4ac17-b65c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b98b2-58030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_58030-0c2f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_58030-e96a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e96a9-8825e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5a65f-8eb01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_14c3e-67cb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_67cb8-201f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_39ff0-b665a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b665a-ea978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_99bb7-aff17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_99e9b-4732b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_676c2-1e0e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bae0b-0e30e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_32d5b-c70e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_20829-c4389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_99a99-6ffc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_94653-aaf2f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_95604-bd96b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fe769-75db3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0c01d-7dfe8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5997c-68709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2b80c-e544e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0d07b-a36ed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ac058-94516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e463c-a07d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_57920-e364a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5739e-d1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bb636-5d78c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ea99e-4e50b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b1e75-94ffc,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_4ff3d-52830,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
rev_7f294-36780,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
rev_e2bf9-71b10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d7483-474bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d141c-129a4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
rev_4abe8-24c9e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1fbac-51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1959c-daef4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
rev_fdf97-7ade8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_35572-44925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
