Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_76441-1cb3c,1,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0
rev_83fce-63d67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_560f6-7b4d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_718b6-84798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_65844-fbb3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_89653-9e74d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_923f7-a326b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3a7a9-8589d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_af64c-0ed00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c2488-58485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e938a-8842a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ea579-506b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f1e33-6d8e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f7a60-6b3c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9db51-d0a77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_279f5-519c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_613c5-95d3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_21106-b5660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_55d7a-d7cba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e2433-1f0b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ca526-431b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e3a3a-4bf14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5bed7-b81c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1ad78-d041c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c6e75-a4b97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9bb57-22f4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_da5c0-b4510,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,1,0,1
rev_1bca9-d415b,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0
rev_9b599-b699c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9c058-ec373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_01bca-41179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_afeba-624c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1548c-6494e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7cd73-fde04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_973b4-a9d62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_dbe76-483cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a9b19-03c12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5a1e2-275ae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9ab0b-14bf8,1,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0
rev_884a5-4c238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8534a-3e1ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_42eeb-1321d,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0
rev_5cb10-636a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2bca5-70c0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9dd2a-97511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_da07a-7c24f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_35a9e-c6770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_201c2-4f0f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9119c-a6053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_07bb4-04e48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_327b7-a7a84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_df982-db023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_29629-aa7aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3d806-e8d5f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_28438-ec2b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d9a6f-2e24d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a8b4e-956e6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7da72-a310d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9804b-a310d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_53854-338d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_877e4-c457c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f4427-4e7a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e3f13-c94a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2ccf3-6d8bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e682b-1cb7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cd457-bd0ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c063e-92762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_003b5-f56fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_24e6a-d10e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_154fd-400d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_03ad7-16e5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d538f-d781d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a0e95-04a22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_56016-43910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_120b2-ace24,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
rev_d8954-2f5ea,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
rev_ef438-ea52a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0aa8d-6988d,1,0,0,1,1,7,8,0,1,0,1,0,0,0,0,0,0,0
rev_cb37a-641b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_53fe3-eadf8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_230c0-e52cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ab5f9-ef667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cda1d-bd828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_086ee-fe65d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
