Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_f60e7-ea54f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3a481-78afc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a433d-a18ff,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_27419-2b65c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a2d7a-f9e7e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_043dd-8bdb6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6b541-b8f55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c98c2-039fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3dc37-34360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_feb6e-0d1a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_be30c-5baba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ee455-9132a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_71c15-6d14c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_be555-f2e1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ca6ba-553e4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2a6e4-dddb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1cc3a-8d993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7e385-7f9f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a8946-5d4e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bd12e-9b697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_30d30-45296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_eb5bd-88827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_eb177-d8fc9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b4a94-75e72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fb04c-d137c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e21eb-dc46f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a3fb6-bc963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_57edc-eee0a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ff08a-e22bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c9044-bd469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_79332-c6d9b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b946e-cb47e,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_3329e-b448c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_794b5-3cf0b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_edca1-201b3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
rev_7aefe-4560f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_01363-d7616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_98323-7757d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0b34d-5c4d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_261ee-b528c,1,0,0,0,1,2,3,2,0,0,2,0,0,0,0,2,0,0
rev_63250-b528c,1,0,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,0
rev_46a45-0129c,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
rev_9655e-14357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_dd4c5-73b26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8e8ac-d32ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_53232-4c97c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_81b51-e7fb5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_de056-27b74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_34685-89d28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_26e88-195c2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
rev_ac693-a733c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
