Merge,Parent1,Parent2,Date
cfe5845c1ca3dca5587cd087a855678fdbfd0ff7,f60e7bae,ea54fd1e,Thu Mar 06 00:00:00 GMT-03:00 2014
a2c1abbf102fd70d5b1aec419d7d925b04dbaaf7,cfe5845c,27a85b6f,Fri Mar 07 00:00:00 GMT-03:00 2014
9c18d78f68817a016e0f35855acd183b3b413889,0df451c2,f9d25a87,Tue Mar 11 00:00:00 GMT-03:00 2014
a433d7356ec03bf89035a533bbf86181566b99f1,3a4816d2,78afc9de,Wed Mar 12 00:00:00 GMT-03:00 2014
89935a2778e856ece529a9106b5535d7b169650b,a433d735,a18ffe6c,Wed Mar 12 00:00:00 GMT-03:00 2014
39c745dcfb82aa445d02b0dcdf2431dc21506946,89935a27,c7b46422,Fri Mar 14 00:00:00 GMT-03:00 2014
274192627725e1e3b9a76a0b8c640049dc45507b,39c745dc,693131a6,Thu Mar 20 00:00:00 GMT-03:00 2014
e7b6023f11c851590f02a8c46659a6885c7f6f03,27419262,2b65c8c2,Thu Mar 20 00:00:00 GMT-03:00 2014
c41c086a539637c6e043535315c958d338560722,a2d7ac13,f9e7e93e,Tue Mar 25 00:00:00 GMT-03:00 2014
634ea3fab94530ed7fc99d4d08235a67880a3473,043ddc78,8bdb6290,Wed Apr 02 00:00:00 GMT-03:00 2014
6b541931de48f181dd35cedd400e3f094d38ced3,01745d90,3ac02ef2,Tue Apr 22 00:00:00 GMT-03:00 2014
8191342194055ce5cc09dce22205e8f4e5eb1bf1,6b541931,b8f55cb0,Mon Apr 28 00:00:00 GMT-03:00 2014
3120b39eb2598517888ea0b72a49e9196952b4b2,81913421,e3ef0ee5,Tue Apr 29 00:00:00 GMT-03:00 2014
0827a8d34431a8367713c39d56fd91656fdd8cf2,0dbb0e36,13497d02,Fri Jun 13 00:00:00 GMT-03:00 2014
d53816d04e041cf8c096ecb4279895235bd6bc76,c98c25b1,039fae9a,Thu Jun 26 00:00:00 GMT-03:00 2014
52b73a5a457a2b5b3ee60a83317b6ff3d6d86f4b,3dc379d9,3436009b,Wed Sep 17 00:00:00 GMT-03:00 2014
0d1a614c6a4cb79c4d983412bf2754bc610924cf,4c1c790b,463c56aa,Tue Nov 11 00:00:00 GMT-03:00 2014
c102f97391f585b5e53c8249bfcf4f91e51ff2bc,feb6e09b,0d1a614c,Thu Nov 20 00:00:00 GMT-03:00 2014
413649fb238bfdafd900d0afe4feb8f238085c73,c2408c56,bc5565fc,Thu Jan 15 00:00:00 GMT-03:00 2015
1a12bfee08e59a010eb0a7ae3a797abf13b9f890,610915d5,09d9d6df,Fri Jan 23 00:00:00 GMT-03:00 2015
dc091719df3706995c91218f1860bfecf04fce32,be30c38f,5baba343,Wed Feb 11 00:00:00 GMT-03:00 2015
71c15efc3bc1b1ffdb421e5cddd961d5dc22a5e2,ee4552b9,9132ad6a,Tue Feb 17 00:00:00 GMT-03:00 2015
be55524021fdf87f046f549821388e980b15b126,71c15efc,6d14c05a,Tue Feb 17 00:00:00 GMT-03:00 2015
ca6ba861c8f97c14b91713800fed15b1131a3a47,be555240,f2e1ec49,Tue Feb 17 00:00:00 GMT-03:00 2015
2a6e41ad0851b6b9f4e6b941e1e055496a711a37,ca6ba861,553e45aa,Thu Feb 19 00:00:00 GMT-03:00 2015
1cc3ae20fa8d886fd0984847383d6d079c4d2c9b,2a6e41ad,dddb1104,Fri Feb 20 00:00:00 GMT-03:00 2015
3b4f3e2cac8398febb6f493925f9cc515fecbc76,1cc3ae20,8d9938e8,Fri Feb 20 00:00:00 GMT-03:00 2015
7e385e635e55090bb478a039a1c7ee39cac19485,3b4f3e2c,b0ed3401,Sat Feb 21 00:00:00 GMT-03:00 2015
6d03c16a3df2d5583eeb9cced78c5d3509ec2f0a,7e385e63,7f9f5df0,Mon Feb 23 00:00:00 GMT-03:00 2015
bd12efade197d26d0f97edd19e76bce3fec104d4,a8946de7,5d4e5c04,Wed Mar 04 00:00:00 GMT-03:00 2015
e4aec4be44874b417a2cac9d1df0626d3c9c9e28,bd12efad,9b6971ab,Sun Mar 08 00:00:00 GMT-03:00 2015
92eb0ace4b9454ae10b370b23e3fc757dd4b4861,e4aec4be,cb483dcc,Tue Mar 10 00:00:00 GMT-03:00 2015
18901b10a9463d0230c3fb36141bb9b74008ee2a,92eb0ace,901a4368,Wed Mar 18 00:00:00 GMT-03:00 2015
7c4f333024f7c7066622626340ee5a51932f204c,18901b10,73189ea8,Thu Mar 19 00:00:00 GMT-03:00 2015
30d30928b618d569a0d10ac359773f2cec6a3165,b4e6476f,22ac188c,Mon Mar 23 00:00:00 GMT-03:00 2015
5a854ed68029755cdddf1500f707b752e6def342,30d30928,452965fd,Tue Mar 24 00:00:00 GMT-03:00 2015
1fed4911f374f5712d39bc59f2776b6b65871ab2,077b9e13,54f5da13,Wed Mar 25 00:00:00 GMT-03:00 2015
faf25670332e0ce1b1c8dfd80a020c7035e5003d,1fed4911,6340305e,Thu Mar 26 00:00:00 GMT-03:00 2015
addbaaa736801c3e624bab61455dfd524aebb8eb,f89c1800,2bd934c1,Sun May 10 00:00:00 GMT-03:00 2015
eb5bdfee300208d153e7f5c5ee3a9a0398bc8612,addbaaa7,e81590b4,Wed May 20 00:00:00 GMT-03:00 2015
2a52c4e1f6f6cbbe57a5afc57e35bed0d4cf58af,eb5bdfee,88827361,Thu May 21 00:00:00 GMT-03:00 2015
ba784bbb378397850facddfe7fc1123be5c42344,2a52c4e1,5a0ed121,Tue May 26 00:00:00 GMT-03:00 2015
1b8e3972dd24d151c2a8928d754f239555dbba08,ba784bbb,2aa8eaeb,Fri May 29 00:00:00 GMT-03:00 2015
bcdeb5d7f32efbcaf4df0b2b90732dc59093e7dc,1250ae41,9270d97c,Fri Jul 03 00:00:00 GMT-03:00 2015
d3237454215bdac6a8e046ecf9ed82de0833db93,bcdeb5d7,75a5a802,Fri Jul 10 00:00:00 GMT-03:00 2015
d3c5070c345e8e687acaa153fce0b0656fed619e,d3237454,137770e6,Sun Jul 26 00:00:00 GMT-03:00 2015
