Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_6a724-92430,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_07470-19680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b0db7-3d003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a112d-186d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e9d1e-9b21e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9de1b-d8830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b48bb-1d41c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d1b30-16edb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2741e-78d8f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f8f44-9ccbc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_adf08-2486c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6076b-f09b6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f9726-6076b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
rev_7c5d4-c0e9e,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
rev_10933-c0e9e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_052e8-42d31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ed07f-f4d92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_eaf6b-43812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ad0cc-39716,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_39716-22211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
