Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_d8ca0-56315,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_34931-474dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9c92d-c13cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cee0f-396d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_52f6c-5dfdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a10ce-096b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_270e8-d0adb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cce86-9afe3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9afe3-c1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e62bf-827b6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_dd331-e2fba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e4dbe-fa829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4c904-f9aea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3e22d-92967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_44244-962be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f3f89-b804b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bba61-46efd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8dc6a-76208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_01a85-9c0dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_67828-66a55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_01a85-105a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_975de-2752e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2752e-8bffc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2b64c-e375f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6a2a0-72f21,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
rev_72f21-bef34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bef34-7c7d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_46d0f-77a61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b6d83-f6751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_22944-81d54,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
rev_bc992-6b46c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_06868-6ca46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7414e-43663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c81e6-08d4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3aa01-2e0e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_592d3-cc834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2e0e3-cc834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_60200-3ee20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fe82b-74f88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_74f88-a3d88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6407b-9edc8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7b46f-b925e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c0411-2e81a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b925e-7b46f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_60f4d-92003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ed7b6-a59eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a59eb-5a083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_412b1-18120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_18120-93b7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0d9a0-696c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5d506-fd485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_696c7-14592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7f20f-73c2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ba8af-66e5a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8af35-8b632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_75906-6b736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cd021-c18f9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_2e965-91977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e801f-5498f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6d661-989b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3f84f-47c57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_975cf-278c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e1cb1-324cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d7cac-655f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_121fc-759de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_73a8a-bae57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
