Merge,Parent1,Parent2,Date
4756591cfc8b889e97e4e9d95524e3311ab5079f,349311f9e,474dce216,Thu May 16 00:00:00 GMT-03:00 2013
cee0f3c169c2337d77334478f9c7432669d84930,9c92dbc79,c13cf8408,Thu May 16 00:00:00 GMT-03:00 2013
5dfdbff728d80863afc6dd517628fd7985fa94ca,cee0f3c16,396d5ee4a,Thu May 16 00:00:00 GMT-03:00 2013
aa80a85c504dc843d3dce037df04182097980f5d,52f6ca219,5dfdbff72,Fri May 17 00:00:00 GMT-03:00 2013
066df467a41533fb3ef944e71f96514f8cce8781,a10ce8034,096b50b67,Mon May 20 00:00:00 GMT-03:00 2013
d79914c5b02ef3c44a14e4f6e582b428fc8f3d10,270e8c197,d0adb8a03,Sun May 26 00:00:00 GMT-03:00 2013
bba61bc6729f1e191755f668df65663ce08f3706,cce86f718,9afe3d305,Sun May 26 00:00:00 GMT-03:00 2013
e640f7c8494755861b7fc0d25acbdd21df49aadf,9afe3d305,c19290588,Sun May 26 00:00:00 GMT-03:00 2013
c5c846a3b4108ea57b66af305085bd76c554bdc9,e62bf8d03,827b6fe35,Sat Jun 01 00:00:00 GMT-03:00 2013
e4dbee04600b4b0e88b7be69564fa66b0cf5ad27,dd33176fe,e2fba317a,Fri Jun 21 00:00:00 GMT-03:00 2013
4c90401d2e572690063b659689328865b20c33bb,e4dbee046,fa8293971,Sun Jun 23 00:00:00 GMT-03:00 2013
d8b08e278ed6e02ed3ee28bf2724c0b959f4e992,4c90401d2,f9aeab7a5,Tue Jun 25 00:00:00 GMT-03:00 2013
44244eed2c6ce6bb1e5b6ad1147dd7a193c7eefe,3e22d99c6,92967ae1a,Thu Jun 27 00:00:00 GMT-03:00 2013
33a3580e7d6aff134a022838e0cc6c60aae43f3d,44244eed2,962be66d7,Thu Jun 27 00:00:00 GMT-03:00 2013
dea11949eefde9d62d67b13bdde9b29e21475fbe,f3f89284b,b804ba802,Thu Jul 11 00:00:00 GMT-03:00 2013
105a703b77d5b878f641999f919a4c01a64cc709,bba61bc67,46efd9321,Thu Jul 11 00:00:00 GMT-03:00 2013
72c53222a2dd6840a7a2f8c028f830aa39349a0d,8dc6a1585,76208e3c0,Fri Aug 02 00:00:00 GMT-03:00 2013
31c19c2a5ef785c0d1cf8f48ffa8c61dbfc2526d,01a85778e,9c0dc0cd1,Fri Sep 06 00:00:00 GMT-03:00 2013
