Merge,Parent1,Parent2,Date
a1b898912edd486147cf10c4185b072f45d7fae5,3e078caa,6b0aa731,Fri Oct 04 00:00:00 GMT-03:00 2013
f441716c7bf9f3720d103bba8c8318013979df55,2fdd3b83,c2213deb,Sat Oct 05 00:00:00 GMT-03:00 2013
d0f3894f9606e0bc990b9f7c0049c31d7ceea674,c522f4a1,16c47a3e,Mon Oct 07 00:00:00 GMT-03:00 2013
df2ee2e382716ecc28c9b98eae593b04c93ae9b0,e89dd6e9,d0f3894f,Mon Oct 07 00:00:00 GMT-03:00 2013
7a0c2cf9cac71c29846d332268a11a2480620b7c,c2213deb,a7b8ee5b,Wed Oct 09 00:00:00 GMT-03:00 2013
bd4bd7b8599aa17cf6d96dddb9f1d443eaf2c5a8,08b10101,5f669aa4,Fri Oct 11 00:00:00 GMT-03:00 2013
9e910778216062d28c7e4ad31f20d57d474bd8a3,b0fd0084,90a0e20e,Fri Oct 11 00:00:00 GMT-03:00 2013
2e52fd2b9dc1f097c7dbd588e0342b0276d34d7f,9e910778,33175ff2,Mon Oct 14 00:00:00 GMT-03:00 2013
83a17e50fc6f1ea5fb3627a7adb675a65baa6bd5,2e52fd2b,21a435aa,Mon Oct 14 00:00:00 GMT-03:00 2013
242ad386ba18973b311cf4f46440bd067913ddd7,e01cc4a0,270c563e,Mon Oct 21 00:00:00 GMT-03:00 2013
90968fb91a3387ba3cb2a58aedda85fe1ddb3dca,e16ff70b,3c3bb28c,Wed Oct 23 00:00:00 GMT-03:00 2013
583486c4f8439e176f947a0e76609fc88054aed3,90968fb9,a1d2050a,Wed Oct 23 00:00:00 GMT-03:00 2013
071c65fc074aaa1f7d72c11d35d4fb6f6aa41349,3710d4be,f8eaf72d,Thu Oct 31 00:00:00 GMT-03:00 2013
7bb9120ae50f4bc40b46f14a340c358508d49585,071c65fc,e52ab2a6,Fri Nov 01 00:00:00 GMT-03:00 2013
68047a65f6db7ecf7f77e1e9830d167ec9182087,ff7d06cc,7bb9120a,Fri Nov 01 00:00:00 GMT-03:00 2013
a6e608654e25020fa53dc5043262bb1b2a592635,dc0d4c68,374e6135,Mon Nov 11 00:00:00 GMT-03:00 2013
f64791c57c336dcb973ad2b9f556a96f62c3d5f1,a6e60865,22d78046,Mon Nov 11 00:00:00 GMT-03:00 2013
db974f5a45b3f0ac4928450d75b218d4997898f7,f64791c5,04f95111,Mon Nov 11 00:00:00 GMT-03:00 2013
9cb5378d1ef02b397f8eb29425194ace11dba179,f64791c5,f5565cc3,Mon Nov 11 00:00:00 GMT-03:00 2013
a46dea8de3ae8ebc861c463ac651d969f7651d33,9cb5378d,78ca1e43,Tue Nov 12 00:00:00 GMT-03:00 2013
067583d565a1bc28d2134838fd1ca74a77a542ac,2877c2b0,a46dea8d,Sat Nov 16 00:00:00 GMT-03:00 2013
bf41550272617071442c27cc6209fd7b5e98cfca,d28dc927,a46dea8d,Mon Nov 18 00:00:00 GMT-03:00 2013
08299586ab3b2f226b26af310c97ed16521fe7e5,a46dea8d,ecba1bb6,Wed Nov 20 00:00:00 GMT-03:00 2013
9f5ed584267d4c09ed5ec2f66c7075a682e1a10b,08299586,4faa4b17,Thu Nov 21 00:00:00 GMT-03:00 2013
8162a36b4ae5fcfc5fab757dd42915f97cc86cb5,09be236b,be2c9467,Thu Nov 21 00:00:00 GMT-03:00 2013
82cfba10696f373902c08664278e030f2afe0d15,c82e0d2f,39f04426,Thu Nov 21 00:00:00 GMT-03:00 2013
576677c2a2010e7cf7699fbbde6758a73c2ed0dd,97e69a3a,d3887063,Tue Nov 26 00:00:00 GMT-03:00 2013
0c5af17dac8e31a3ce9f48b0a540164ecca3f6af,067583d5,9bdb1678,Tue Dec 03 00:00:00 GMT-03:00 2013
b47febd9e6328c35770224dc5a26b695a984b921,576677c2,0c5af17d,Tue Dec 03 00:00:00 GMT-03:00 2013
4e15f36d39f5b02854f2ed01fd82ada6c4ce5481,32cca138,03ecc751,Wed Dec 04 00:00:00 GMT-03:00 2013
d3a2882fab77bc280400df83de92f9d4f3f754c1,634a3911,9e501cda,Thu Dec 05 00:00:00 GMT-03:00 2013
3c02ce01a9182e6f50828e3a2a2c4587d0305a31,d3a2882f,237f15ce,Fri Dec 06 00:00:00 GMT-03:00 2013
dca11da277ccc7bdaa5103d664d149f22d21ca0d,3c02ce01,4e709dd3,Tue Dec 10 00:00:00 GMT-03:00 2013
acfdc55baa2391bba8e8ade0b49073e87794e7b0,73f8f597,1f42973e,Sun Dec 15 00:00:00 GMT-03:00 2013
