Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_cb5c9-6339d,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
rev_55458-adcfc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0fb7a-23e10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b0bc7-409a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_07faf-3a18d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e3f50-77a7f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_77a7f-e3f50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_91792-8b227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_01c39-3b407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_45910-fc494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_17955-57d5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3afed-a0540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6de4d-5378c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8c2d8-a12cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e976b-a12cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_866af-c7c21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a1366-a9d14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b4f3d-8347b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_55511-eed83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_84438-777f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e8ee2-e9def,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8e4bb-b8e32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_092c4-28c39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_59d9b-9dc03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0f057-0dc08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f2f8c-e7eb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
