Merge,Parent1,Parent2,Date
a4761a435eadde0a278ca14e7f2882d25bdcdb47,cb5c900d,6339db59,Tue Jun 26 00:00:00 GMT-03:00 2012
d92a976d49ca106494e0a95b7fb34c9f99871c6f,55458e0b,adcfc51b,Tue Jun 26 00:00:00 GMT-03:00 2012
33cec31ea1c3796065599469a49ab30060270855,0fb7a9ea,23e10fbd,Thu Jul 05 00:00:00 GMT-03:00 2012
e8a663dcfbf871d027c3027511068b61384e9e6b,b0bc70cd,409a5bb3,Fri Jul 06 00:00:00 GMT-03:00 2012
daeb0ce74780d01716968ebf931043afb783b639,07faf17e,3a18d3a4,Sat Jul 07 00:00:00 GMT-03:00 2012
91792cfd169ad27950c406c157b229169ad95877,e3f50589,77a7f5f0,Mon Jul 09 00:00:00 GMT-03:00 2012
8b227293e1f40bd15f64f538fce8188b67947c83,77a7f5f0,e3f50589,Mon Jul 09 00:00:00 GMT-03:00 2012
01c39fb7d75893a1d59e4d7f2104a8467103d68c,91792cfd,8b227293,Mon Jul 09 00:00:00 GMT-03:00 2012
3afed00124efde32be3e03d1214a5d01456bf830,01c39fb7,3b407ee4,Tue Jul 10 00:00:00 GMT-03:00 2012
57d5b784c17b1c1b412531abc624e3537a8753eb,45910265,fc4942d6,Tue Jul 10 00:00:00 GMT-03:00 2012
597c14e6e7c5a16e8a1290112828b5a07d66231b,17955025,57d5b784,Wed Jul 11 00:00:00 GMT-03:00 2012
6de4d1ecab25cd4e18fac77d7a57b148d63a7dba,3afed001,a0540f21,Wed Jul 11 00:00:00 GMT-03:00 2012
e976b7c7b5ce48d5123f37ff1cdb37b10cb2d36b,6de4d1ec,5378cd1b,Tue Jul 17 00:00:00 GMT-03:00 2012
55511fb67433c9c9ef52d736ec86b817cc8f76ee,8c2d824f,a12cc40d,Fri Jul 20 00:00:00 GMT-03:00 2012
866af83a859ba3136a5dc458562c5f937c01d6c6,e976b7c7,a12cc40d,Fri Jul 20 00:00:00 GMT-03:00 2012
a13663d4b75d0c92a65b2cb57c57bc1316570fec,866af83a,c7c210ee,Wed Jul 25 00:00:00 GMT-03:00 2012
0fced7a479671b00e1ac6d282ac5b990be87c1ab,a13663d4,a9d145fb,Thu Jul 26 00:00:00 GMT-03:00 2012
c15f33ce3ab968350421a1edf633069e62beb1da,a9d145fb,7a4af54d,Thu Jul 26 00:00:00 GMT-03:00 2012
ef6740420b7f6888203315b3303071f8a9336d6f,b4f3d417,8347bd2f,Thu Jul 26 00:00:00 GMT-03:00 2012
