Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_d4a44-a2f13,1,0,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
rev_48573-a0dff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a0dff-94c1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fe10a-c9305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c9305-3467e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_30ae9-8a7a6,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
rev_8a7a6-ab9b8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3e7dc-cca45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7e1c9-da328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9002e-58271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7772d-f8041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_23e96-48b27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d7db3-eb395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0ecdc-3d49a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1859b-b823a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1793a-14716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c6c79-4a0b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4a0b2-1ddb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f610b-8a318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8a318-b3970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4f21e-6446e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6446e-8a9e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0a51d-2c464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_454b6-3777a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_97415-cd349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_59eb4-3facb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2c464-454b6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9004a-a59ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_27fdb-bd448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_03227-23aed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_08f84-17631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d1ad6-ddce2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ba4b2-14942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_86fec-5d6ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a59ff-ba4b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3a91d-65210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6be3d-bcf71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b1cce-66f34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9a0d5-d299b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a3473-dc3ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b9b1f-212bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
