Merge,Parent1,Parent2,Date
797892122bf0b50b7f23f1088745569c8ff8bdf8,485732998,a0dff9cfa,Fri Oct 18 00:00:00 GMT-03:00 2013
c930585671f2cfe01bda9f313100ce8eb15fa047,a0dff9cfa,94c1e2827,Thu Oct 17 00:00:00 GMT-03:00 2013
a3bf3fce4989bbf9c1f000b6dd6a6c08d9882af5,fe10a5d2c,c93058567,Fri Oct 18 00:00:00 GMT-03:00 2013
8a7a6fd1f4090d0e63a0e2cba033a227de427486,c93058567,3467e8eae,Thu Oct 17 00:00:00 GMT-03:00 2013
ab9b84a867244703cd73625b8de61ea8eb480d5e,30ae9a376,8a7a6fd1f,Fri Oct 18 00:00:00 GMT-03:00 2013
3e7dc9dd0e5f6a1693e6e96baf50faa595c52a60,8a7a6fd1f,ab9b84a86,Thu Oct 17 00:00:00 GMT-03:00 2013
da3281c1ea12b47edc79cd277d61bd9aa83e3d18,3e7dc9dd0,cca455dbe,Fri Oct 18 00:00:00 GMT-03:00 2013
9002ec2922bc5b5d2aec7bbc6350284676f69ad1,7e1c90c48,da3281c1e,Fri Oct 18 00:00:00 GMT-03:00 2013
f8041e9ec925fdc6ee99e738a9be7b0b0966723b,9002ec292,58271e5a1,Fri Oct 18 00:00:00 GMT-03:00 2013
9c093659d1d30766719cd5e1a0be83d3927e2403,7772db1fd,f8041e9ec,Fri Oct 18 00:00:00 GMT-03:00 2013
d7db3030d3597abeda9e112940b1ca95049a5eb7,23e96e2f3,48b274d12,Fri Oct 18 00:00:00 GMT-03:00 2013
3d49a649f07249fe7aad560b1b96d041b558cb01,d7db3030d,eb3954bda,Fri Oct 18 00:00:00 GMT-03:00 2013
a29bd58d1c4aa052e02052904f7d46979125b586,0ecdcb0a8,3d49a649f,Mon Oct 21 00:00:00 GMT-03:00 2013
147167fe4c16202d04de171952f1dade7c96c827,1859bb545,b823a8ad2,Tue Oct 22 00:00:00 GMT-03:00 2013
4a0b2588f3711954eb45d6f2b01475ead682d77d,1793a2a30,147167fe4,Tue Oct 22 00:00:00 GMT-03:00 2013
1ddb93e0f285bfd6e73b6d5d6a48953344fa6684,c6c79306a,4a0b2588f,Thu Oct 24 00:00:00 GMT-03:00 2013
8a3181ae3951a7bdb15680821c5a35a6f272a521,4a0b2588f,1ddb93e0f,Thu Oct 24 00:00:00 GMT-03:00 2013
4f21e9d2d7234acb3269fbf336774bb441b354c7,f610b80b8,8a3181ae3,Thu Oct 24 00:00:00 GMT-03:00 2013
6446e9a080a32c5839155c245dc8e7e9627360da,8a3181ae3,b3970fb51,Thu Oct 24 00:00:00 GMT-03:00 2013
6487a9bd41902026b4f8073559a5b65d75c6418a,4f21e9d2d,6446e9a08,Thu Oct 24 00:00:00 GMT-03:00 2013
2c464c7248e5340b9578f5722391fb6bd3bae2b0,6446e9a08,8a9e8d15f,Thu Oct 24 00:00:00 GMT-03:00 2013
3777a6c90ca93ec69def5d42f4bd76e03ecad1d2,0a51d9472,2c464c724,Fri Oct 25 00:00:00 GMT-03:00 2013
cd3499fbd835a341a89c062437f65c44782aab9a,454b64d43,3777a6c90,Fri Oct 25 00:00:00 GMT-03:00 2013
9652ec669d26af9e0e9193613485c3658f75f40b,97415e2be,cd3499fbd,Mon Oct 28 00:00:00 GMT-03:00 2013
03253966e2af0a5bff7c5bfe5ce4dfac9414152e,59eb4f740,3facb98da,Tue Oct 29 00:00:00 GMT-03:00 2013
a59ffd1e1e6bd7cbff7204e317507eeae3a165db,2c464c724,454b64d43,Mon Oct 28 00:00:00 GMT-03:00 2013
27fdb5746b7044bccae510da192f810003dc618d,9004a1f09,a59ffd1e1,Tue Oct 29 00:00:00 GMT-03:00 2013
23aed295ce9835edea351a8b311883c00309d591,27fdb5746,bd448b7dd,Tue Oct 29 00:00:00 GMT-03:00 2013
6e401fa314bb9b1ca9c3a56cf3b220616bc5b192,03227ae67,23aed295c,Tue Oct 29 00:00:00 GMT-03:00 2013
ddce2959bbfab7adbecb75939f1a58f14253c718,08f84ecbf,1763128fa,Wed Oct 30 00:00:00 GMT-03:00 2013
aa0bc17d5b19a2abe45e315f87fffdeb4f4cc8ea,d1ad60a4d,ddce2959b,Wed Oct 30 00:00:00 GMT-03:00 2013
5d6ba2e1dba4f52771f5e518fc7ef86e34666c03,ba4b26679,1494246d3,Wed Oct 30 00:00:00 GMT-03:00 2013
6a1469cde2067850f5feb6c5ebcdf84ae6beb100,86fecfa8b,5d6ba2e1d,Wed Oct 30 00:00:00 GMT-03:00 2013
3a91d51a3fd8fc1a66890b21e92d1ada1c8af870,a59ffd1e1,ba4b26679,Wed Oct 30 00:00:00 GMT-03:00 2013
a34735f9641975b6469266fd67248bc5b6012c7e,3a91d51a3,65210afb4,Wed Oct 30 00:00:00 GMT-03:00 2013
edc934ef6092f1e2417e5cebbf1b41a03868b14f,6be3dbeef,bcf7164ae,Thu Oct 31 00:00:00 GMT-03:00 2013
c6442dbb66d3bfaa5a6b9f980b912ac43fbf86bc,b1cce1b57,66f34477e,Thu Oct 31 00:00:00 GMT-03:00 2013
fb749e207747ecb6426beb48f3db42382ec436b4,32a541da1,c6442dbb6,Thu Oct 31 00:00:00 GMT-03:00 2013
dc3ee0ef2e407580e67e6f68169d3424df645a0a,9a0d513a6,d299b9957,Thu Oct 31 00:00:00 GMT-03:00 2013
b9b1fb8818d44883170dcd47e08700444afb5f5d,a34735f96,dc3ee0ef2,Thu Oct 31 00:00:00 GMT-03:00 2013
14b7f17f48b250b6f40880f245110546f754920c,b9b1fb881,212bc504e,Thu Oct 31 00:00:00 GMT-03:00 2013
c7644c242216138925fa19f15fc0cf732b6dccd3,9e8c58a37,14b7f17f4,Fri Nov 01 00:00:00 GMT-03:00 2013
0b1c3d70faee7151c2c8494da12b3099644c577a,044edfbe0,ba18e53c8,Fri Nov 01 00:00:00 GMT-03:00 2013
573869f159bdc1612d88908e5155686cbcd6c7e7,14b7f17f4,ba18e53c8,Fri Nov 01 00:00:00 GMT-03:00 2013
03887f4a909de8944f747e2dd991f6ab38342bf1,573869f15,0b1c3d70f,Fri Nov 01 00:00:00 GMT-03:00 2013
6411a87c35170b90cb560440555c5684c5bd2a40,03887f4a9,ef2062a77,Sun Nov 03 00:00:00 GMT-03:00 2013
1036223d5257b2da7dde0a1aece3a4d3c4569fa3,5eb2ef9f6,59655716f,Mon Nov 04 00:00:00 GMT-03:00 2013
dbe49e335da9195e6d0d9f1b6c0aa03713eee731,13bb61a7b,1036223d5,Sun Nov 03 00:00:00 GMT-03:00 2013
014e1cc7194d79ad5835f3c3d382fa7f88c208e1,1036223d5,6411a87c3,Mon Nov 04 00:00:00 GMT-03:00 2013
f84b87e7a77d40e54ec5850a399aa672d81e1b3c,59655716f,6411a87c3,Tue Nov 12 00:00:00 GMT-03:00 2013
06d12eb849780411a3cec61aaaa507e4a1010d61,4d57f42b9,9007aa123,Tue Nov 12 00:00:00 GMT-03:00 2013
744a687d8921c8209c594fa88f205ce2cd2be6b8,6411a87c3,7dcb1f3a9,Tue Nov 12 00:00:00 GMT-03:00 2013
bc0693d6f96c18a9732b9a5ead73d75cb65c6743,430fb101f,2c464c724,Thu Nov 14 00:00:00 GMT-03:00 2013
2182cf3e5bf162ca048f741646cae4e9fec30048,bc0693d6f,744a687d8,Thu Nov 14 00:00:00 GMT-03:00 2013
2c763f92704a85e044c370bdbb80c658e971defd,dbe49e335,15ab533a2,Wed Nov 13 00:00:00 GMT-03:00 2013
868911a7dd21530bbf1d796a8f9671f0eb802c28,744a687d8,15ab533a2,Wed Nov 13 00:00:00 GMT-03:00 2013
f2ccaab22ab6dd2218d3e57feabcd705d1ae46d5,b486b1eb0,868911a7d,Thu Nov 14 00:00:00 GMT-03:00 2013
f6c6e95d427b9753d6ade0df0e0a7cdf09dd566d,868911a7d,a94be7118,Thu Nov 14 00:00:00 GMT-03:00 2013
9d2b1bc0401875368c57ad1d0c4960d66542b2d8,f7b670a21,f6c6e95d4,Mon Nov 18 00:00:00 GMT-03:00 2013
b8888c11961212e7758e33e7f1db1a7cdbabd892,7e650ad3a,f6c6e95d4,Mon Nov 18 00:00:00 GMT-03:00 2013
40276648e957370c9db798973f32ad233fc6c452,f6c6e95d4,e51abc9de,Mon Nov 18 00:00:00 GMT-03:00 2013
da54b0d4127d2c599a503cbb9e39eb6c9783393b,b8888c119,40276648e,Mon Nov 18 00:00:00 GMT-03:00 2013
eb16c703aa56b137ce0276f8974a6fa987a0f2b2,40276648e,0359de217,Mon Nov 18 00:00:00 GMT-03:00 2013
ddb3a02b8627bf3eb3a21760f92956cbd8367b12,d1c44804c,eb16c703a,Tue Nov 19 00:00:00 GMT-03:00 2013
ca881d7bb951f0562ea31697067562d1464e1e5c,da54b0d41,eb16c703a,Wed Nov 20 00:00:00 GMT-03:00 2013
e10cb7daa06052424bd8748647934459d24a4707,dd4f05cbc,c575a4c98,Fri Nov 22 00:00:00 GMT-03:00 2013
478e5b22d1b6743116651117d3bad4e8ceda3bf7,eb16c703a,34cefca94,Thu Nov 21 00:00:00 GMT-03:00 2013
d82ba6e37cf81860ad3b78dd0e4df547bbdaae54,478e5b22d,4d13cf6d3,Thu Nov 21 00:00:00 GMT-03:00 2013
5ffa84912618986d8211ef01e96ffea0368d2355,e10cb7daa,3b454230a,Fri Nov 22 00:00:00 GMT-03:00 2013
0e35d4a3ea296e9ca2255a984ced9565945d8d54,ede840cda,d82ba6e37,Fri Nov 22 00:00:00 GMT-03:00 2013
8b3889ab928ef61d02fee2e974d2f57e89d95789,f10f2eba2,7971f6a90,Fri Nov 22 00:00:00 GMT-03:00 2013
696959f437d690ed27d43938420b0939112356d8,8b3889ab9,942ed71bf,Fri Nov 22 00:00:00 GMT-03:00 2013
f27269a2b4401ceb0512fb0960a3e307594b48bf,d82ba6e37,7971f6a90,Thu Nov 21 00:00:00 GMT-03:00 2013
e008b16fe98fea907929e2a0f45bb6b94838581c,f27269a2b,05dd90bf2,Thu Nov 21 00:00:00 GMT-03:00 2013
97654e5d5cc5872993791f69b6c9807b19dc8279,c16b1e4be,e008b16fe,Fri Nov 22 00:00:00 GMT-03:00 2013
17e2e29421ed1882758f2ba0bd995a203de7cdee,706d82658,f6119d66e,Fri Nov 22 00:00:00 GMT-03:00 2013
75607e4e5fd16c0ad9e5a68c5eee7505aa0b2c48,e008b16fe,706d82658,Thu Nov 21 00:00:00 GMT-03:00 2013
51508ef06d399adbf83413cb8146f1ae42ed7197,75607e4e5,3402d929e,Thu Nov 21 00:00:00 GMT-03:00 2013
f8abcc8dadebde50ec897a3954e6998e02158667,5be9f321c,803e23053,Fri Nov 22 00:00:00 GMT-03:00 2013
1594dd175a5ea3cf7d130965a2973415ecb0164e,51508ef06,803e23053,Fri Nov 22 00:00:00 GMT-03:00 2013
d15f9e42041a9957937fd8b274feedaf1802846d,f8abcc8da,1594dd175,Fri Nov 22 00:00:00 GMT-03:00 2013
cca101b2d2e1a5ca9c871b5b1b5d5b2dc6463385,1594dd175,d15f9e420,Fri Nov 22 00:00:00 GMT-03:00 2013
2e68b7d132df12730fb68d380f8194fa745ff2be,3881c29b6,f8abcc8da,Fri Nov 22 00:00:00 GMT-03:00 2013
885f2b98e5913548ebc64df51003f9c527627ace,3c42f43e8,4e1c82c28,Fri Nov 22 00:00:00 GMT-03:00 2013
6cc48815dbd34988c6e71d026181492c3d7c9e2b,2c763f927,885f2b98e,Sun Nov 24 00:00:00 GMT-03:00 2013
b045cdcf125dc55b517c466f07144f5a3e5bac7d,025e6d062,cca101b2d,Mon Nov 25 00:00:00 GMT-03:00 2013
d036b66c7b659eb223586377a0a15b2594896418,b045cdcf1,4e1c82c28,Mon Nov 25 00:00:00 GMT-03:00 2013
5d86d1d68375a6fac8db92dea3bd69816b768dc2,cca101b2d,025e6d062,Sun Nov 24 00:00:00 GMT-03:00 2013
2e5c0f0c2b8d943d0a31c42f9d800326c22241fb,3fab2d75c,5d86d1d68,Mon Nov 25 00:00:00 GMT-03:00 2013
ab7518a644873c58b1463671e0bca35eb38e7e54,2e0502c20,5d86d1d68,Mon Nov 25 00:00:00 GMT-03:00 2013
dc0ddddef723fbec9a28e269be92f0eb6ade60cf,5d86d1d68,3b430b37a,Mon Nov 25 00:00:00 GMT-03:00 2013
83c81ec211372d1dbbda9ac1a5a3336a0bcd9daf,ab7518a64,dc0ddddef,Mon Nov 25 00:00:00 GMT-03:00 2013
7277a3819151ccd2f2ad2564ba85d554b751005f,44ad6cb81,83c81ec21,Mon Nov 25 00:00:00 GMT-03:00 2013
6c3474c5d2768b658a8e29d7a23937b96c8203c3,9cc0fe22b,7277a3819,Mon Nov 25 00:00:00 GMT-03:00 2013
022d10a52ed41b1d78784001ff644622a3b49294,5c5a1326a,6c3474c5d,Mon Nov 25 00:00:00 GMT-03:00 2013
5d0ff55fdcbf77ffa10afd322c687bcd3e821a3a,dc0ddddef,9cc0fe22b,Mon Nov 25 00:00:00 GMT-03:00 2013
df744e7803aa38da7f9dd571e66a63dfa9662869,885f2b98e,022d10a52,Tue Nov 26 00:00:00 GMT-03:00 2013
