Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_42a6f-e4b50,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_a515a-aec39,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
rev_3da6b-014af,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_640aa-0b618,0,1,0,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0
rev_37165-473ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bd6f2-7de85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_630b0-72a24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0f820-1ec67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ce574-4a3b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a2276-63b7b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c5151-9a788,1,0,0,0,1,5,5,1,0,0,5,0,0,0,0,0,0,0
rev_d83ef-1dfa4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c8208-8c01a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1aa49-ef09d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ef09d-14108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a3fa0-3a88d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f9568-792a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5b177-4c045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3f4d4-3bac8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_abbb1-21cb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8d5d7-28886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_68694-92151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d3924-37f70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e2a46-b4c6e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_86bf2-f0597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_df032-f0597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f0597-cb515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_53439-4c625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8e9c5-13adf,1,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0
rev_b4b06-3d79c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_db6af-3d79c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3d79c-db6af,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_90d93-bd916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9b6fe-7bbb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9f4dd-1b0ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_67166-1b0ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f9876-ff13b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3b70c-f2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7be4d-9340e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9340e-434fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8cbf1-c9f44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d8bb8-b886e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b886e-58913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_05ac1-ea2f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ea2f3-9cfeb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7aab8-f82a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3bf62-228c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8be67-4bca3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_11e1a-0dd3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_08c95-0dd3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a22e0-17f3c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0dd3e-6133b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_55f22-8f0b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_88bd7-8f0b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f6ae3-8f0b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_38199-8f0b1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
rev_f9c0c-f57e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b5951-f57e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c708a-f57e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d0ab1-f57e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f57e9-56bb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b9df5-5b45a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6ef6d-5b45a,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0
rev_3da93-5b45a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bfa15-1e472,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_fe4a0-1e472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_56b60-1e472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0a4bf-2b3e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5b5a2-2b3e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c8666-1c865,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
rev_1515d-8b7f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c5e2d-86945,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_8caa3-eaa9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_289a0-37834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_75bc5-70f37,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_70f37-f2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_25f02-b272b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e0874-7679c,1,0,0,0,1,4,4,0,0,0,3,0,0,0,0,0,0,0
rev_6dadf-4c8e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ecdc8-4c8e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c4348-7cb44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ca9ac-4c8e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1d3d8-7cb44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7cb44-cf46e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_200fc-cf205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_118ff-cf205,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
rev_e017d-cf205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_10561-e6da2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_00b20-e6da2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e6da2-d70d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2b6f5-1907a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_21f0d-69a72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_748f0-d6105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0c7a2-d6105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_079d1-a7204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e1996-1a691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_975b0-13d23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c9255-13d23,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_9d56c-13d23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_77d48-13d23,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
rev_13d23-ba182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_11d75-85bc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a3e14-a9ecc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_56446-31d40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1c4c5-31d40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_165b4-651b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_886a8-e3cfe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f738e-e3cfe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ba5cf-e3cfe,1,0,0,0,1,5,9,0,0,0,5,0,0,0,0,0,0,0
rev_8150b-e3cfe,1,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
rev_7ef1a-e3cfe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8ad25-e2a91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fd603-e2a91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e2a91-372ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d40e1-05e0f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b239f-ef252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
