Merge,Parent1,Parent2,Date
473abc29ac1ffb51670ab253fbca3d24dde516d6,5b360f5b,85cef371,Sun Jan 04 00:00:00 GMT-03:00 2015
8b646d1c4fd3df99991058955c2281b5a181115a,37165268,473abc29,Mon Jan 05 00:00:00 GMT-03:00 2015
bd6f250a4abbc128bd8f9bd06ea98747f3ad424d,c7e088d8,94941e95,Mon Jan 05 00:00:00 GMT-03:00 2015
72a24a76e45bc3784114463586538cc9078502e3,bd6f250a,7de85dc0,Mon Jan 05 00:00:00 GMT-03:00 2015
5bd4ba8a4242acc367db74f09b97c08467ea8a77,630b08a1,72a24a76,Tue Jan 06 00:00:00 GMT-03:00 2015
ce57467bff3658f7092b8a4c30f2907eb176cda1,0f8200df,1ec67fb6,Tue Jan 06 00:00:00 GMT-03:00 2015
2b49d32375f1357ea5d3b53449ded089d3491480,ce57467b,4a3b2308,Tue Jan 06 00:00:00 GMT-03:00 2015
0dfeb77afac411d9531ebcb9c09f5193b39fbe2c,4a3b2308,2b49d323,Tue Jan 06 00:00:00 GMT-03:00 2015
9aeadca0122b2d70525df5c6506738b3a3d8cbaf,a227620e,63b7b5e2,Wed Jan 07 00:00:00 GMT-03:00 2015
d83efae6c470cd4ec7040b210e9a046cef1e929f,c5151d4c,9a788c37,Wed Jan 07 00:00:00 GMT-03:00 2015
c82083ac747f7696d0d3043b5e992346e888aceb,d83efae6,1dfa4285,Thu Jan 08 00:00:00 GMT-03:00 2015
8c01a2323cd6e0ced45bd7f6baf1b62e98a257a5,3bdde758,0831b361,Thu Jan 08 00:00:00 GMT-03:00 2015
5530ecdb68a3a3a3845f09c6e50e602c89272865,c82083ac,8c01a232,Sun Jan 11 00:00:00 GMT-03:00 2015
ef09d235e09dd28f43dc790b610d775c20fb0b8c,8c01a232,00805f9b,Sun Jan 11 00:00:00 GMT-03:00 2015
cb22bb0963a91eb421bf6d7c46178354232ccbd6,1aa49d9e,ef09d235,Sun Jan 11 00:00:00 GMT-03:00 2015
1cbf5df5cd3c9c32dbac0162c588b19c0d77a85b,ef09d235,1410881d,Sun Jan 11 00:00:00 GMT-03:00 2015
7f5483d0f05007ef27cdf70f1fa13d136de60df6,a3fa074e,3a88d4d4,Sun Jan 11 00:00:00 GMT-03:00 2015
f9568ab222a553a011c515b8fc6c4ef749feb2f1,3a88d4d4,7f5483d0,Sun Jan 11 00:00:00 GMT-03:00 2015
4c0457bc1443930c4796dddd5516b6eeb2c68720,f9568ab2,792a5b47,Mon Jan 12 00:00:00 GMT-03:00 2015
8d5d7e117106dc3b60ece5010b64fd6ac1bccec6,5b177fae,4c0457bc,Mon Jan 12 00:00:00 GMT-03:00 2015
