Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_4a57f-ca1ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7b78d-4a929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_79daa-c2714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9f863-4528b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bcf99-d9870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_730c1-b8b54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_68d87-77173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_72e9d-6dc43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_756ee-05381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1ea4d-07103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_518e8-64ce1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2fda9-73f15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5147a-30d45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8acf8-6d8c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b6b31-0088d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5b402-29aab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_29aab-5b402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_eb504-bac85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e3b82-f2a19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bac85-eb504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_83732-20cfc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_20cfc-83732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9b8e7-35355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4b572-6f647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_dfaa3-3a94c,1,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0
rev_0331f-1f938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b508f-f03a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ad3db-f6477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_69029-9b64b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_76bca-df084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_55242-e26d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cd3c5-87377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c1f71-10385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d1c5b-40278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_dcac4-dccd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e6119-d68aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c1cfe-f7314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ed190-a9f1d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
