File, Total_of_Conflicts, Conflicts_Inside_Methods, Methods_with_Conflicts, Conflicts_Outside_Methods, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, EditSameEnumConst, EditSameEnumConstDS, EditSameEnumConstCL, EditSameEnumConstIFP, TypeParametersList, TypeParametersListDS, TypeParametersListCL, TypeParametersListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings, InsideMethod, OutsideMethod, RenamingOrDeletion
C:\Users\Italo\Documents\paola\workspaces\workspace_tese\download\ssmerge\cloudify\revisions\rev_73143_f7be7\rev_base_2dd77\CLI\src\main\java\org\cloudifysource\shell\installer\LocalhostGridAgentBootstrapper.java, 6, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0
C:\Users\Italo\Documents\paola\workspaces\workspace_tese\download\ssmerge\cloudify\revisions\rev_73143_f7be7\rev_base_2dd77\CLI\src\main\java\org\cloudifysource\shell\installer\ManagementSpaceServiceInstaller.java, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
C:\Users\Italo\Documents\paola\workspaces\workspace_tese\download\ssmerge\cloudify\revisions\rev_73143_f7be7\rev_base_2dd77\CLI\src\main\java\org\cloudifysource\shell\rest\RestAdminFacade.java, 5, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0
C:\Users\Italo\Documents\paola\workspaces\workspace_tese\download\ssmerge\cloudify\revisions\rev_73143_f7be7\rev_base_2dd77\cloudify\package_build\gigaspaces\src\java\com\j_spaces\kernel\CloudifyVersion.java, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
C:\Users\Italo\Documents\paola\workspaces\workspace_tese\download\ssmerge\cloudify\revisions\rev_73143_f7be7\rev_base_2dd77\dsl\src\test\java\org\cloudifysource\dsl\CloudParserTest.java, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
C:\Users\Italo\Documents\paola\workspaces\workspace_tese\download\ssmerge\cloudify\revisions\rev_73143_f7be7\rev_base_2dd77\esc\src\main\java\org\cloudifysource\esc\byon\ByonDeployer.java, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
C:\Users\Italo\Documents\paola\workspaces\workspace_tese\download\ssmerge\cloudify\revisions\rev_73143_f7be7\rev_base_2dd77\esc\src\main\java\org\cloudifysource\esc\driver\provisioning\BaseProvisioningDriver.java, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
C:\Users\Italo\Documents\paola\workspaces\workspace_tese\download\ssmerge\cloudify\revisions\rev_73143_f7be7\rev_base_2dd77\esc\src\main\java\org\cloudifysource\esc\driver\provisioning\byon\DynamicByonProvisioningDriver.java, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
C:\Users\Italo\Documents\paola\workspaces\workspace_tese\download\ssmerge\cloudify\revisions\rev_73143_f7be7\rev_base_2dd77\esc\src\main\java\org\cloudifysource\esc\driver\provisioning\ElasticMachineProvisioningCloudifyAdapter.java, 6, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0
C:\Users\Italo\Documents\paola\workspaces\workspace_tese\download\ssmerge\cloudify\revisions\rev_73143_f7be7\rev_base_2dd77\esc\src\main\java\org\cloudifysource\esc\driver\provisioning\jclouds\DefaultProvisioningDriver.java, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
