"","Project","Merge_Scenario","has_merge_Conflict","has_build_conflict","has_integration_conflict","has_test_conflict","has_predictor","Methods_With_Conflicts","Conflicting_EditSameMC","Conflicting_EditSameMC_DS","Conflicting_EditSameFD","Conflicting_EditSameFD_DS","NonConflicting_EditSameMC","NonConflicting_EditSameMC_DS","NonConflicting_EditSameFD","NonConflicting_EditSameFD_DS","EditDiffMC","EditDifffMC_EditSameMC","EditDiffMC_EditionAddsMethodInvocation","EditDiffMC_EditionAddsMethodInvocation_EditSameMC"
"118","blueprints","rev_cb5c9-6339d",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"488","cloud-slang","rev_1bcd8-3c6a9",0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0
"762","CorfuDB","rev_0e060-e599a",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"778","CorfuDB","rev_7e96e-b0bee",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0
"785","CorfuDB","rev_6ac39-7e3de",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0
"915","CorfuDB","rev_790db-56490",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0
"1037","hdiv","rev_e6de3-a4a7d",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"1071","HikariCP","rev_da5c0-b4510",0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,1,0,1
"1203","jackson-core","rev_ac6d8-61018",0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,6,0,0
"1259","jackson-core","rev_3307b-345ca",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0
"1267","jackson-core","rev_7a7b5-958fc",0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
"1464","jackson-databind","rev_f4ef3-7db1f",0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
"1466","jackson-databind","rev_282cf-ba20f",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
"1991","javapoet","rev_b8a22-7e28c",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1
"1999","javapoet","rev_ea2ef-34bde",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"2509","okhttp","rev_4c8ce-cd165",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"3080","OpenGrok","rev_26e88-195c2",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"3412","querydsl","rev_8f0bd-3a06e",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1
"3570","restheart","rev_2e9a8-40697",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
"3581","restheart","rev_2e9a8-40697",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
"3621","retrofit","rev_610a9-07762",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,0,0
"3632","retrofit","rev_e5a67-931e2",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0
"4538","swagger-core","rev_afd26-203df",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"4625","swagger-core","rev_fc66d-ec8e4",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
"4975","webmagic","rev_b1650-c146e",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"5055","wire","rev_54e7c-bca5b",0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0
"5079","wire","rev_60735-1da54",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"5150","wire","rev_e3966-6b9e3",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"5167","wire","rev_b5b50-82961",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0
