"","Project","Merge_Scenario","has_merge_Conflict","has_build_conflict","has_integration_conflict","has_test_conflict","has_predictor","Methods_With_Conflicts","Conflicting_EditSameMC","Conflicting_EditSameMC_DS","Conflicting_EditSameFD","Conflicting_EditSameFD_DS","NonConflicting_EditSameMC","NonConflicting_EditSameMC_DS","NonConflicting_EditSameFD","NonConflicting_EditSameFD_DS","EditDiffMC","EditDifffMC_EditSameMC","EditDiffMC_EditionAddsMethodInvocation","EditDiffMC_EditionAddsMethodInvocation_EditSameMC"
"201","blueprints","rev_d725a-3b4ba",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"633","cloudify","rev_cedd7-fb655",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"736","cloudify","rev_4f0ef-2789c",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"858","CorfuDB","rev_7f294-36780",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"861","CorfuDB","rev_d141c-129a4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"864","CorfuDB","rev_1959c-daef4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"889","CorfuDB","rev_89818-3766c",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"1086","HikariCP","rev_42eeb-1321d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0
"1208","jackson-core","rev_698f3-a81cb",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"1256","jackson-core","rev_c98ff-554f8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"1257","jackson-core","rev_95019-956e0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"1258","jackson-core","rev_612f2-96642",0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0
"1279","jackson-core","rev_955e5-96faf",0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
"1372","jackson-databind","rev_c7bbb-b07c1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"1427","jackson-databind","rev_60980-7ff74",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"1435","jackson-databind","rev_817a4-85282",0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0
"1496","jackson-databind","rev_fefcf-4312a",0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
