"","Project","Merge_Scenario","has_merge_Conflict","has_build_conflict","has_integration_conflict","has_test_conflict","has_predictor","Methods_With_Conflicts","Conflicting_EditSameMC","Conflicting_EditSameMC_DS","Conflicting_EditSameFD","Conflicting_EditSameFD_DS","NonConflicting_EditSameMC","NonConflicting_EditSameMC_DS","NonConflicting_EditSameFD","NonConflicting_EditSameFD_DS","EditDiffMC","EditDifffMC_EditSameMC","EditDiffMC_EditionAddsMethodInvocation","EditDiffMC_EditionAddsMethodInvocation_EditSameMC"
"226","blueprints","rev_e0ff7-6f6ce",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"291","cat","rev_dd4f0-c575a",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"328","cat","rev_90a13-7c8ad",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"393","cloud-slang","rev_bfa15-1e472",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"428","cloud-slang","rev_77d48-13d23",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"514","cloud-slang","rev_d5f8a-cd6e2",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"590","cloudify","rev_a0efa-98f85",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"651","cloudify","rev_a229f-cee08",0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0
"771","CorfuDB","rev_de8fb-358c8",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"782","CorfuDB","rev_53627-9ad4f",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"856","CorfuDB","rev_b1e75-94ffc",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"857","CorfuDB","rev_4ff3d-52830",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"902","CorfuDB","rev_ee47f-bd0a3",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"916","CorfuDB","rev_d824e-e3811",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"1072","HikariCP","rev_1bca9-d415b",0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0
"1146","HikariCP","rev_ca046-e125d",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1167","HikariCP","rev_4a5ff-743dc",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1171","HikariCP","rev_bbe69-e4b91",0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0
"1175","HikariCP","rev_ed2cc-953b0",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1215","jackson-core","rev_1d170-8fa79",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1240","jackson-core","rev_4709c-531b4",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1348","jackson-databind","rev_f6850-23328",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1352","jackson-databind","rev_57321-b3f6f",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1358","jackson-databind","rev_2a2ae-d7a94",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1413","jackson-databind","rev_43f2f-466f7",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1438","jackson-databind","rev_690bb-8d486",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1443","jackson-databind","rev_2c9fa-34708",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1517","jackson-databind","rev_76985-1eb49",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1519","jackson-databind","rev_3975a-b0497",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1563","jackson-databind","rev_11c20-3aee5",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1568","jackson-databind","rev_87160-70d96",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
