Project,Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
blueprints,rev_6a496-ee120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_f3e8d-38c85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_f4f35-f6129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud-slang,rev_3da6b-014af,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud-slang,rev_3d79c-db6af,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CorfuDB,rev_1f78b-9da6e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dropwizard,rev_5c493-17f8a,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dropwizard,rev_7f682-cdecd,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hdiv,rev_5facf-be22e,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jackson-core,rev_e887c-9bdda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jackson-core,rev_186a6-5f04c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jackson-core,rev_0ed7e-e9fcb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jackson-core,rev_ad908-0ba22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jackson-databind,rev_50a3d-fa6f2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jackson-databind,rev_dd955-66bfe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jackson-databind,rev_bf2b2-e59a1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jackson-databind,rev_7e5f0-91e41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java-driver,rev_82027-d7a6a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-driver,rev_64079-1f65a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-driver,rev_21521-f77b0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-driver,rev_e6630-f624f,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-driver,rev_b0c30-3a602,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-driver,rev_2590e-2e811,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-driver,rev_04752-f70ef,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-driver,rev_2d611-c017b,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-driver,rev_9bc2c-b6757,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-driver,rev_9469e-1729f,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javaparser,rev_8c42b-3f150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javapoet,rev_1d7e4-e8c12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jjwt,rev_af01c-ff932,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lorsource,rev_e13aa-a7223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lorsource,rev_b3f57-f96c4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
moshi,rev_40e32-49257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neo4j-framework,rev_8cf52-5e72e,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
neo4j-framework,rev_568ad-099cc,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
neo4j-framework,rev_9fb8a-0991d,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
neo4j-framework,rev_155b7-45745,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
neo4j-framework,rev_002a6-c24d7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
neo4j-reco,rev_7f2cd-bff45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netty-zmtp,rev_2c676-b5532,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
okio,rev_755bd-7a9dd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ontop,rev_c11d8-fb305,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ontop,rev_6ee32-79cae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenGrok,rev_3dc37-34360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pac4j,rev_9dadc-1d4af,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
protostuff,rev_30395-944d2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
querydsl,rev_9c093-12909,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
retrofit,rev_90729-04f65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s3auth,rev_b5e0b-a618e,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
scribejava,rev_43ea4-fa96f,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scribejava,rev_73c29-5ee21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
spring-boot-admin,rev_2a260-f7af1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swagger-core,rev_52d21-0cd5a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swagger-core,rev_c497e-a4484,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
swagger-core,rev_0e26b-54377,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
truth,rev_a9381-5dda4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vavr,rev_cd64e-f6b41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,rev_66648-7e6e4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,rev_14949-674d9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,rev_c4e70-e29a8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XChange,rev_66b24-bb970,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XChange,rev_18f4b-b4eff,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
