Merge,Parent1,Parent2,Date
f85ee055d50a4991dac41884d2d4a12fa62f56a7,500901a2,b57f5c91,Wed Mar 04 00:00:00 GMT-03:00 2015
f20c50afc9a677031789094bef758c39a5dbbc09,e6de3f22,a4a7d038,Thu Oct 08 00:00:00 GMT-03:00 2015
bc656916e0b4f7ed806973cc9b6c44b0b3d87114,9800ae7a,8e4fedc5,Mon Oct 19 00:00:00 GMT-03:00 2015
d784c9858edef9228ef7b02af806f3d131418add,8e4fedc5,0e167009,Thu Oct 22 00:00:00 GMT-03:00 2015
c99a61a046a1cc2b7897a9866fb405ce151e1099,bc656916,d44b5ed4,Wed Dec 02 00:00:00 GMT-03:00 2015
36db112affb335944c4fb32ad5ac72b7412f0bf5,df80c65a,143a4c99,Wed Dec 09 00:00:00 GMT-03:00 2015
37926b90b9f131d724d1e6e1e1411a8745156b66,2e2158cf,b0718643,Tue Dec 15 00:00:00 GMT-03:00 2015
75a16fc14c688e6f5f16cdb4f0871cf3f252834c,37926b90,d639174b,Mon Dec 21 00:00:00 GMT-03:00 2015
32d74527fb772068c17ebfa2cf31bb12e4504122,fa9e1a9d,9878d16d,Wed Dec 23 00:00:00 GMT-03:00 2015
776206780b64ad8be4cde0c2d0eb9e0cac45aec3,4acd8dd6,4ee7a244,Wed Apr 20 00:00:00 GMT-03:00 2016
4fad4c7f2e2597b003a91486052a6d2f8ba8b916,4acd8dd6,4ee7a244,Wed Apr 20 00:00:00 GMT-03:00 2016
57ba8d725e06c53702f3e87f23f41d6843cffb92,4fad4c7f,77620678,Wed Apr 20 00:00:00 GMT-03:00 2016
0a016e0c070dc06fa87f715bf926e3b7fe05e6d9,4fad4c7f,77620678,Wed Apr 20 00:00:00 GMT-03:00 2016
afcc1d7f236219f5870902d0d7c7984958a34ba4,0a016e0c,57ba8d72,Wed Apr 20 00:00:00 GMT-03:00 2016
75d46ce1abe6f672bb3f834af3e74010f713e2a1,0a016e0c,57ba8d72,Wed Apr 20 00:00:00 GMT-03:00 2016
784e03eb3939818fd182345490f867de1a895ad9,75d46ce1,afcc1d7f,Wed Apr 20 00:00:00 GMT-03:00 2016
a6e2167462cd680a636244ea0460a7f545b5941a,e1ec996e,1c4806b2,Wed Apr 20 00:00:00 GMT-03:00 2016
2f9993190a5d9e153c693e8060ef8050f2fe2baa,e60d5c08,9191a681,Mon Apr 25 00:00:00 GMT-03:00 2016
c620070983d557e4ea74df520f8ebf28d39580e5,5facfa46,be22eefc,Wed Apr 27 00:00:00 GMT-03:00 2016
ffefc3451500990453ab930c35b6678af0292f77,0ee3d513,c252bb70,Mon May 02 00:00:00 GMT-03:00 2016
0931528d9f2f7bf42695feef7fa1b015326584ae,0ee3d513,c252bb70,Mon May 02 00:00:00 GMT-03:00 2016
296386c908e22017b993d2deb3714502a4552bb7,0931528d,ffefc345,Mon May 02 00:00:00 GMT-03:00 2016
fbc80f5320fbf39697e4191ba7ee1a9910ba715b,6f4b7cb6,f9116752,Tue May 10 00:00:00 GMT-03:00 2016
