Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_1d076-8514f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ec928-475a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_54490-fdcb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_882b7-e774d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_dc6d1-a37f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9c778-1e4a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_496f3-6b077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2768b-d0d57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_27eb3-7577b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7df7c-483e6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_33a43-85ad2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7b1d4-1c9e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_44f42-3f455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e2207-0d9cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_15138-d9995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_47927-2888f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6a860-c2843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_08446-414e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a67dd-3dced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
