Merge,Parent1,Parent2,Date
de7a4b1d685d1c70ee7a9265c043b3de51cddcba,4769c36b,8a6a8995,Sun Mar 16 00:00:00 GMT-03:00 2014
52a57370530fbdddd058e7a3e1d6e075a04ddcfd,1d076018,8514fd63,Fri Mar 28 00:00:00 GMT-03:00 2014
a9429451d3b767f7ca828c9d81cb8376924b7e41,ec928f75,475a99b4,Tue Apr 22 00:00:00 GMT-03:00 2014
af647e2d820771b25c58941e7ce8366216ef53cb,544904dd,fdcb48c5,Wed Aug 13 00:00:00 GMT-03:00 2014
4456e66ba0f356a65875edc3a849a32756dd1192,e9972871,ea603c35,Thu Aug 21 00:00:00 GMT-03:00 2014
4184b16e3d46b8d4c4fe6809160ff90859c1a2c9,3baa7d67,f58d09f6,Sat Sep 27 00:00:00 GMT-03:00 2014
42bec38d9a4bcde590e3a56d74c75b8c1debbbc1,882b7656,e774d74c,Wed Oct 08 00:00:00 GMT-03:00 2014
9c6694f14177f52b59b16c6d615c028a49aa5485,dc6d1a63,a37f08e6,Tue Oct 14 00:00:00 GMT-03:00 2014
496f3fc5d6f8dc3a10a8d87fa966008f618fe870,9c778809,1e4a20ba,Tue Oct 28 00:00:00 GMT-03:00 2014
2768bd825d8a0f360e69266ef1f0fdda449fa6ea,496f3fc5,6b0771be,Fri Oct 31 00:00:00 GMT-03:00 2014
7577b8a43271542d49162bfec20ae2177dd21c24,2768bd82,d0d570c7,Thu Nov 06 00:00:00 GMT-03:00 2014
37cdc35f5a2aac63d9b34d1680618cfff38127e0,27eb3c12,7577b8a4,Fri Nov 07 00:00:00 GMT-03:00 2014
ffd16b7e308bc2e6655aea73fe8ea513c1b2afc4,7df7c576,483e6621,Sun Nov 09 00:00:00 GMT-03:00 2014
1d97b5396e198a05a99508eaf64ece4451526a4e,33a43e1a,85ad25d9,Tue Nov 11 00:00:00 GMT-03:00 2014
9d0c8f8f9b32316c68084713db1b033db702c043,7b1d4117,1c9e1456,Mon Nov 24 00:00:00 GMT-03:00 2014
d6a05f37c58c9226652cb4e062e8d65ddaa7de1c,44f42e82,3f45560b,Fri Nov 28 00:00:00 GMT-03:00 2014
579668cc5701db10ab7ecfa4dffd6246dfdfcf19,55cfa31b,7384d06b,Fri Dec 05 00:00:00 GMT-03:00 2014
b0f217a849703a453952f93b5999c557c201a4be,e2207349,0d9cd9fa,Sun Dec 07 00:00:00 GMT-03:00 2014
301659cce90ab728fa7f19e8e4b3374c4c3af54e,b0f217a8,e1dffcc2,Tue Dec 09 00:00:00 GMT-03:00 2014
322accee786d188d2ae25d9a5721508784ecf471,15138d17,d9995147,Tue Dec 30 00:00:00 GMT-03:00 2014
c2843842b8bfd6f5b482bf7ae09a3f1ed39a20d9,47927356,2888f5d6,Mon Jan 05 00:00:00 GMT-03:00 2015
f4eba6df27b05d88dd8c779ab99578a546a71481,6a860445,c2843842,Mon Jan 05 00:00:00 GMT-03:00 2015
6567dcd14e911a7b06c142fadb931345a9570355,08446916,414e815a,Tue Jan 06 00:00:00 GMT-03:00 2015
c839ff8e92b088b611627db30dc6a3d4e075ed25,a67dd546,3dcedd2b,Sat Jan 10 00:00:00 GMT-03:00 2015
