Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_50a3d-fa6f2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ab494-23d49,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,9,0,4
rev_fc747-8de9c,1,1,0,0,1,10,11,1,0,0,1,1,0,0,0,0,0,0
rev_1060c-a5462,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
rev_7d044-184ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_72ce5-e6027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cf315-9a3bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2ba4b-c4a14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2fff9-81017,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
rev_8d6fa-354f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_31046-6b891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a00cd-06d44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_aec62-1b824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cf65e-18e21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_09bf8-a8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_953ea-97d03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_49dd1-6c737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9c802-0d3a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0bdf6-30bb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ae0d2-40f1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d9336-50a8c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4bc7a-de296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f317a-779a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1be37-c6c88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_eefb6-1e610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5fac3-b2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4309a-a818b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_62425-fd0f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e88a8-e5422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d1f58-21df3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2dde6-52dc7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9c2dc-25bec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6cf65-4865f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4e935-295d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_10ba2-c598b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6a70b-27350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e217f-6fc19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2bfcd-0f581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d9c92-11c45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_32614-d9c92,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_b11ea-46249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_17ab2-c271f,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_abbcd-bfbb6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_07969-c28f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ef5c5-ac2b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d8be8-0ac3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_76731-7c4b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4eebc-2fd20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8422f-74711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f76a7-bcccd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f6850-23328,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_655d2-edf86,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
rev_0707a-690af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_16212-3cd2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_57321-b3f6f,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_4c0de-7cf95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5614e-95267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ab3e1-6b201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_785c4-fd4eb,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
rev_2657f-afa71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2a2ae-d7a94,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_e580e-f062a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e580e-30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1842f-f16c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cdb32-d672b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_68700-ae3f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cde54-ce8be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2b642-62c08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_45bfc-6822f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3aea6-dc115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3718b-35ec0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_64319-87e46,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_5dca5-04db8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_60399-7d420,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_c7bbb-b07c1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
rev_ed66a-cb577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ede7d-531fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f9c0b-f4cde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7af42-7b90a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_df9b1-edad1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ab554-551f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_333f5-54c90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_966dd-7ec59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c5b80-5a3c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_560bd-ac041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_92360-d180b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8c36f-7fced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8c36f-74c8f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_38573-3e0d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4ad54-4dfcc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_10b5d-b15ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fbe9a-44df4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9a223-ae101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
