Merge,Parent1,Parent2,Date
72ce52f9bc894bd9ab7b42d0564a91eebd668e0f,7d0445b00,184cae3c9,Wed Feb 19 00:00:00 GMT-03:00 2014
5ad9622c4db7c43ca936580296cfdc6146a28ca7,72ce52f9b,e602790de,Wed Feb 26 00:00:00 GMT-03:00 2014
c4a1444d45dcde0f31bb8f0f72ce54a67dff9f82,cf31515dd,9a3bf6c56,Fri Mar 14 00:00:00 GMT-03:00 2014
473e5b071b59f957a3fac3a27699cfab6ecea0ef,2ba4b7fce,c4a1444d4,Fri Mar 14 00:00:00 GMT-03:00 2014
354f3008674c7ec8b106e886f31118f749ae975e,2fff97b3c,81017b9fa,Mon Mar 17 00:00:00 GMT-03:00 2014
278083beed4fbeb51e66434e23ecad73d2ad9b58,8d6fa487d,354f30086,Mon Mar 17 00:00:00 GMT-03:00 2014
907c3754b4f5343e3daab668edabf6ede4ed60a9,310466734,6b89162eb,Fri Mar 28 00:00:00 GMT-03:00 2014
96c6fb0b89c3ce1cfffb02e05d125cab4582be4b,a00cdd8d2,06d4407a0,Sun Mar 30 00:00:00 GMT-03:00 2014
6b9266d2f5b1b5e412d7179af1b078124fc4863a,aec6276a9,1b8244e28,Mon Apr 07 00:00:00 GMT-03:00 2014
a8000c3713d3c9ebf7bf5292cb15514f8e6a320c,cf65efdb7,18e2150e9,Wed Apr 30 00:00:00 GMT-03:00 2014
7b273a1c084abda3f4637f953e6d3cc18dcdf108,09bf87d53,a8000c371,Thu May 01 00:00:00 GMT-03:00 2014
49dd11abdb3c70de02655a8a4d7a3ab2c8f00e82,953eab226,97d03f66e,Thu May 15 00:00:00 GMT-03:00 2014
0d3a32657ccd3f38c76a5e51328741fb5b4b7afe,49dd11abd,6c737ebd7,Fri May 16 00:00:00 GMT-03:00 2014
2380849de74c7160694989fbf206d3d7997e66c6,9c8022eb2,0d3a32657,Fri May 16 00:00:00 GMT-03:00 2014
ae0d29ef165574434230dabda4abec5bd4fed6cf,0bdf6a201,30bb91194,Mon May 26 00:00:00 GMT-03:00 2014
d9336563fc2307262d11e96f0fb1ead0da2c5312,ae0d29ef1,40f1c93b4,Mon May 26 00:00:00 GMT-03:00 2014
3829949e6b248e9df27775e78ce30ff4758d6f38,d9336563f,50a8c4162,Tue May 27 00:00:00 GMT-03:00 2014
9e6ad2669f7e1371663a61bbd4a22bdd0e51c7a9,4bc7a739d,de29605c1,Tue May 27 00:00:00 GMT-03:00 2014
eb5f57e92a541df6a3528b9437aa9e9943732e57,f317a0fc0,779a259be,Tue May 27 00:00:00 GMT-03:00 2014
c41e792b7ab304eeb9c921151784a474766a021f,1be3747f6,c6c885964,Fri May 30 00:00:00 GMT-03:00 2014
92fe3f5678f26244f9951ad862d9f040e8837bc6,eefb6902b,1e6105690,Mon Jun 09 00:00:00 GMT-03:00 2014
d2af37379b25961cb0b31033270113b69425a214,5fac3e410,b2199542e,Sat Jun 14 00:00:00 GMT-03:00 2014
7afbca25db17e846636310ccadda904d2b5fb0f2,4309a8bc9,a818bf58c,Wed Jun 18 00:00:00 GMT-03:00 2014
9b530bf26c686e449bf7446bd4cf6082f0835441,62425ef39,fd0f1fefd,Wed Aug 13 00:00:00 GMT-03:00 2014
ee57613a589c6e5a91641eaeae968dbb547c26d2,e88a87c85,e5422d243,Wed Aug 20 00:00:00 GMT-03:00 2014
e585a8f7d1097c62901e1db368da64f1fe258981,d1f58c6dc,21df384f1,Mon Aug 25 00:00:00 GMT-03:00 2014
4865f149c9cb06a8e5d8ad6d5c750baf7b98d8ab,2dde6452a,52dc7c036,Sat Sep 13 00:00:00 GMT-03:00 2014
2e8cf4fd40d958038f1263d529da757425272a71,9c2dc3616,25bec06d7,Mon Sep 15 00:00:00 GMT-03:00 2014
8667b6da9d39d0c35aa4ebdc848c2e0e5d3d7a77,6cf6585db,4865f149c,Mon Sep 15 00:00:00 GMT-03:00 2014
ad152e158c5462e93ad679ce10e48b1074788a54,4e935cb14,295d9e425,Sat Sep 20 00:00:00 GMT-03:00 2014
6a70b50057459942adca42a397e927c586506b3f,10ba2d480,c598bf07c,Mon Sep 22 00:00:00 GMT-03:00 2014
d28c947ec0c93e0806c2785780bfda551485069e,6a70b5005,27350000a,Tue Sep 23 00:00:00 GMT-03:00 2014
234c109f27584d163b8e6a8885eec109d03304f9,e217f4349,6fc197450,Mon Sep 29 00:00:00 GMT-03:00 2014
997321812cb63b09aa3066c31a03c837d60ad732,2bfcd73b3,0f5816d5c,Fri Oct 03 00:00:00 GMT-03:00 2014
46249bdd2e33d2a57cc7bbe6840672011a785496,d9c92cd2a,11c45123b,Tue Oct 07 00:00:00 GMT-03:00 2014
b11eafa1d1137e330d7d430eb2dcf968f996a4f0,3261453c0,d9c92cd2a,Tue Oct 07 00:00:00 GMT-03:00 2014
23c749c9936e8c00f180c868ea4dbe39bf8ee9b2,b11eafa1d,46249bdd2,Wed Oct 08 00:00:00 GMT-03:00 2014
d92567f6ddcdeea3bce94b491516c5636f9dab92,17ab26bfb,c271fbc4b,Wed Oct 08 00:00:00 GMT-03:00 2014
7542a4b1310528c6249c7f4fe2b1124fa28a0761,abbcd0a6d,bfbb661eb,Tue Oct 14 00:00:00 GMT-03:00 2014
440aff0db43f3da2f93d127cfbe56a6757bd6d00,079690a03,c28f74c3c,Tue Oct 14 00:00:00 GMT-03:00 2014
0ac3e86a9e92967055d640cbddb3c6c68decf64f,ef5c5d30e,ac2b202b0,Wed Oct 15 00:00:00 GMT-03:00 2014
0b3cf995914506207682414c6c91bc23b4d7e537,d8be8adef,0ac3e86a9,Wed Oct 15 00:00:00 GMT-03:00 2014
75617a2d1e11cff3df3f43e3feae9d0a5d0f8716,76731bcf7,7c4b2fc8e,Fri Oct 17 00:00:00 GMT-03:00 2014
8422f13bdf68f0edd81b064f3f541da31ff6beab,4eebc5949,2fd20c55c,Tue Oct 21 00:00:00 GMT-03:00 2014
f76a76ea97172ba87db0da095449d7b83778db91,8422f13bd,7471116f2,Tue Oct 21 00:00:00 GMT-03:00 2014
f6850c3730715c8ca55113a0b4ad89c4bb5d6f9a,f76a76ea9,bcccd3e82,Tue Oct 28 00:00:00 GMT-03:00 2014
3f674c2bbfb578f06c3d8f80e7fc3047d55baafe,f6850c373,23328aaf2,Tue Oct 28 00:00:00 GMT-03:00 2014
2dbfab076dc97b7932789dea3d2872c367dc7da4,655d2a1c4,edf86743d,Fri Oct 31 00:00:00 GMT-03:00 2014
0ed806962e2fe28994abee5f7ca30f44a2c1575a,0707a379a,690af4ef3,Tue Nov 04 00:00:00 GMT-03:00 2014
573216bca927b9406f77d4db5e45c523d4dbb7d9,162123c41,3cd2e35b6,Wed Nov 05 00:00:00 GMT-03:00 2014
6e084552bb1bce91391a73f26bc83852e49b4832,573216bca,b3f6f6ca7,Wed Nov 05 00:00:00 GMT-03:00 2014
7cae6d1cb9de7b5ac03e009fe95d1af8936fbef6,4c0dee323,7cf95f1a9,Thu Nov 06 00:00:00 GMT-03:00 2014
b1eb8bf47f1919104daa6f29f7e90cb194549163,5614ec25b,95267b06e,Fri Nov 07 00:00:00 GMT-03:00 2014
7cfa16e07f699b651214441b66b6332c4b7f179f,ab3e1b76d,6b201f96a,Fri Nov 07 00:00:00 GMT-03:00 2014
7e62d7ed460db16a63f59e153fe0e486951fa6fb,785c4561e,fd4eb1b15,Sat Nov 08 00:00:00 GMT-03:00 2014
2a2ae590e6ee58fae8d69f86e0a404894fd93a3b,2657ff38f,afa712277,Wed Nov 12 00:00:00 GMT-03:00 2014
e1fd0e94a1657ea7668b1d34c11c411e065dac67,2a2ae590e,d7a94ed16,Wed Nov 12 00:00:00 GMT-03:00 2014
067a255b63954a3f01c5475eaf1e70fcdeb2d1ae,e580e9206,f062a1447,Tue Nov 18 00:00:00 GMT-03:00 2014
f16c95a2d1e84f49ee502b8088157c012c68bc58,e580e9206,300004b1b,Tue Nov 18 00:00:00 GMT-03:00 2014
bae052b6f001a682cc08cb2397598b99336af407,1842f60c6,f16c95a2d,Tue Nov 18 00:00:00 GMT-03:00 2014
a31670d66c1d3c89e1c82f9ab2089e26f7b8519d,cdb325791,d672b186b,Wed Nov 19 00:00:00 GMT-03:00 2014
ce8be4c5185311446eef1ecdcdbabc6acb914c88,6870021b9,ae3f7b3f3,Thu Nov 20 00:00:00 GMT-03:00 2014
04fdb6e69ebd56d69ee6e7879cd06407c0d6c849,cde54a039,ce8be4c51,Thu Nov 20 00:00:00 GMT-03:00 2014
45bfcaa5e24fc8beda91acbdecd263da40b80b84,2b642b199,62c087203,Fri Nov 21 00:00:00 GMT-03:00 2014
3aea6f59163db9ac7f453382941342cab1dc8d49,45bfcaa5e,6822f33f6,Fri Nov 21 00:00:00 GMT-03:00 2014
3718b488030a646e426da2074db52419326ef957,3aea6f591,dc115e0fa,Mon Nov 24 00:00:00 GMT-03:00 2014
64319adac1655d68f1a99447fe4b1ff8fedd4230,3718b4880,35ec0dd8c,Mon Nov 24 00:00:00 GMT-03:00 2014
e41a12a82d45225826635ce9cf355e8a59fb129a,64319adac,87e466119,Tue Nov 25 00:00:00 GMT-03:00 2014
fd294c0e6b66bd872f89f985a428916d0b522f65,5dca503ea,04db8f751,Wed Nov 26 00:00:00 GMT-03:00 2014
c7bbbe662f4ed44fa490d091b9a26e9706b5cfb9,603991b78,7d4201c67,Wed Nov 26 00:00:00 GMT-03:00 2014
def9e52a10f90120a0bf5625a3621cc2fd201f2c,c7bbbe662,b07c15297,Wed Nov 26 00:00:00 GMT-03:00 2014
9ee8c71799875b547f62b79099c0ebea78ab3369,ed66aeb1e,cb5772705,Mon Dec 01 00:00:00 GMT-03:00 2014
ed617abbaaaa2bc8c6f930aaa34812faaa17dc4d,ede7d3edd,531fac6bd,Mon Dec 01 00:00:00 GMT-03:00 2014
84ccc5d092db6b53768d99fabfe90a8542bb2697,f9c0b2f81,f4cde1154,Wed Dec 10 00:00:00 GMT-03:00 2014
df9b129db7e429b098f240f1083e06bcc0ba3cd5,7af425fcb,7b90af422,Thu Dec 11 00:00:00 GMT-03:00 2014
9144f6626adb293dc95f15e522596f27b3a52557,df9b129db,edad12f10,Thu Dec 11 00:00:00 GMT-03:00 2014
54c9097b075befe67ac54f0162bab3b7486fa098,ab554d540,551f8978c,Mon Dec 15 00:00:00 GMT-03:00 2014
884751e2e6be7667ffd806499c6ee76d638a2f51,333f5acca,54c9097b0,Tue Dec 16 00:00:00 GMT-03:00 2014
bb7738854f94d433017b8984db9ed345f3dd3438,966dd97fa,7ec59e429,Wed Dec 17 00:00:00 GMT-03:00 2014
2366fd637d83da7dae6a87f0daef311e1ca86add,c5b808b93,5a3c89e8e,Thu Jan 01 00:00:00 GMT-03:00 2015
d180bed8186b2ff2ecf699458c8dd5af8271cb8f,560bd8097,ac041f226,Wed Jan 07 00:00:00 GMT-03:00 2015
8c36f1ca593e0b99538fe898be05b851e91baefa,9236000f1,d180bed81,Wed Jan 07 00:00:00 GMT-03:00 2015
3e0d5d86702464774320f50ffafc5b4d394cfacf,8c36f1ca5,7fced7ecf,Wed Jan 07 00:00:00 GMT-03:00 2015
38573adfadc5e088ab9b73cafe9e3084eb37869a,8c36f1ca5,74c8f97db,Wed Jan 07 00:00:00 GMT-03:00 2015
bd53c76decd676f09a707d375a56a07f837527df,38573adfa,3e0d5d867,Wed Jan 07 00:00:00 GMT-03:00 2015
10b5d482c1a3f3a9a7d7ece5cd544993e6079821,4ad54cd55,4dfccd5d5,Thu Jan 08 00:00:00 GMT-03:00 2015
ccb8a4912f7abc15b02747550837fbfa3936707c,10b5d482c,b15abb7c1,Thu Jan 08 00:00:00 GMT-03:00 2015
14e9104690c71657d1a9a519f67de5f3d751e9e2,fbe9aab23,44df4d2e7,Sat Jan 10 00:00:00 GMT-03:00 2015
512d5cc176a86b1eda9a13f3a0ddcf7aeddeb06f,9a22347c1,ae101c63b,Sun Jan 18 00:00:00 GMT-03:00 2015
d8c38bb782848ed3e7d7cbd110ed8e7881fa6667,17102407f,00bb11edc,Mon Jan 19 00:00:00 GMT-03:00 2015
e8076db64c56e79623d08d19aaf4fa34db1cebb4,5c0064f60,7949d119e,Wed Jan 21 00:00:00 GMT-03:00 2015
094f6223deb7ed5b09c2b15435bd13ade282993e,00bb11edc,7949d119e,Wed Jan 21 00:00:00 GMT-03:00 2015
54cc7f441bf8e8c3b9bb231f32ecf888e8415251,e8076db64,094f6223d,Wed Jan 21 00:00:00 GMT-03:00 2015
658b5361964eb37b00ca46c53e1782420e5100ff,54cc7f441,16c5dd772,Thu Jan 22 00:00:00 GMT-03:00 2015
35201a7b115c918e6a38c449f4346741ea5f45d6,658b53619,ae3f01b8b,Thu Jan 22 00:00:00 GMT-03:00 2015
9fae2628b2e2b86660ee581fc3da731f3f1b2dcf,8f0960687,102abfbdf,Wed Jan 28 00:00:00 GMT-03:00 2015
03f63fd7eba5e3f003b86b206aed858dba2dce56,102abfbdf,d01f2070a,Sat Jan 31 00:00:00 GMT-03:00 2015
e03122b28f699c8e4acea9870147b7cf76a65f52,457caf638,206bd1c0c,Sat Jan 31 00:00:00 GMT-03:00 2015
474c010eab93ae0f151c9f6e4b86612d2e9d8ab1,e03122b28,4a9919cd1,Fri Feb 06 00:00:00 GMT-03:00 2015
7108f58092ce22fc81e31fbeb753bb2ba05fda27,474c010ea,14d979d2e,Fri Feb 06 00:00:00 GMT-03:00 2015
8c0279a028166ce753424f888b9a6abba3116625,7e507d11e,e4ece7407,Fri Feb 06 00:00:00 GMT-03:00 2015
0ba4d42ac12077374ba0a63b319b6c753f7856d1,8c0279a02,186b89d7b,Fri Feb 06 00:00:00 GMT-03:00 2015
fc7bd421d3a186859041be258c17c77222b64b42,0ba4d42ac,6290eefe9,Sat Feb 07 00:00:00 GMT-03:00 2015
4ee46750027461989533731b902177b7a1ab0580,fc7bd421d,f24064c1c,Sat Feb 07 00:00:00 GMT-03:00 2015
d22b735d95653f8a026e6c3ceae5dd9aa47953bb,605dbd661,bff35ba8b,Wed Feb 11 00:00:00 GMT-03:00 2015
7cf964ad1d1ef1f2ed7698cfcce336533c88d8a7,7fee92edc,54e23a9b8,Fri Feb 13 00:00:00 GMT-03:00 2015
618e4f34ba75a743e4dee7406fe2f5b1c174e534,7cf964ad1,195e9b5e8,Fri Feb 13 00:00:00 GMT-03:00 2015
e57b7c22a3708bc139ca87f5d2815cab8a2f564b,195e9b5e8,cc05493c6,Mon Feb 16 00:00:00 GMT-03:00 2015
84e7900a0f7c7d02c76395b58cf11590d81d6e17,618e4f34b,e57b7c22a,Mon Feb 16 00:00:00 GMT-03:00 2015
