parent1SHA;parent1BuildId;parent1BuildStatus;parent2SHA;parent2BuildId;parent2BuildStatus;mergeCommitSHA;mergeCommitBuildId;mergeCommitBuildStatus;repMergeCommitSHA;repMergeCommitBuildId;repMergeCommitBuildStatus
2fff97b3c;2;errored;81017b9fa;unknown;unknown;354f3008674c7ec8b106e886f31118f749ae975e;1;errored;unknown;unknown;unknown
f6850c373;4;errored;23328aaf2;unknown;unknown;3f674c2bbfb578f06c3d8f80e7fc3047d55baafe;3;errored;unknown;unknown;unknown
573216bca;6;errored;b3f6f6ca7;unknown;unknown;6e084552bb1bce91391a73f26bc83852e49b4832;5;errored;unknown;unknown;unknown
c7bbbe662;8;errored;b07c15297;unknown;unknown;def9e52a10f90120a0bf5625a3621cc2fd201f2c;7;errored;unknown;unknown;unknown
43f2f3158;10;errored;466f70690;unknown;unknown;0d9ab5b086bd702368d79d0cf91b7cbbe129f174;9;errored;unknown;unknown;unknown
817a45a07;12;errored;85282b163;unknown;unknown;2f7a4308f12826004b7ec9c7572b5ad656cd8bbb;11;errored;unknown;unknown;unknown
690bbaba6;14;errored;8d486dbc6;unknown;unknown;accef7169eb7f632fe920e4f49995ddefa25a611;13;errored;unknown;unknown;unknown
2c9fa0e56;16;errored;347080398;unknown;unknown;ee6a3caa1b1aa99822aad33a91310d124cde7ddb;15;errored;unknown;unknown;unknown
282cfdff0;18;errored;ba20f65c9;unknown;unknown;f87792638efcc373ad11668e4d35bd514a82462b;17;errored;unknown;unknown;unknown
25a37d7be;20;errored;abd505eeb;unknown;unknown;e1426d96743a6dac423c78b2851af90ace3ac8eb;19;errored;unknown;unknown;unknown
e592f367f;22;errored;ca6c3fc55;unknown;unknown;bf4f1bc8492f5a24cf4a9b759513fe026fb013ee;21;errored;unknown;unknown;unknown
e9b32770b;24;errored;9dbee041b;unknown;unknown;31477e4a2bc694e8390b4453ddc2a3e792f12577;23;errored;unknown;unknown;unknown
11c200b11;26;errored;3aee590e9;unknown;unknown;a49ab9a91945a6596d01b0de3a7276bffa01e751;25;errored;unknown;unknown;unknown
290f9a627;28;errored;386e9f7ba;unknown;unknown;df0408c8387ea5df95ab78185334a92a38225fc5;27;errored;unknown;unknown;unknown
