Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_92c9f-d102f,1,0,1,0,1,39,42,42,1,1,173,173,4,4,0,0,0,0
rev_82027-d7a6a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b6aa8-9a3b8,1,0,1,0,1,9,10,0,0,0,1,0,0,0,0,0,0,0
rev_a5b44-b845b,1,0,1,0,1,11,11,11,2,2,109,109,18,18,0,0,0,0
rev_3869f-01d40,1,0,1,0,1,2,2,0,0,0,3,0,0,0,0,1,0,0
rev_64079-1f65a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_21521-f77b0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e6630-f624f,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bc4f3-932e3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
rev_223c3-48e24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ca347-22323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a2337-a406a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_99e0d-a3130,1,0,0,0,1,3,3,0,0,0,2,0,0,0,0,0,0,0
rev_a3130-e8b83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5a1bb-103c8,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0
rev_103c8-1716b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ed94a-7321c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6a061-c8d0c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0404c-49019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_06e11-41456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_291d8-db7cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c0b9c-62c27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3c1b1-9d9c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0715c-f6705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_42268-f00c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7bd8d-75de2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_634ae-b9719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_95123-4e2a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7af52-0c75a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
