Merge,Parent1,Parent2,Date
64645f8d5cb2d0cecc2fd0205e1d79c782cdfe54,223c30bec,48e241a33,Mon Mar 16 00:00:00 GMT-03:00 2015
62cf2ad7250ada62990fd0519a8e3727e9aeae45,ca3477d9d,22323760d,Wed Mar 18 00:00:00 GMT-03:00 2015
b9d89cd4ef2142a89c48e7380086d51af0d2a239,a2337c344,a406a7fe8,Thu Mar 19 00:00:00 GMT-03:00 2015
5a1bb55a1f00c0dd2847a9f700baefeb113719ff,99e0d1ac6,a313058d0,Thu Mar 26 00:00:00 GMT-03:00 2015
103c8b2ddc352c1f4e38c2de16b44eb0f70a87d6,a313058d0,e8b831b7d,Fri Mar 27 00:00:00 GMT-03:00 2015
4106cdc51127c8d742ef83d3ba8b0d14d648d0d3,5a1bb55a1,103c8b2dd,Fri Mar 27 00:00:00 GMT-03:00 2015
ed94a14c82b9be44cf95e510e609bb34440b2256,103c8b2dd,1716bba6e,Fri Mar 27 00:00:00 GMT-03:00 2015
8381764b7501605d9dc8f0b183dd7ac11504ce00,ed94a14c8,7321c716c,Mon Mar 30 00:00:00 GMT-03:00 2015
d57460a512192ef748c70559cfcc4e3d90f8294f,6a061567e,c8d0cb31a,Mon Mar 30 00:00:00 GMT-03:00 2015
8980fc3c76eac9cca84a1874281b86e8efa676c3,0404c2d35,4901913af,Tue Mar 31 00:00:00 GMT-03:00 2015
291d81f62f58bc0d77f7e5c84ff75c4176cc6db8,06e11ecd4,41456d94e,Tue Mar 31 00:00:00 GMT-03:00 2015
8c219e0230ff0faae8677d9cdab249abfce176b6,291d81f62,db7ccef54,Wed Apr 01 00:00:00 GMT-03:00 2015
3c1b11952d43900345bedf525f5c80bfda066145,c0b9c84c7,62c27f71d,Fri Apr 03 00:00:00 GMT-03:00 2015
0715c61e9fc78c59661d944152098c368f8f7d7a,3c1b11952,9d9c8c4aa,Mon Apr 06 00:00:00 GMT-03:00 2015
507f15cfb4c808807123df229088792878cf4a0a,0715c61e9,f6705d838,Tue Apr 07 00:00:00 GMT-03:00 2015
1b4b8076485cfba0b1cc7fa6cc29050b1f3888b3,42268fbeb,f00c85fab,Tue Apr 07 00:00:00 GMT-03:00 2015
634ae6f06d3002ab6351df4bbe1138c4c7391161,7bd8d43b6,75de2852f,Thu Apr 09 00:00:00 GMT-03:00 2015
7af526b616abdd3141c70d504a7916153f0abb70,634ae6f06,b9719d033,Wed Apr 15 00:00:00 GMT-03:00 2015
3f325e12fb5e4496d0bae58a69780a3229436ec1,95123bfdd,4e2a50804,Fri Apr 17 00:00:00 GMT-03:00 2015
a60345fad89610cb6c9df1f553fdc42ff3200f74,7af526b61,0c75a85d8,Fri Apr 17 00:00:00 GMT-03:00 2015
6c201da9be86d3b881a7335c10f3cc948c6f6a4f,87e423de8,989a66209,Fri Apr 17 00:00:00 GMT-03:00 2015
216c26ace8fcc6a67193d87f6f72ce587e9849c5,6c201da9b,1fe4b455f,Fri Apr 17 00:00:00 GMT-03:00 2015
f861d80995a8686356ff0d0ddb61ae770e39cead,b8189f620,817ff2b2c,Fri Apr 17 00:00:00 GMT-03:00 2015
6194a8fc168ce39375ab68270e403ea89d20c73c,f861d8099,9639f7763,Mon Apr 20 00:00:00 GMT-03:00 2015
ffebe58a8141cada60008043915c12214cbae35c,a295b5233,b91d453fd,Fri Apr 24 00:00:00 GMT-03:00 2015
c38b924b58bd4e043d060fb0c5681ee8408c1b32,780512ccb,7963aea00,Sun May 03 00:00:00 GMT-03:00 2015
17d7a4dc07537fd7dbe7c17eab047c3ac54fc94a,c38b924b5,875116416,Mon May 04 00:00:00 GMT-03:00 2015
0f0eaad18232bc803deba3be5290267c8222bb23,b0c30f918,3a602f1ea,Tue May 05 00:00:00 GMT-03:00 2015
d29da316e7122ca1330455f4c70bc14c6a9cba35,b336e8843,74285f81e,Sun May 10 00:00:00 GMT-03:00 2015
93a2e6f3a9beb9446937f333eb5eb3bca055f6b1,4eb308a88,d5ed5f271,Wed May 13 00:00:00 GMT-03:00 2015
b4a74a79fd9bdf5c32b0c0a0c8152214ae601644,74285f81e,8269342a6,Wed May 13 00:00:00 GMT-03:00 2015
d5f9a8f8db80c844013e7c2dff9f4b615729809b,b4a74a79f,ab4cf9a4b,Wed May 13 00:00:00 GMT-03:00 2015
19f1fa537797e7d6c557e7bb9a0d02e6afce93b0,93a2e6f3a,d5f9a8f8d,Wed May 13 00:00:00 GMT-03:00 2015
a5b4962233439eb27f34ab91afed5937baa4e779,19f1fa537,8b3d9d5d9,Mon May 18 00:00:00 GMT-03:00 2015
53b976ee036dac686cc0d66709a4ebb4c7c89c47,d41a065bf,12f88409c,Thu May 21 00:00:00 GMT-03:00 2015
75b60f79328dda71098b265c372e468cabefd053,af4021de0,c3ea6cd96,Thu May 21 00:00:00 GMT-03:00 2015
984b31d10cd8ae280d59862836c277652e0b96a3,3ffa863da,3f1d5b2a4,Thu May 28 00:00:00 GMT-03:00 2015
d6cf7377df5d589c2046e4640a681da66538e43e,e94dfd82b,05dca847e,Thu May 28 00:00:00 GMT-03:00 2015
103885207d7d0488f6329a368f224c61f563db8c,d6cf7377d,dd9c56df1,Thu May 28 00:00:00 GMT-03:00 2015
388900b017f3562666d00ff6aa3a2c4e326ed0bb,21ab5bdc1,e94dfd82b,Thu May 28 00:00:00 GMT-03:00 2015
ae70b61fa21fe86a452b27d614876799b0c7efd7,388900b01,25347c5bf,Thu May 28 00:00:00 GMT-03:00 2015
b1d817c17c38273f858b68820d972f698ed17478,ae70b61fa,ab408630a,Thu May 28 00:00:00 GMT-03:00 2015
279ba6bcf24363a569d08ab67b40e17b55e39815,b1d817c17,11c3a0db1,Thu May 28 00:00:00 GMT-03:00 2015
83b86e0abb1a237997059015bed64cba8e4abe3d,279ba6bcf,bcdf5b72d,Fri May 29 00:00:00 GMT-03:00 2015
3dea70611656d2470fde3a6fe0d8e9a200fe4a93,aa26d2afc,4380b009e,Fri May 29 00:00:00 GMT-03:00 2015
dff88a217e196cb15f1de3d3bf300f4d07ceed00,c1f938659,2ef7a6fcf,Tue Jun 02 00:00:00 GMT-03:00 2015
