Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_4b45b-0e768,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_157b2-2b77f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7db30-215e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_edab1-f29e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_20fcf-e93da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e02dd-0c866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_49faa-9a174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_725cc-84087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_96e17-e2dab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_109e4-3d173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e371f-808fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_21f4f-5eca3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a9358-2ec5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fe096-a18eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0b598-9540f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d9325-2a813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_af08b-b607d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_37388-a9b8b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_091c0-70113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4ed93-5f915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ea663-6a879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9a2ec-dfc87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d7c51-d907f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_58823-2a9ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_85daf-b5636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c800d-902d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e66e9-dae95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ddf5c-08392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d628b-4a593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e63d5-263af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_49788-dfe96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_38e0d-58b49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1d3e6-c6789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_84faf-34898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8ded9-1986c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8c2fc-e2c80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bfa07-1974a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_409ba-9f2e2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
rev_b11ba-9d894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5b7f3-417be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c1ba4-58c53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_7204c-b407e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4df43-9f321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_dfcca-6a7d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1e0ba-43ac5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_52561-4b3d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4b3d8-5684d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_06d6d-3d405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_aea09-de323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e7ca7-cddf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b5441-1a4c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_75ace-55e05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_04afc-2b2d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ab39a-51a5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_de183-51a5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bdcc2-7dd12,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_9203a-d378a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_21dce-d378a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ceb1a-bd9e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1b606-c4e62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
