Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_cc394-d8cf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_05345-fd7fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bb5f0-0a6b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5fd46-b8de0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_73787-17605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_95930-5f407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_95930-2eee6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2fc51-d60e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e4928-6ecfc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4d9da-dacb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c22ec-3deba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8131b-f8efe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1249d-abf80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c567d-5f406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bb64e-3627d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2a693-1f074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bfcf4-f3254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1cd91-48478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_01b43-d7fb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_49698-ad206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_041d3-253f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_71e6b-4c31a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e72e5-fd7f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d019b-388d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ad9cb-4bbfa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_98f79-35c59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9f648-30f5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e66d8-84da7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_658e1-d1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b05b7-4a311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f6a47-c2685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_50579-917a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c5de7-32966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_181c7-46154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2dccc-fced3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cb249-541ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_edb95-105d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
