Merge,Parent1,Parent2,Date
05345aab024f2ace8f9b2184b09707374f434c2f,cc394b4,d8cf5d4,Mon Feb 04 00:00:00 GMT-03:00 2013
a7fcb69d3240dde7d9bdaae014d1aa374ba424ea,05345aa,fd7fad7,Sun Feb 10 00:00:00 GMT-03:00 2013
88fc37c1bf9833b0177a6cba8409728a4ab015a3,bb5f018,0a6b21a,Thu Feb 21 00:00:00 GMT-03:00 2013
5a34049e7ce96c334077db15459b05257af2a9e3,5fd4670,b8de08c,Fri Feb 22 00:00:00 GMT-03:00 2013
834f118d58933a531787fcc59681a8e631b4f03e,737879f,17605c5,Wed May 08 00:00:00 GMT-03:00 2013
2eee6c2c5db8aacdff0100847f6831e1e46db5c4,9593030,5f4072b,Wed May 08 00:00:00 GMT-03:00 2013
087d2d7983f27e5a405cbd7aa31d6f098b91c13f,9593030,2eee6c2,Wed May 08 00:00:00 GMT-03:00 2013
5b494281907282a9f90e448b7642f24f06c1a81f,2fc51db,d60e0e4,Wed Jun 05 00:00:00 GMT-03:00 2013
4d9da055a03ce9666b98711d639ab15903d4a953,e4928d7,6ecfcee,Wed Jun 05 00:00:00 GMT-03:00 2013
31f85260ae64597c9d5608fab3ae3936d054087c,4d9da05,dacb4ce,Thu Jun 06 00:00:00 GMT-03:00 2013
89ed905358dd09d005398028198cc388b9b59a94,c22ec02,3deba86,Mon Jun 17 00:00:00 GMT-03:00 2013
1249d23d0ea84130d28640b08866d25f9169ae17,8131bca,f8efee1,Mon Jul 08 00:00:00 GMT-03:00 2013
e873ce78e441995acd6df28677438093394fe387,1249d23,abf8024,Wed Jul 10 00:00:00 GMT-03:00 2013
c37943b7be8ab364f4eeed9453a06679082a433c,c567dc6,5f4068a,Tue Jul 23 00:00:00 GMT-03:00 2013
9d72297471d954536e2898fb37ef23300f0628ac,bb64e88,3627ded,Wed Aug 21 00:00:00 GMT-03:00 2013
bfcf4f63b10d57fb8f70a1674a0294dbab679a11,2a693db,1f074c7,Sat Sep 07 00:00:00 GMT-03:00 2013
7076421ad25890d6163e2f639af3339ce3e7a18f,bfcf4f6,f325443,Wed Sep 25 00:00:00 GMT-03:00 2013
01b43708337a55f54a2b1b8717d5da20670f327c,1cd91ed,4847848,Wed Oct 23 00:00:00 GMT-03:00 2013
645210f23a39f2bad3e00278bbcc2b232d4cd94d,01b4370,d7fb416,Wed Oct 23 00:00:00 GMT-03:00 2013
041d3f93cf90b7e4bde84f990a938e16a20ef2fc,496986a,ad20665,Mon Nov 04 00:00:00 GMT-03:00 2013
71e6bc2a4b22cfed6d35f75a623384358fd069a8,041d3f9,253f563,Thu Nov 21 00:00:00 GMT-03:00 2013
e72e57d3ece19538717b3ad0ca2bb93f2928bc30,71e6bc2,4c31ac8,Fri Nov 22 00:00:00 GMT-03:00 2013
d019b6f624863b72cbf246b793dbf025d02b219e,e72e57d,fd7f36f,Fri Nov 22 00:00:00 GMT-03:00 2013
ad9cbcdeba94925bf7fbf7f0995bca795c5e6ccf,d019b6f,388d8e5,Fri Nov 22 00:00:00 GMT-03:00 2013
98f792d249948ae559f7ef99a84fedeb6c799f11,ad9cbcd,4bbfab0,Fri Nov 22 00:00:00 GMT-03:00 2013
c0f4a89bc087d186bf05ee86ae9de4c12ff17130,98f792d,35c59c5,Sun Nov 24 00:00:00 GMT-03:00 2013
7cf6e171e1309364cd12f73ecce33ce3a6911cdb,9f64847,30f5cf5,Mon Dec 16 00:00:00 GMT-03:00 2013
270570874f5b8697768d5fc4e1fd20964387cd45,e66d8ba,84da756,Wed Dec 25 00:00:00 GMT-03:00 2013
b05b7fd27a7f5b67a424e3a9b6810f9640afedb3,658e10a,d115786,Sun Jan 05 00:00:00 GMT-03:00 2014
614f7cd72356b9624e24ea9c6f201e3163db47cf,b05b7fd,4a31189,Mon Jan 06 00:00:00 GMT-03:00 2014
50579db451b464910412afaebec83a082277d49e,f6a479c,c268516,Sun Jan 26 00:00:00 GMT-03:00 2014
c5de70d09debc3aa90819b073a596f652fd5117e,50579db,917a794,Sun Mar 09 00:00:00 GMT-03:00 2014
181c7ca6d6fe328628b855bdf9582b238bf7d896,c5de70d,329663e,Thu Apr 17 00:00:00 GMT-03:00 2014
2dccc7175cd0cf6bfca7f047cb10717f54d16376,181c7ca,46154db,Thu Apr 17 00:00:00 GMT-03:00 2014
cb24911fdcfe3a96a54c30f5f63871a7f03c16f9,2dccc71,fced314,Thu Apr 17 00:00:00 GMT-03:00 2014
93ddadf971a8504ff1781f045d9e0e7520f7c246,cb24911,541accb,Fri Apr 18 00:00:00 GMT-03:00 2014
6fff17a988deb4e0d8c35cf6b7607d7db83035ff,edb9565,105d4b2,Tue May 20 00:00:00 GMT-03:00 2014
66c9095d027da6aad0ad7cc24e01422beedf901b,6fff17a,3bb28b3,Thu Jun 12 00:00:00 GMT-03:00 2014
731b6fc063321bb1b5bf9b52ed0b781753b7dcb1,6e273e7,b7a5826,Tue Jul 01 00:00:00 GMT-03:00 2014
d39761f9ec25ca5bf3b7bf15d34fa2b831fed9c1,66c9095,a4b5551,Wed Aug 13 00:00:00 GMT-03:00 2014
5bcd82961ef990e45c51aa0e5cdf423c856d33f3,d39761f,c474b69,Mon Nov 17 00:00:00 GMT-03:00 2014
ec00e06948bfb9d3df5dbbaa6ce61b33c70d6230,d39761f,8a0fcc1,Mon Nov 17 00:00:00 GMT-03:00 2014
dc7714e71d267b911ecb2070b93f6b084062fc50,d39761f,271af10,Wed Nov 19 00:00:00 GMT-03:00 2014
232ec3e965c2120b13a67319aab51e73a0e0ae1a,ec00e06,274bb39,Mon Nov 24 00:00:00 GMT-03:00 2014
65542253247f648482c5239c59d2d3cded79bb4b,232ec3e,183ef67,Tue Nov 25 00:00:00 GMT-03:00 2014
b24ebf2f5a3531ecbf21161af8fdecec59e8bfa3,6554225,f431a38,Sun Nov 30 00:00:00 GMT-03:00 2014
dcd2c68d6b1d40f8c6f0307cc32c53dbc046284f,b24ebf2,4654a8b,Mon Dec 01 00:00:00 GMT-03:00 2014
f4e3bbaf917fbb6ed4e4a474302796cd8a10fce4,b0e92a0,79db4aa,Mon Dec 01 00:00:00 GMT-03:00 2014
c4bc7c3affa73796c43b419470aef8a23cbb9a1e,f4e3bba,1bf20dd,Mon Dec 01 00:00:00 GMT-03:00 2014
75a9dad2e820a2ad9cfb0008a25f7c23f77b517e,c4bc7c3,f1385e9,Tue Dec 02 00:00:00 GMT-03:00 2014
3386cd7e8cd17cfff87a67ec4cd00b36db1a4f1a,75a9dad,c812663,Wed Dec 03 00:00:00 GMT-03:00 2014
2bdbd1dc64132beac96b46bb8006733482525633,3386cd7,5d80ff3,Wed Dec 03 00:00:00 GMT-03:00 2014
18ff2385985468e68a78d2ed601cf4de2d0b6409,2bdbd1d,feef1fe,Wed Dec 03 00:00:00 GMT-03:00 2014
b34b67c7a239cd0f7dee0a939fd9776cbff5c4d9,dc7714e,c81cbb1,Wed Dec 03 00:00:00 GMT-03:00 2014
3c3d614f93a45fb48c2a434af3ef67688d7c6830,e5cc083,18ff238,Wed Dec 03 00:00:00 GMT-03:00 2014
3fc1be2e414a86b933676eea644b0ff80feb58bb,3c3d614,c76913f,Thu Dec 04 00:00:00 GMT-03:00 2014
75772dedc90d3c5f13078d6dcb0bc518ce96e8b0,3fc1be2,d8fc3fa,Thu Dec 04 00:00:00 GMT-03:00 2014
b3d4c604ec85e69c8d93eb46f48ee8ea4eb33899,75772de,a3c879b,Thu Dec 04 00:00:00 GMT-03:00 2014
14937cec86a93b7109f3bf14e6f75a851ceeab88,b3d4c60,c716d5c,Thu Dec 04 00:00:00 GMT-03:00 2014
0572bbf2ebbac0958b871c56a7d4877db05d06ba,834825a,29eb542,Sat Dec 06 00:00:00 GMT-03:00 2014
