Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_75230-05d63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e4de6-bfa4a,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_ddb18-fcea0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4e78b-46eef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0c16c-68ee4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bcd40-dc054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_db765-e7bc4,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_add27-6d9d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a3345-a6b76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c2cf7-ac537,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_b55b7-e062f,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_4003c-81c83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_167a7-81c83,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_3c1d7-68113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cef85-a764a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_aca1b-7255a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c17a2-6485a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
