Merge,Parent1,Parent2,Date
752305a60ab5f12e03004328670f1991852658dd,b2fa6b6c,c4fb2b4a,Mon Feb 17 00:00:00 GMT-03:00 2014
8ac9bd612c430c1e550af0968b30990318692079,752305a6,05d63bbd,Mon Feb 17 00:00:00 GMT-03:00 2014
756dc8deec98cd4cae6dfa512e9371cc5a9fe4a7,e4de6704,bfa4a80b,Tue Feb 18 00:00:00 GMT-03:00 2014
e9cf469200daa7bc759382969eae7e6af115891c,bfa4a80b,75611382,Fri Feb 21 00:00:00 GMT-03:00 2014
b5fe10729bb3b8823bc4a2ad608a66c7b450cc89,ddb1870a,fcea0fe0,Mon Mar 03 00:00:00 GMT-03:00 2014
f35567cc9f81d57ba1eb452d94f63d75b8473aa1,4e78b811,46eef953,Wed Mar 12 00:00:00 GMT-03:00 2014
0c16cbde8bf8d1cf466f685f97936ce6851f2427,4e78b811,62b98a3e,Wed Mar 12 00:00:00 GMT-03:00 2014
12ab600dee7226af2116b99663e000199c837981,0c16cbde,68ee4e49,Wed Mar 12 00:00:00 GMT-03:00 2014
28fdd60f987d926537a3556d61d2251751d5b4be,bcd40b4e,dc054268,Sun Mar 16 00:00:00 GMT-03:00 2014
e7bc4f5d65ad06f51fe64d826c60697f1fb4b230,bcd40b4e,d7f88789,Sat Mar 22 00:00:00 GMT-03:00 2014
924f27919ec8d90568b368cfa3285041e5b32b47,db765227,e7bc4f5d,Wed Mar 26 00:00:00 GMT-03:00 2014
752973de12d85f63a79d184a6310baf53374cd9c,e7bc4f5d,b7db408a,Thu Mar 27 00:00:00 GMT-03:00 2014
add2778952adc629561411a448f1c1868f8e93f7,752973de,86348301,Tue Apr 01 00:00:00 GMT-03:00 2014
b55b79f4f99de4b1db174305a9a680bc225e820e,add27789,6d9d7add,Wed Apr 02 00:00:00 GMT-03:00 2014
a3345f5a177eb6fd172872625bbbbee49c5a89dd,752973de,ce1156be,Fri Apr 04 00:00:00 GMT-03:00 2014
96591a1528f30a7b4b351d7485ce4270898c536e,a3345f5a,a6b76ae6,Sat Apr 05 00:00:00 GMT-03:00 2014
334314d3c5c04ef86b7d3d434c4a3b7503288da0,c2cf79c9,ac53759f,Sun Apr 06 00:00:00 GMT-03:00 2014
4003ce2413b75ec7a16f3092e8ad2f25d74885ed,b55b79f4,e062f9f5,Mon Apr 07 00:00:00 GMT-03:00 2014
3c1d799965985f2b23f6cf7ab812db54eb9c1716,4003ce24,81c8308a,Tue Apr 08 00:00:00 GMT-03:00 2014
3824459c4d3f76abf16d5ee23b7d1376b5e80fa9,167a782c,81c8308a,Tue Apr 08 00:00:00 GMT-03:00 2014
3bb23712d6d15fc8f536ab90bd8da68dd47981fa,3c1d7999,68113d65,Mon Apr 14 00:00:00 GMT-03:00 2014
143faa65e1d24426687acbb8cd667dced787c4bb,3bb23712,91a2d117,Mon Apr 14 00:00:00 GMT-03:00 2014
cef85201abdd7e433273b3853abfb827e9bad097,143faa65,ef528ed9,Wed Apr 16 00:00:00 GMT-03:00 2014
79d27ef60d5f09864c8fa988bf2374232f23edc1,cef85201,a764ad15,Wed Apr 16 00:00:00 GMT-03:00 2014
219f9b371690f8f370cd9733eefc40d6801a7eb6,986acc8c,d9d039d0,Wed Apr 30 00:00:00 GMT-03:00 2014
aca1b32f6e6c887d53f704e643670ad9be9e20ed,ac53759f,742e83b1,Sun May 25 00:00:00 GMT-03:00 2014
c17a228b45cd8d9749bc0bb5f210f63014a71d96,aca1b32f,7255a8ca,Sun May 25 00:00:00 GMT-03:00 2014
8f52dc743fc37d954c028900acf8823f4cacdf87,c17a228b,6485a7ec,Sun May 25 00:00:00 GMT-03:00 2014
20d1450124deab264ec498509e3e0ad4d75774cf,8f52dc74,69de8d84,Sun May 25 00:00:00 GMT-03:00 2014
bc9e49d6c904bf0bf56b6492bea5933c041fd63e,20d14501,b2eb5d6d,Sun May 25 00:00:00 GMT-03:00 2014
