Merge,Parent1,Parent2,Date
99cdf07fabeb80af1089e94e378c6d60f0bbf26c,4f64231,bc4ee78,Fri Sep 26 00:00:00 GMT-03:00 2014
1be528b58b331dc4019e07f4f58badb0b4c2300d,bc4ee78,9f45990,Fri Sep 26 00:00:00 GMT-03:00 2014
6580c92211185c208033358657950f3129530d97,1c20700,13650e3,Fri Sep 26 00:00:00 GMT-03:00 2014
af4bb5a8209db89a695b2aa920030abb375a67db,13650e3,2f2ee03,Fri Sep 26 00:00:00 GMT-03:00 2014
f59684488f4e11b8a5209eeaf94cf1b3282e25af,3e35e4e,44965c7,Wed Nov 19 00:00:00 GMT-03:00 2014
dd856ea8440f8f9fbf06f4e047ba35b9767b970f,27ec90f,5699a69,Sat Mar 14 00:00:00 GMT-03:00 2015
c427e9fe02a22b4e423bc13debbae0c89543ec8c,060666a,a4f73eb,Fri Apr 17 00:00:00 GMT-03:00 2015
0d99197a0c90d1061eb48bf57d468ad9970aed85,e983155,dcf4d75,Mon Apr 27 00:00:00 GMT-03:00 2015
1bda828a0d8abc3fda665f9dec46690ccc239a23,c29c6a2,fa4bb70,Tue Apr 28 00:00:00 GMT-03:00 2015
042bac29d757ec004bddf6b2adb02d7fcb978896,0d99197,1bda828,Wed Apr 29 00:00:00 GMT-03:00 2015
d74a9214879af6c4edf0743127de938d2a48af3b,1bda828,8878e02,Thu May 07 00:00:00 GMT-03:00 2015
c18e4eed0559a9a1a0f1e7b35187cd0a10a7d49b,01996aa,d74a921,Thu May 07 00:00:00 GMT-03:00 2015
078dbaa9c280a9b40a635523cc58869e6c6ec165,d74a921,9f51760,Tue May 12 00:00:00 GMT-03:00 2015
9689900f6f58cbfd565378d0708d2bfc6d91bceb,dac9ee6,4d2080b,Fri Jun 26 00:00:00 GMT-03:00 2015
46a3c1376e40987ced9b2874a0600c23c4e3e8cd,6c2c90a,5c66435,Wed Aug 26 00:00:00 GMT-03:00 2015
53f588f6e12326387eb1181eda82ef806bb32c55,46a3c13,73d4e78,Wed Aug 26 00:00:00 GMT-03:00 2015
335e85f6ee392cbf96aed4d1c61ab252727c72fc,53f588f,59993cf,Wed Sep 09 00:00:00 GMT-03:00 2015
5c8c5ef97a775e1432bcb16b55d7c7fa363d7bca,335e85f,bdb7597,Wed Sep 09 00:00:00 GMT-03:00 2015
947bcd5c679ed3103bb7ac39ec34cc1f711bfdd8,5c8c5ef,16b970d,Wed Sep 09 00:00:00 GMT-03:00 2015
