Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_5ae84-3aff0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1aa28-42602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_12925-13e0f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_56350-5fca7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_78eee-84d34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a2ee0-d43d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_77fea-76498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bf081-571d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2faa2-ac360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6f7b3-d8ca1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_42f2f-ecf86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_672e5-e9231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_63ffd-c485c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_13c26-14c92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ce983-d5ef9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fca9b-e0f74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ab735-7877b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ccc6d-48483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b40c0-8644e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6e0af-7f215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ef097-ac268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_63fd6-d18cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c750e-352ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_83f4a-d448e,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_0ec7a-d79b4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_1cc17-210de,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_725a8-a8f5d,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_98bb1-f29bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8fe7f-a8063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_339c6-96599,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
rev_41222-c4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1b0bf-d84f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_34e2e-2533b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_88ce9-9f878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fef69-12569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
