Merge,Parent1,Parent2,Date
3a591119bcf879b1f090c007c3a8423ece53afe3,5ae8492,3aff0f7,Thu Dec 26 00:00:00 GMT-03:00 2013
12925f1b472d82f460b3095438b77a0522bbc30d,1aa28c5,4260267,Thu Mar 20 00:00:00 GMT-03:00 2014
168d5599699b35546cb4667802e04b41135305f0,12925f1,13e0f14,Thu Mar 20 00:00:00 GMT-03:00 2014
78eeed709ccdd94a83205bf251d0dfe4416d0aab,5635002,5fca755,Sun Jun 01 00:00:00 GMT-03:00 2014
a2ee0f41297d30a955d65ee1f2a8de6d4606fa85,78eeed7,84d34da,Mon Jun 02 00:00:00 GMT-03:00 2014
f802dd742aa2ff773dc235a9b513a602021b74dd,a2ee0f4,d43d003,Tue Jun 03 00:00:00 GMT-03:00 2014
bf0816a2008cb1e793f11ce47c75dd4d4a72df50,77fea14,7649867,Fri Aug 08 00:00:00 GMT-03:00 2014
a9568ba1753eb2635575c1dc231a955704a8dea8,bf0816a,571d72f,Sun Nov 09 00:00:00 GMT-03:00 2014
bb6dd0d0e06470f8ec97362177a4f18d6be325d8,2faa2a5,ac36074,Wed Dec 10 00:00:00 GMT-03:00 2014
42f2f36e03028fafbbf697941864dc5e06085d6f,6f7b3eb,d8ca103,Wed Dec 10 00:00:00 GMT-03:00 2014
8a57e5a3e2f733739c81b6085818adf25b585b63,42f2f36,ecf863f,Wed Dec 10 00:00:00 GMT-03:00 2014
a8fd6a394a038b62d2f7bd897a8dab44b1f86c94,672e58e,e923128,Wed Dec 10 00:00:00 GMT-03:00 2014
9d3b770706888b49ae6ceb78fc7c61feea228a9f,63ffd47,c485c2c,Wed Dec 10 00:00:00 GMT-03:00 2014
65522ff47fa071aef3a6f25ac7c570f0ed072618,13c2664,14c9299,Wed Dec 10 00:00:00 GMT-03:00 2014
7d1712e407833e7c8a9ff0cbd97ff695c08d3b6a,ce98344,d5ef9c7,Wed Dec 10 00:00:00 GMT-03:00 2014
4d913518b7ba037eb31edd841a542692f3a48f8a,fca9be0,e0f74de,Wed Dec 10 00:00:00 GMT-03:00 2014
52de0924e46023006cc4e7902c737737f54f341d,ab73506,7877b09,Wed Dec 10 00:00:00 GMT-03:00 2014
5865a8e71c9593186afc74cd81c6de16396f6bbf,ccc6d5f,484839b,Wed Dec 10 00:00:00 GMT-03:00 2014
01affa3d9bf4861d8489ac339d227cfa3d07857a,b40c09c,8644ea4,Wed Dec 10 00:00:00 GMT-03:00 2014
aff7466b85c72488ebaee66828a0880698856049,6e0af1c,7f215a5,Wed Dec 10 00:00:00 GMT-03:00 2014
70ffd8938bb7e053a92ab4d869bd0cac99bf2ff9,ef0973e,ac26871,Wed Dec 10 00:00:00 GMT-03:00 2014
19f75aaaa7282808adec9baa73778efc753d332b,63fd68d,d18cdad,Sun Dec 14 00:00:00 GMT-03:00 2014
a1fac0af65c9c4a5735633c8df920f23df7b4130,c750ed5,352ad7c,Tue Dec 16 00:00:00 GMT-03:00 2014
3c9bb3d413f0e7b2c265979b59e135b7a5b8ffed,83f4a9f,d448ec2,Tue Dec 16 00:00:00 GMT-03:00 2014
94af6d91f4af5d870752b4e426292b9a72424387,0ec7a65,d79b42f,Tue Dec 16 00:00:00 GMT-03:00 2014
a6842f5d4b983df595fa5af953ea65c9bbe02f44,1cc17e0,210de89,Tue Dec 16 00:00:00 GMT-03:00 2014
8cfdfc22bb8219c1f67edce66c394f41a629b44f,725a81a,a8f5d9b,Wed Dec 17 00:00:00 GMT-03:00 2014
e1f4541856f3ffe3015e3a3b055d4eeff25b78d9,98bb12b,f29bda3,Thu Sep 17 00:00:00 GMT-03:00 2015
0e001f4f97aeeab17a1dfaf96f92fc3e9d3d4e71,8fe7f00,a8063fe,Mon Jun 27 00:00:00 GMT-03:00 2016
b212b4274b091f8309be6606032c6e0daf619e68,339c633,9659940,Sun Oct 30 00:00:00 GMT-03:00 2016
1b0bf895d3658d1e9704f88dfb77033a1121dbe6,41222b6,c4023b6,Sun Dec 04 00:00:00 GMT-03:00 2016
34e2e9568ec20f84c5bbe9d8433574afdb6aec65,1b0bf89,d84f306,Sun Dec 04 00:00:00 GMT-03:00 2016
88ce95e4fd656138335f96c8335a80e5f4debf42,34e2e95,2533b21,Sun Dec 04 00:00:00 GMT-03:00 2016
fef6968bed085c87589fcd4b4dba3cca904125ab,88ce95e,9f87872,Sun Dec 04 00:00:00 GMT-03:00 2016
dc4ce54089b59afda5958feaa433f78939b6a149,fef6968,12569c9,Sun Dec 04 00:00:00 GMT-03:00 2016
