project,merge_scenario,merge_conflict_cause
blueprints,rev_f4f35-f6129,SameSignatureMC
jackson-core,rev_186a6-5f04c,SameSignatureMC
jackson-core,rev_0ed7e-e9fcb,SameSignatureMC
jackson-core,rev_ad908-0ba22,SameSignatureMC
jackson-databind,rev_dd955-66bfe,ModifiersList
jackson-databind,rev_bf2b2-e59a1,SameSignatureMC
jackson-databind,rev_7e5f0-91e41,EditSameFD
javaparser,rev_8c42b-3f150,SameSignatureMC
jedis,rev_73711-79d27,ImplementList
neo4j-framework,rev_8cf52-5e72e,EditSameFD
neo4j-framework,rev_568ad-099cc,EditSameFD
neo4j-framework,rev_9fb8a-0991d,EditSameFD
neo4j-framework,rev_155b7-45745,EditSameFD
neo4j-framework,rev_002a6-c24d7,EditSameFD
s3auth,rev_b5e0b-a618e,EditSameFD
scribejava,rev_73c29-5ee21,EditSameFD
swagger-core,rev_52d21-0cd5a,SameSignatureMC
swagger-core,rev_c497e-a4484,EditSameFD
swagger-core,rev_0e26b-54377,EditSameFD
XChange,rev_18f4b-b4eff,EditSameFD
