Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_9d76b-573f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_74871-5e757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9963e-47cd7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_41b3b-9fedf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_20ad5-a0855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_455fa-912c0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d1479-a0b17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8003b-c8fd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_171e3-71f08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_62918-d6d9f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2be42-236e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_31177-f829a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cf569-dce37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b714a-39dc3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,8,0
rev_707f3-bb31b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a69c3-a3520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4f660-d01c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f00fd-a2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_41ec6-0ce73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4b753-d87bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e515b-7890e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_13b8a-97fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3c1ea-4b76b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bc9b4-8d575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_826cb-a1679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2a05f-80953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_471ad-f3bcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f8d85-9d9f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_44b5d-1c6be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e431d-f7b09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_711b9-e181d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b6f48-1f0e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_01954-7970c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e8a1e-04be7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
