Merge,Parent1,Parent2,Date
74871abd7f04db0f18d445547c309f4a18fc854c,9d76bfc,573f221,Mon Mar 30 00:00:00 GMT-03:00 2015
9963e3bf0952da6a0a4a40677246cd86a59578d0,74871ab,5e757e6,Sun Apr 12 00:00:00 GMT-03:00 2015
41b3b0acde6a0c8f02577ee3796a233f3c3a3fdb,9963e3b,47cd73d,Sun Apr 12 00:00:00 GMT-03:00 2015
20ad5a5a4bd8be93f3b52d02f55f78b0ff1920af,41b3b0a,9fedfc8,Sun Apr 12 00:00:00 GMT-03:00 2015
eece10d46e0ace79ef6b3d937ef5eee3166915ec,20ad5a5,a085548,Sun Apr 12 00:00:00 GMT-03:00 2015
d14791d025503a4e23ac7319b73acd1d60abc346,455fa47,912c07d,Mon May 25 00:00:00 GMT-03:00 2015
8003b6668b79dfbef5db4d8940a708a73318ae47,d14791d,a0b1771,Mon May 25 00:00:00 GMT-03:00 2015
171e3841bce948426ad93686a863c01b99abdbfc,8003b66,c8fd0e4,Mon May 25 00:00:00 GMT-03:00 2015
629181ff8cf42150861813f04d85a06325257aaa,171e384,71f0889,Mon May 25 00:00:00 GMT-03:00 2015
2be42cfa0db2e9ddd60b8e2b62c5c46393991e28,629181f,d6d9f9e,Sun May 31 00:00:00 GMT-03:00 2015
31177586b1e02ecab27aa8a855157731047a57d2,2be42cf,236e8bd,Mon Jun 01 00:00:00 GMT-03:00 2015
cf569074707bf26a59930f3ed6aa1fca1cfd1763,3117758,f829ac6,Tue Jun 02 00:00:00 GMT-03:00 2015
b714a6749f20bbe1d64eef6eb230b8a74b482634,cf56907,dce373c,Sun Jun 07 00:00:00 GMT-03:00 2015
707f33226c2b214c9fec0ea3f31cb2983e2efeee,b714a67,39dc305,Tue Jun 09 00:00:00 GMT-03:00 2015
a69c32741eec05a6dd21714ffb1b8134e5d9f5d3,707f332,bb31ba1,Sun Jun 14 00:00:00 GMT-03:00 2015
4f660d4d2332836df2a83869a1bdb2fe40881af1,a69c327,a352073,Mon Jun 15 00:00:00 GMT-03:00 2015
a1d2c3b40fc3f9a1550bd6f2d68c0daa334c1332,4f660d4,d01c578,Tue Jun 16 00:00:00 GMT-03:00 2015
41ec6118fe55a3b8f3643c9715dfd4b52275e017,f00fd5f,a25508a,Wed Jun 17 00:00:00 GMT-03:00 2015
4b7532bfb330ce2fc497526e4331634e3f891568,41ec611,0ce7310,Sat Jun 20 00:00:00 GMT-03:00 2015
e515b92695267de3eb2589efd9936837fc518769,4b7532b,d87bf52,Sun Jun 21 00:00:00 GMT-03:00 2015
13b8a1ca55575f0467e9d1d4b4aa579b4ef507e1,e515b92,7890eff,Sun Aug 02 00:00:00 GMT-03:00 2015
3c1ea9abbb5cfb69eafface48654bcb690d9bbf5,13b8a1c,97fc146,Sun Aug 02 00:00:00 GMT-03:00 2015
bc9b4f6a553ca3b7a2da3036a42b80d7f3c5f599,3c1ea9a,4b76bb9,Sat Aug 08 00:00:00 GMT-03:00 2015
