Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_74433-db8c0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
rev_8829b-6429e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d05f6-a2eed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_342e7-2c472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_dce58-01043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5d9cf-ee0a7,1,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0
rev_18bb0-31c8f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fe21f-922af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d5a67-18313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b35c1-96d8d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_96d8d-f8d38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_88deb-0d476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3b14e-0d476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c2b1a-7850c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2bdaa-28bec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f0c37-c3794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ad150-acdcd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f75dc-80eae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_141b9-5054f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ddd90-eb2b3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_eefad-b86f0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_ef4e1-bb18a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_58c40-7713e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_94ad8-4e412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f94c5-3416c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f8a18-13a3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9293f-36766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c8371-8b60e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0e889-c3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_dde08-360d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7eed9-fbc1f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c6157-829cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8e946-cac19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cb566-eb1e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c6bc1-865a0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_5cb2f-ff7b6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a68cf-b4a8f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c49ae-f37e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f0fb1-e559b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_66d4b-12d7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_30ddf-90d02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f6b3f-33091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b54c5-1a7c5,1,0,0,0,1,3,3,0,1,0,1,0,0,0,5,0,0,0
rev_53f5c-6ab00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a6cff-04582,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
rev_92d5a-30a33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3d2d6-625b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_57221-5b09c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c7db4-52182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_572ce-56770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c0177-338ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b206c-a3af3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8cf52-5e72e,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rev_9eccb-5f7b4,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_38f88-289f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a2253-a3932,1,0,0,0,1,2,3,0,1,0,5,0,0,0,0,0,0,0
rev_89f74-1c295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_840ed-66de2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_03e34-08dc0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_568ad-099cc,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rev_8aea9-6ca2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_76c73-962cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9c7f3-a8414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9fb8a-0991d,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rev_42dd8-e522b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_155b7-45745,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rev_002a6-c24d7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rev_bf426-d185a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_36090-245e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_245e5-9e3c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8a571-e146e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_892de-65d7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_452bd-2e85f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d02f3-7f51a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a8045-a4945,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0
rev_b65e9-fb8b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d7863-2e762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_64bb7-08d43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_04cba-f8b7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_672d9-7f8b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
