Merge,Parent1,Parent2,Date
ce3ef4c2940c07f6b3a35ac4014620b88a756ebf,74433995,db8c0b75,Sun Jun 01 00:00:00 GMT-03:00 2014
ee25ede0809439e3015bd0ef4ada402e65a60d00,8829b9be,6429e5d7,Sun Jun 01 00:00:00 GMT-03:00 2014
2c472fad544ee22ac7deb9d25a075ca0758f0d33,d05f66ce,a2eed9e3,Fri Jun 06 00:00:00 GMT-03:00 2014
c2bad8fb438e3565efb3277cdca0e33c36fa83c8,342e775c,2c472fad,Sat Jun 07 00:00:00 GMT-03:00 2014
626ddd7b5a58c4e89dc422f5670540b852364026,dce58b14,01043c0b,Sun Jun 08 00:00:00 GMT-03:00 2014
e9758157a78839ac62050567705aa1d6590f2042,5d9cfc19,ee0a7e4b,Mon Jun 09 00:00:00 GMT-03:00 2014
f42da40742d31e122f001bca67e541d9333b3843,18bb01af,31c8f6bf,Mon Jun 09 00:00:00 GMT-03:00 2014
bd2a9ea9eafa52995898d80b5bb08e5e3cd30c5e,fe21fa65,922af8b6,Tue Jun 10 00:00:00 GMT-03:00 2014
65590d079b997c666ab6640965e60b311b46ebb1,d5a671c6,18313267,Tue Jun 10 00:00:00 GMT-03:00 2014
88debe7b2b0c386f7625f8985d5ddf8abbd93a4a,b35c17a5,96d8dae3,Tue Jun 10 00:00:00 GMT-03:00 2014
0d476b776fee8424ea7b82a76e6807c1ee443f52,96d8dae3,f8d38f22,Tue Jun 10 00:00:00 GMT-03:00 2014
b1b87990b35a07d6eecf09ee13b68b7be83fb85c,88debe7b,0d476b77,Wed Jun 11 00:00:00 GMT-03:00 2014
ad1504add5be3c93312c70911f217d10df343e0e,3b14ee17,0d476b77,Wed Jun 11 00:00:00 GMT-03:00 2014
3976a9282fa000fe94ae1372ed0121bc87b49dd3,c2b1a0ba,7850c3e7,Mon Jun 16 00:00:00 GMT-03:00 2014
c379440a7c199ba63d347c0bbf24695f5a62e6db,2bdaa6ab,28bec742,Wed Jun 18 00:00:00 GMT-03:00 2014
acdcd0f1f33c8e731b11d14c56e17765668d21f5,f0c37e49,c379440a,Wed Jun 18 00:00:00 GMT-03:00 2014
c318e8fbaee4316791c2a259f51aede65c391936,ad1504ad,acdcd0f1,Thu Jun 19 00:00:00 GMT-03:00 2014
38a6dca42523287c390ec8b75b308e8d74ced5d6,f75dc9f7,80eae5f4,Thu Jun 19 00:00:00 GMT-03:00 2014
d7c3a814436cecb2b921fc241529666d8cdfa216,141b9c6b,5054ffad,Tue Jun 24 00:00:00 GMT-03:00 2014
35d3bb57ae10512b3e7e50a1da792ddc0ca16a01,ddd9004b,eb2b3c53,Wed Jun 25 00:00:00 GMT-03:00 2014
3b230ef59c987473846560aaa5ce84b515e9cf32,eefadc38,b86f01ea,Sun Jun 29 00:00:00 GMT-03:00 2014
f4721b5b21c212b6bc55456d7cbcc59e98a53d0a,ef4e1eb6,bb18a623,Tue Jul 01 00:00:00 GMT-03:00 2014
63c39e3a7bc6e9beda76ce95c78d2263bf69f7a6,58c4028b,7713e1a3,Thu Jul 03 00:00:00 GMT-03:00 2014
9fa97205074d724daa95c7e47127f081fb53ce0e,94ad8a91,4e4123bb,Thu Jul 03 00:00:00 GMT-03:00 2014
1aa63f33008b932a03a6703215a8a348a867a0c5,f94c523e,3416c55b,Wed Jul 09 00:00:00 GMT-03:00 2014
ad97952ddf24ec955d451e64825814fa51c1f45f,f8a18690,13a3b059,Thu Jul 10 00:00:00 GMT-03:00 2014
66a770f390efd639b4b2c76449df89ba4d6f00e6,9293fc87,367667d8,Fri Jul 11 00:00:00 GMT-03:00 2014
ca3a1a19cd3e3af16bb4f990095ed74f2bf984a7,c83711c9,8b60e147,Fri Jul 11 00:00:00 GMT-03:00 2014
6d3f37d038caefeabbe46eb982d8ca9e46a379ec,0e88906e,c30196fb,Sat Jul 12 00:00:00 GMT-03:00 2014
fbc1fa0f6ff7c2f1942e9534057f103ff6243a4e,dde08b9a,360d6c91,Tue Jul 15 00:00:00 GMT-03:00 2014
28390960a6efb95d56e9155641fd206f42c2e282,7eed9956,fbc1fa0f,Tue Jul 15 00:00:00 GMT-03:00 2014
cac19e99a547acb5164ad67e86d4928385e6f487,c6157c3a,829cf2f8,Tue Jul 15 00:00:00 GMT-03:00 2014
79f8dc4938f2d8ede5440790a1d62a323ce564a2,8e946179,cac19e99,Tue Jul 15 00:00:00 GMT-03:00 2014
3a689d10cbbb72e03acd794b0c19bb2aea9a7646,cb566adb,eb1e2768,Wed Jul 16 00:00:00 GMT-03:00 2014
