Merge,Parent1,Parent2,Date
5d12362c872f7d2f2d61c21dc493b836d07a6936,10fd75e,5d7ffec,Fri Jan 23 00:00:00 GMT-03:00 2015
3afdb662651e93115503317d73de62c4b641c98f,7343273,f38ddc3,Wed Jun 17 00:00:00 GMT-03:00 2015
7f2cdb84ec8b5433af453d38d35dd7cf4cd86159,cec6748,3afdb66,Thu Jun 18 00:00:00 GMT-03:00 2015
22c943368d2bd2d94d48461988bdc8e9d2b9bc4e,7f2cdb8,bff457b,Thu Jun 18 00:00:00 GMT-03:00 2015
4dd4ad3a75f0795c483e3550b0284be6e97701ef,7f2cdb8,11037d5,Thu Jun 18 00:00:00 GMT-03:00 2015
7c1fca2caf0519e36eff7884815a16e3f409176c,52a5066,862b929,Thu Oct 01 00:00:00 GMT-03:00 2015
e33223166b0fa169eb5a096d163387b0d995d1a0,64bb236,c8320ad,Sun Oct 11 00:00:00 GMT-03:00 2015
479aaa4ea252ff7b7b3b1fc2910e1b99e2bfaf58,be4cf75,affd303,Mon Dec 21 00:00:00 GMT-03:00 2015
68cf1a114bd76fb17368a3fc6a9f385ecbdf7a27,479aaa4,f249168,Sun Dec 27 00:00:00 GMT-03:00 2015
d057a114d258b2912f25a85a6678f3a3c8213e17,68cf1a1,f576346,Sun Dec 27 00:00:00 GMT-03:00 2015
eee9cd709d92ec8f3948fc9d98226d80a64d3a8d,d057a11,c784618,Wed Dec 30 00:00:00 GMT-03:00 2015
2da7c705609ac9df5a4953ff204480cab5ea616f,aa19d69,2dc2bed,Mon Jan 18 00:00:00 GMT-03:00 2016
6908d3a6d1638f61787b8a8a028d5528e04fed4f,d96fb58,5df393d,Sat May 21 00:00:00 GMT-03:00 2016
5ee2fbcd6b0817d9a7a99163e76d5dfaf57509ff,cafec4c,9fdd80c,Fri Jun 17 00:00:00 GMT-03:00 2016
