Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_df778-99fb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4c39c-2f5e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ccb88-7bcdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e9f1e-0c550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4b7a4-49082,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
rev_1c599-2aaf0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_780a2-01006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_af61b-923eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f38fe-cb7ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0ff5c-3bbe0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ab855-19d3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8e867-35166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_112d3-d9872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9f092-58d0b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1dc3d-5345c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8f586-d7e24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cc9e7-06e6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_63099-550a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8a322-812ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cee52-27861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c1757-3108f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9a63d-d6681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8e5ea-c7a90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_17e54-efc95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_99371-83e77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_638ae-36959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_365bf-98920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_43a7c-29ab4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ef44b-32a71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cf03b-f2a6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_46fa5-d451e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c5f94-8ad6e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5c995-a31a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8e458-f3a45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d2020-57c0b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2a059-57653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_839b7-3aa70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_81c99-9eb27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_77368-c05cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_92d38-ce40d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_132c4-c1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f18ed-ded43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a26dd-2207d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d4e80-35816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d587a-2d015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b2293-15099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4c8ce-cd165,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
rev_3265d-33458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5be60-41584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ad0ff-e9d95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8c154-68613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ef370-6ad4d,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_40c95-c24e4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bf976-2681b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_267ca-a562b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e6238-e40eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_85129-4fa46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5b359-99e2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2c473-98f60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7f9ff-3585a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_11aa9-60ca8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8cf08-5f7c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fda22-fbbc6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7a1c6-8f035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_aec9b-6c92a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_739d8-abe9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fd266-06f09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7874d-57788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
