Merge,Parent1,Parent2,Date
b6e785e79e6c9c31fff4dc0ce264afc35a9a729f,df778b7b,99fb9886,Sun Oct 07 00:00:00 GMT-03:00 2012
4c39ccf9fe679d56979bb3d1d13601f212bf59d4,51c7b6ca,cbb33cbd,Wed Oct 24 00:00:00 GMT-03:00 2012
f1eacbff7ec5912d041184e1b35aa4e5468ea4ba,4c39ccf9,2f5e25e4,Sat Oct 27 00:00:00 GMT-03:00 2012
e6aee715825781f3287faf7e3e35847d30e0d7fe,f1eacbff,0ce37b70,Mon Nov 05 00:00:00 GMT-03:00 2012
21e9c8398867f983e8c3cf29c6382690c1e4785d,e6aee715,e5b78cab,Wed Nov 07 00:00:00 GMT-03:00 2012
e8afabe11cc3fc8854b2b8bb845489bdf8299211,21e9c839,3355d0c9,Sat Nov 10 00:00:00 GMT-03:00 2012
6af7cd22b39e602ea3e20e18fd809ed4fbf448eb,e8afabe1,51e5320e,Sun Nov 11 00:00:00 GMT-03:00 2012
6991363c380478699b053912b3223553f7a2d0f2,6af7cd22,084fa338,Mon Nov 12 00:00:00 GMT-03:00 2012
8ab9438c7007f3f5e2281db1052dcde7dc3065dc,6991363c,9a1da9b4,Wed Nov 14 00:00:00 GMT-03:00 2012
f3d956e25ba79564d6c8250b4ff767782f8bb894,8ab9438c,bbea4aaa,Mon Dec 03 00:00:00 GMT-03:00 2012
3deadab31b6f02271c550a60c271b8db9d2fd56d,f3d956e2,04d742bd,Fri Dec 07 00:00:00 GMT-03:00 2012
470c7f59861bd753db8593a161bf19ba3cf961c0,3deadab3,c9d18363,Mon Dec 17 00:00:00 GMT-03:00 2012
1ef490fe11a0ae4249c55fb1623ae3058c0c1cb9,470c7f59,1c9cb2a0,Fri Dec 21 00:00:00 GMT-03:00 2012
a7258910fa865f4d3abf9d42da9dbe9738d1fe05,1ef490fe,1a1e1b7e,Fri Dec 21 00:00:00 GMT-03:00 2012
ccb887c7582b455f41a993b19cd75e2579619fd0,a7258910,3d2547f1,Sat Dec 22 00:00:00 GMT-03:00 2012
6579f9d97460613c429df6083f2d6c21afdf4123,ccb887c7,7bcdc338,Sat Dec 22 00:00:00 GMT-03:00 2012
73291e89c43de449949450c216a5220d9b903da6,6579f9d9,70e64037,Sun Dec 23 00:00:00 GMT-03:00 2012
d2f4f21654e407ecb5333a403564d272239486f6,73291e89,78c6624b,Sun Dec 23 00:00:00 GMT-03:00 2012
d10c20a7eba3d2182193e3a1a8342549833f927a,d2f4f216,67604f61,Wed Dec 26 00:00:00 GMT-03:00 2012
8b574cb48e279c2b3266c97ceb914389b92d3839,d10c20a7,e4a4cbae,Sat Dec 29 00:00:00 GMT-03:00 2012
2c6be53791a3e607df79d431cf338baab94eed3d,8b574cb4,dca5d830,Sat Dec 29 00:00:00 GMT-03:00 2012
bc342a42c84b660ef8296498af88780cc1c152bd,2c6be537,768059cf,Sat Dec 29 00:00:00 GMT-03:00 2012
a52eaa4ee650728e4fb59f48c59a3572ef4ddb5a,bc342a42,60d5852c,Sun Dec 30 00:00:00 GMT-03:00 2012
8c281b2fc782bf6473ff37e078804d9579225961,a52eaa4e,7f424962,Mon Dec 31 00:00:00 GMT-03:00 2012
7b35a0d86cdadac706e24525edd64c8e0b3c694f,8c281b2f,b5719b6d,Mon Dec 31 00:00:00 GMT-03:00 2012
e9f1e3ccdd1888daf36bcb65df94a06343d5eaa1,7b35a0d8,86e5c348,Tue Jan 01 00:00:00 GMT-03:00 2013
f740f1f98759ed562e052e4d84109267d6391afe,e9f1e3cc,0c550086,Tue Jan 01 00:00:00 GMT-03:00 2013
73516e6ab1d336ffd520e845e14f80cf08657bd0,f740f1f9,7a28500a,Tue Jan 01 00:00:00 GMT-03:00 2013
d64aef95a6f35a2e559d46ebf2c1392e8db6a42f,73516e6a,689f6622,Tue Jan 01 00:00:00 GMT-03:00 2013
34ea44bc1d8fba429fd850df14adcda16251cf6c,d64aef95,43f7cae3,Thu Jan 03 00:00:00 GMT-03:00 2013
4e1dd18f07a41b46fc3be4b564833118a3c965b3,34ea44bc,06579c5b,Sun Jan 06 00:00:00 GMT-03:00 2013
8571b0cbd2aae8fe49b0aeec47d570cbb216406c,4e1dd18f,b1c592d7,Fri Jan 18 00:00:00 GMT-03:00 2013
c37a7935738e93422bfb1f7d0d52519af5da1489,8571b0cb,1bd9fefb,Fri Jan 18 00:00:00 GMT-03:00 2013
514fbfd5f03ccae7d2771c4ecd3e5be67ed68a95,c37a7935,b9580d68,Mon Jan 21 00:00:00 GMT-03:00 2013
383b49df9df36fa4c335177b0e5d6984a9fb52e1,514fbfd5,3a0874cb,Tue Jan 22 00:00:00 GMT-03:00 2013
c029803933171a7df3c14171fa0b698cea58ef9e,383b49df,194290e5,Tue Jan 22 00:00:00 GMT-03:00 2013
fc232eb27c5a73e1e5455a94bf5a6b63ad992c58,c0298039,989652fe,Wed Jan 23 00:00:00 GMT-03:00 2013
72cdfed12dc675dcab8b9846cafd26dc25533e1f,fc232eb2,637783ce,Wed Jan 30 00:00:00 GMT-03:00 2013
4b7a40598ce10417c5aee36e370d34ae050a648b,72cdfed1,5bfe7124,Wed Jan 30 00:00:00 GMT-03:00 2013
83de4eb552994d30451f8a3481b5a00d6b457a2e,4b7a4059,49082196,Wed Jan 30 00:00:00 GMT-03:00 2013
2d2ceffe25d7590d50520c7ab23243df8631fb9a,83de4eb5,6f6d959f,Thu Jan 31 00:00:00 GMT-03:00 2013
