parent1SHA;parent1BuildId;parent1BuildStatus;parent2SHA;parent2BuildId;parent2BuildStatus;mergeCommitSHA;mergeCommitBuildId;mergeCommitBuildStatus;repMergeCommitSHA;repMergeCommitBuildId;repMergeCommitBuildStatus
4b7a4059;3;errored;49082196;unknown;unknown;83de4eb552994d30451f8a3481b5a00d6b457a2e;2;errored;unknown;unknown;unknown
4c8ce7ca;5;errored;cd16580d;unknown;unknown;1151c9853ccc3c9c3211c613b9b845b925f8c6a6;4;errored;unknown;unknown;unknown
7f763c1a;7;errored;e2770dc2;unknown;unknown;1031cce36a449a926fc25a8ee70063953a83c954;6;errored;unknown;unknown;unknown
f907b25f;9;errored;cbd185f5;unknown;unknown;c34957442026cff000b81b5ffe692ab06134c13c;8;errored;unknown;unknown;unknown
37769fbf;11;errored;15c81fdf;unknown;unknown;e1ac28c358424ec837314f0c484f35dfc948c387;10;errored;unknown;unknown;unknown
e1ac28c3;13;errored;1cabb0f5;unknown;unknown;aa84d51fb255d2cc672dc36ea297287746dec4d8;12;errored;unknown;unknown;unknown
4ae1b239;15;errored;9d4b4d9a;unknown;unknown;58dff54d1e6ede53f332db8153d48f9bdb5762b0;14;errored;unknown;unknown;unknown
f84b4de4;17;errored;4db679b3;unknown;unknown;c1a39c9ce63e063d4afdf78ff5c651e9bba8762f;16;errored;unknown;unknown;unknown
65961e2d;19;errored;c8f5992b;unknown;unknown;4b037e7b226212ab1f91ee4431cad09691f6a186;18;errored;unknown;unknown;unknown
951c6495;21;errored;b4e78aba;unknown;unknown;a44194de5359d243e1ced4a9f742c5853567d1f6;20;errored;unknown;unknown;unknown
64505fd3;23;errored;eeec4b8d;unknown;unknown;58fc2bc9ceb8891e0cf4a11d522f8afad5908a48;22;errored;unknown;unknown;unknown
efc9df1c;25;errored;c642bea9;unknown;unknown;992dd934f061a21f8a802ed8fd8d99b75047dba8;24;errored;unknown;unknown;unknown
90021dca;27;errored;219f286f;unknown;unknown;5c7257d8d1c07b66cb7b14832bc0d16b88abcfb5;26;errored;unknown;unknown;unknown
