Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_cac50-bb3a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_872ee-e4472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cc23a-95fe8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c82c8-f3b77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_11b5b-507eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_987cc-990c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_adae0-ea2e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c8dec-a6ace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_40e73-46007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0cf1b-824aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_567a6-4a342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b4a30-97186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ecda4-561fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_77ce4-be3fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_34ff7-9f126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7e4be-7ab31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_63823-f8281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_482dc-f0bd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_486a8-df430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ba677-9d355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b5f80-cbccf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_98e81-676e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d9ab9-0548e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2f8dd-a2c60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bf0ba-74e3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e462d-521fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bbe18-239c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1a80a-2ddb7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b08d0-5c59d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_12494-475b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f32af-05ad7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c71c7-08165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c07dd-1c4d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_30d8c-faaf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fd7b5-21967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b2af9-383e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_35bbf-1cbc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_03341-e3325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_47bcc-53507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_12625-b2d19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_22241-5ee38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0bcd0-571d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4427e-3bfc0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d7cc5-63878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_222f2-a5bb6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9e738-415ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_40fbc-42579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8cb58-8cc73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_72a0e-00831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9da34-a16df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_49290-0ebea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_62f46-cded2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_82358-020e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fbf52-e2f0a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_654dd-d99e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_acb2c-624ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5b491-723a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7fe05-df3de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_798bd-ed003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9f2c6-82838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_755bd-7a9dd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ffc28-a462d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d0741-2526e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_64172-fae4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_229be-2f4a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b5811-3e25d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d1c83-85e9f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3c61f-aa4d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
