Merge,Parent1,Parent2,Date
872eeb8316c728e225e202bab8bb26c61ed215fe,cac5042,bb3a2d1,Thu Apr 10 00:00:00 GMT-03:00 2014
cc23ae57865da921fab74db3e81fa146ac89a93f,872eeb8,e44729d,Sat Apr 12 00:00:00 GMT-03:00 2014
c82c8e64995099f11d1b662cffb1f2a95b73bb71,cc23ae5,95fe8cf,Sun Apr 13 00:00:00 GMT-03:00 2014
11b5bad78bbfc52dc9267645c02f5082f231079b,c82c8e6,f3b777a,Mon Apr 14 00:00:00 GMT-03:00 2014
987ccb1c06605212c851b9cb44cd2720c6321b36,11b5bad,507eb4f,Mon Apr 14 00:00:00 GMT-03:00 2014
adae0cc05a20921f57d59e47f58caf8e4f398118,987ccb1,990c48c,Mon Apr 14 00:00:00 GMT-03:00 2014
c8decc0f6a7760b25755a4d9265956be4a1a0a59,adae0cc,ea2e709,Tue Apr 15 00:00:00 GMT-03:00 2014
61de8431f9116d8a4dfddcca41c28a8ccac6fe05,c8decc0,a6ace31,Tue Apr 15 00:00:00 GMT-03:00 2014
0cf1bfa4d31339d98a4c105dbd29f74ca68e7543,40e734c,46007a3,Thu Apr 17 00:00:00 GMT-03:00 2014
567a6f275425b39ff33d9c44b00566488d6c0d52,0cf1bfa,824aa64,Thu Apr 17 00:00:00 GMT-03:00 2014
b4a303ad5d8e8009d4ebc2a96c7505007914dbf5,567a6f2,4a3425c,Thu Apr 17 00:00:00 GMT-03:00 2014
6033ad65512f33beca66a0aff28a60c6b891e585,b4a303a,9718653,Thu Apr 17 00:00:00 GMT-03:00 2014
77ce46baa0befc9e2eec07b0f5bc5f2e86f70577,ecda469,561fbe7,Fri Apr 18 00:00:00 GMT-03:00 2014
34ff7434a5c325df45f1f943fcbe0c3cc4943dd4,77ce46b,be3fbe2,Fri Apr 18 00:00:00 GMT-03:00 2014
2841fcbedcd9a6e8c111eed9649a10a3f059f296,34ff743,9f126f1,Fri Apr 18 00:00:00 GMT-03:00 2014
6382353f9f6660731c36d2b607ef7abd8895acfa,7e4be74,7ab3116,Sat Apr 19 00:00:00 GMT-03:00 2014
482dc9f4961f4f95cc123a7d2606cc49a04ddd61,6382353,f828119,Sun Apr 20 00:00:00 GMT-03:00 2014
486a8d76232e51a9bab8a77b5a8e4eec3413ba6c,482dc9f,f0bd138,Sun Apr 20 00:00:00 GMT-03:00 2014
ba6776d8472f32f04e0e305aa2556ac122706682,486a8d7,df43061,Sun Apr 20 00:00:00 GMT-03:00 2014
b5f80e889cd4fe5a26ef42fa250f72014cc8b957,ba6776d,9d355c0,Tue Apr 22 00:00:00 GMT-03:00 2014
95c627b2eea9b27b4128f14634f5472025309b31,b5f80e8,cbccf98,Thu Apr 24 00:00:00 GMT-03:00 2014
d9ab9bb958f341f42814f3ab80372ee388cf38b1,98e8121,676e296,Fri Apr 25 00:00:00 GMT-03:00 2014
2f8dd5c8087e7735909d74e81cb547f0bc98311d,d9ab9bb,0548eb8,Sun Apr 27 00:00:00 GMT-03:00 2014
bf0ba17ccc00bc7cf9c0f64e4925e80c5603a7e5,2f8dd5c,a2c6051,Sun Apr 27 00:00:00 GMT-03:00 2014
e462d43a605a140a5ba6054646850ead80a5042e,bf0ba17,74e3ead,Mon Apr 28 00:00:00 GMT-03:00 2014
0cde0882c60a31495efab5b3f557017234856534,e462d43,521fec4,Tue Apr 29 00:00:00 GMT-03:00 2014
1a80a4f6b6d3af4d500bf8ca99a0ee5bf0a8106c,bbe184e,239c488,Thu Jun 12 00:00:00 GMT-03:00 2014
b08d0f5cd3b604cd625c41f6ba38b7cacbb22cbe,1a80a4f,2ddb732,Fri Jun 13 00:00:00 GMT-03:00 2014
12494eabbdb9024d7f41d04c89248265be30f807,b08d0f5,5c59d98,Mon Jun 16 00:00:00 GMT-03:00 2014
f32af100063492c9110e886d2c673e2825a9e1b0,12494ea,475b724,Mon Jun 16 00:00:00 GMT-03:00 2014
c71c72f3fe01abe6f404539ad8aec975d68f0027,f32af10,05ad765,Tue Jun 17 00:00:00 GMT-03:00 2014
c07dd96efeb8e13af2594fbe0a5243b5acd7d33d,c71c72f,081659a,Sat Jun 21 00:00:00 GMT-03:00 2014
30d8c3e587f955832f1f8dc1ef7d453ae0c1f99e,c07dd96,1c4d377,Tue Jun 24 00:00:00 GMT-03:00 2014
c200cb65ddf37fc4d11c01205ae1dd1eaf5f1136,30d8c3e,faaf6ec,Tue Jun 24 00:00:00 GMT-03:00 2014
b2af925f325eead20fc7ecaa58e78a3b3414e91c,fd7b560,2196742,Sun Aug 10 00:00:00 GMT-03:00 2014
35bbfb763370d4a89d58687f6124c4306bd4119e,b2af925,383e5c6,Sun Oct 05 00:00:00 GMT-03:00 2014
