Merge,Parent1,Parent2,Date
694d20fa8938a16536ef5c649fbdc963fd8093e0,59dc9f54f,e99fb0b7f,Thu Oct 03 00:00:00 GMT-03:00 2013
015c39a2c09b9b893d688b947b21b2eb53b1ac2f,694d20fa8,946b59563,Thu Oct 03 00:00:00 GMT-03:00 2013
47f96cc9897a4035c434c736b6cb90789f5a06f6,780541281,59dc9f54f,Wed Oct 09 00:00:00 GMT-03:00 2013
0806f9986af4f45faa67405aa6f10c2f7fae2cab,47f96cc98,d4aa85e87,Wed Oct 09 00:00:00 GMT-03:00 2013
90f76dd526900eabca9489b5e7561dc557bc577e,d4aa85e87,bf939cba1,Thu Oct 10 00:00:00 GMT-03:00 2013
d57056d1a08a1941a7820932e09ee77a9efd6b3a,0806f9986,360b7a741,Tue Oct 15 00:00:00 GMT-03:00 2013
d0685803a72060ccf347143218e366f33140f86b,360b7a741,674b9bff3,Tue Oct 15 00:00:00 GMT-03:00 2013
c1df41d9667328ad7dbfbddb8e4b43eb935393be,f7e84c250,d0685803a,Tue Oct 15 00:00:00 GMT-03:00 2013
c9b861b3c012405799f2edb0d2eaf27bc1dda57f,7133e8322,31985cc1e,Fri Oct 18 00:00:00 GMT-03:00 2013
b775a1716484a185378e54e463e16c6a4845b09b,b47b8baf1,c9b861b3c,Fri Oct 18 00:00:00 GMT-03:00 2013
d2bbd4e0f3e4c12aeebf1119fdb8abc352e6eca9,d57056d1a,b775a1716,Mon Oct 21 00:00:00 GMT-03:00 2013
f168a41de5fa81b57ef6dcb4659f999e28300f79,dc5531307,b775a1716,Tue Oct 22 00:00:00 GMT-03:00 2013
4ad5459044f37a53b14d3b3a94508e18ab8de9f3,44aa42d19,b775a1716,Tue Oct 22 00:00:00 GMT-03:00 2013
8dc44707a1f72b930ddef98be6eed1acd2e66d06,66c335687,53fe90679,Fri Nov 01 00:00:00 GMT-03:00 2013
3cb319488c49e4fc2be521b583706f4862af3490,9a1bc1f56,53fe90679,Mon Nov 11 00:00:00 GMT-03:00 2013
061bd23a941b475f43091f14a84fd2fd9703de19,b31ad2abf,1f89fc53d,Mon Nov 18 00:00:00 GMT-03:00 2013
a55736a9fcace248e16c6191bcfd56dfeb99c7e7,bff8cdfef,3ae9836ad,Wed Nov 20 00:00:00 GMT-03:00 2013
f8971a8e6b0ef58c0a4e5ac43f598dc36c60445a,7fd164714,9ca3e3c78,Wed Nov 20 00:00:00 GMT-03:00 2013
607f0be82650c5d25b83bc3def2d1d2fb790bd52,42cc948d0,0589b8a62,Fri Nov 22 00:00:00 GMT-03:00 2013
e8fb1d9fb57ac2f9b68ae1fe008d5a7976611bf1,bae1b86d6,7021dbb52,Thu Dec 05 00:00:00 GMT-03:00 2013
647ffbf8c4463b16ecb828fa9268874ceaa89752,94675fb3b,cfcd881c3,Tue Dec 10 00:00:00 GMT-03:00 2013
55f0cfd6ed00882f88a1ef79a31f931f88ea9148,37b05b7c1,bd4aaf2a5,Wed Dec 11 00:00:00 GMT-03:00 2013
173a19ad9ffea67c3d707e495ded980aec4dd72c,7021dbb52,794b54e2e,Wed Dec 11 00:00:00 GMT-03:00 2013
4e09e692ac6548f8d93a4dc324acede0da63faa3,344f75669,b5a2a8c3e,Wed Dec 11 00:00:00 GMT-03:00 2013
89dc3f54edd9d674b30a27f0f47e134873fc3a20,4e09e692a,173a19ad9,Wed Dec 11 00:00:00 GMT-03:00 2013
270dc8b06616a5d182eee9bb857e8ddf9bc6baaa,7f5190223,ffcd790b7,Wed Dec 11 00:00:00 GMT-03:00 2013
aa49d93314a5fa4ef8348f2a1665e92d42e9f37b,173a19ad9,30c963001,Wed Dec 11 00:00:00 GMT-03:00 2013
ff121807015055169f6dbb19575c6a7c8d1d4cab,d585e7074,aa49d9331,Wed Dec 11 00:00:00 GMT-03:00 2013
09d20bf7f7ddf241bf7e5b5a9daa449c57d3d57f,610afd71d,ff1218070,Thu Dec 12 00:00:00 GMT-03:00 2013
867913bb757be32ec35e6441a0a93f85c8a6acf9,09d20bf7f,e20cd92dc,Thu Dec 12 00:00:00 GMT-03:00 2013
fafc25482cbf5f93aaea15eaec3d6437fc66308f,cf8366736,2137c5cc3,Thu Dec 12 00:00:00 GMT-03:00 2013
91b9325e7d1543cbb891704943ecec710fc8045c,6be50a899,fafc25482,Thu Dec 12 00:00:00 GMT-03:00 2013
00acb0ea3bcec688e4cfb076bc9d769e16c245ca,eb6393d89,1482e0bbc,Fri Dec 13 00:00:00 GMT-03:00 2013
7c09e0163d7ba9c0ce18aa5a7b1d552919709cd4,ef4ae574a,00acb0ea3,Fri Dec 13 00:00:00 GMT-03:00 2013
b69153d61c74240b7b819775940259829be8620d,9b32d3ad0,73bd8d4f7,Mon Dec 16 00:00:00 GMT-03:00 2013
ae24e827face09944d6fce1ca3a4566fed668d48,6b6f6edc0,8d9d9f61e,Mon Dec 16 00:00:00 GMT-03:00 2013
17addea4fc5d46e3d4e61c99b2dfd65be525a522,815290db6,d4035bef8,Mon Dec 16 00:00:00 GMT-03:00 2013
9d398da722cecf95daa95ef6b008f11d324a62ab,7bc9201f0,dcbe3a6e1,Tue Dec 17 00:00:00 GMT-03:00 2013
6d6485ebaea7c18868189963e7812f1ee8e13b30,a8f09227f,00acb0ea3,Tue Dec 17 00:00:00 GMT-03:00 2013
cd3fce1e4be47303692a6d93954f7bd35b84e656,6d6485eba,dcbe3a6e1,Tue Dec 17 00:00:00 GMT-03:00 2013
d871254d6aef58c34571422d8a89c034bacf4879,9d398da72,7144bb95a,Tue Dec 17 00:00:00 GMT-03:00 2013
5e34e758d547520deaff769ddf752cfdc5639bf2,d7f5f09c1,d871254d6,Thu Dec 19 00:00:00 GMT-03:00 2013
fb9f811bcec27919b320bfe91016fe22bf3b46f9,d871254d6,42dc0f004,Tue Jan 07 00:00:00 GMT-03:00 2014
688df6eb1f969b7d2fa546b5862df60d19356508,53c63ff4f,d871254d6,Tue Jan 07 00:00:00 GMT-03:00 2014
92cd751e131f5ffcbaaa196d13d6c99faeed7fb2,688df6eb1,ee107ed5e,Wed Jan 08 00:00:00 GMT-03:00 2014
660da8ae053396e5318e551a6c7512705a8aba10,c5bbd08cd,84c4031b4,Thu Jan 09 00:00:00 GMT-03:00 2014
bf085ee7fd87236f1b3ca4883b7745415a4535f4,47dc49448,84c4031b4,Thu Jan 09 00:00:00 GMT-03:00 2014
8003d1e844b564b8962d468bb798e95a3e07b889,47dc49448,1fdc5c0eb,Fri Jan 10 00:00:00 GMT-03:00 2014
70b411a21204d78f3970da1600384f5a4f0748ea,8003d1e84,55bdd46ae,Fri Jan 10 00:00:00 GMT-03:00 2014
b4abd2c1db0e4b7fe079b2c48fd8eef43c0b0f83,70b411a21,7d8aa46a4,Fri Jan 10 00:00:00 GMT-03:00 2014
c95c437187429543193cec6ee492e46a2de05c13,087ff3673,e862fe988,Mon Jan 13 00:00:00 GMT-03:00 2014
5a908021348b5eae51c65bd093236be92cbd25ef,c70e18b91,e862fe988,Mon Jan 13 00:00:00 GMT-03:00 2014
c7a40f7d0044df5b59c15115c3cbed42d7c75f92,941c7c168,c2528bd09,Tue Jan 14 00:00:00 GMT-03:00 2014
17717be6d9c1ef07876177122267ef4c4ab0b600,3e7c01149,c95c43718,Wed Jan 15 00:00:00 GMT-03:00 2014
8f007f93e252c4a9ad681f72e1f8333a69e3f85d,17717be6d,3a182a48e,Wed Jan 15 00:00:00 GMT-03:00 2014
5587c810065779985cae9959336353bc497e9d0c,31473b8f4,656d3534a,Fri Jan 17 00:00:00 GMT-03:00 2014
d1df81b04eb0ad600a3545b8d2c1e30c84970e26,9b3d66826,e862fe988,Mon Jan 27 00:00:00 GMT-03:00 2014
b3793431ecd6b738f6a0038f7ed9cf65ff0a5de3,ca9032efe,b4fef4433,Mon Jan 27 00:00:00 GMT-03:00 2014
eb011bedf031a2a6aae0b62a957b7001a67dfab8,740a4c420,b4fef4433,Tue Jan 28 00:00:00 GMT-03:00 2014
