Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_9dadc-1d4af,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e2fbb-bf440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f9dc9-ede3b,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_7e641-f5947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_635b6-6ce1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_dfc39-e80c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2b765-c5306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_66968-502b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_77c2a-9f3af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c51b8-24567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_05dba-caa91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_50113-a832e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_886fd-d9cdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_01ea5-f2d5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d7f5b-95b6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b2575-0fb76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7ec61-1c3dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6128f-5d65e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_215a2-059b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ed72d-79223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_24fdd-4e6d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_db516-cea67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d0f81-66b47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c5a3e-7f865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8ec7d-f1ba0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0c671-e26ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8958f-5d044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_053c2-73e5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
