Merge,Parent1,Parent2,Date
7e64139f2a72d9846c771e53e0f3f9fc436d2ac2,e2fbb10bc,bf440c07c,Thu Mar 06 00:00:00 GMT-03:00 2014
f5947b564c54e53557a63f9128b86eb25787c885,f9dc9b13f,ede3bb2ab,Fri Mar 14 00:00:00 GMT-03:00 2014
635b62158f1094c2b3f3bb89eee28b1f83b167c5,7e64139f2,f5947b564,Fri Mar 14 00:00:00 GMT-03:00 2014
dfc39afc0763e1c167a85ce968d08d7d82c835b1,635b62158,6ce1e9f9c,Wed Mar 19 00:00:00 GMT-03:00 2014
fa4e9ac64227e56445c0b3bbdcbfb773702295bf,dfc39afc0,e80c2cf5c,Fri Mar 21 00:00:00 GMT-03:00 2014
bc5c20ef88eab0da677d3a905cf8cb480c07d341,2b7658b0c,c5306afa9,Sun Mar 30 00:00:00 GMT-03:00 2014
522c5d8d097184f55f32f81bece9cc54dc70cb7a,66968a3e9,502b90d3c,Mon Mar 31 00:00:00 GMT-03:00 2014
5e16f04ec0b12506b332abf940a650b3d17806fa,77c2a6d35,9f3af2bc0,Tue Apr 01 00:00:00 GMT-03:00 2014
c82045d82998cb63e9660fac06f983a5c06c2217,c51b815f2,2456739fe,Thu Apr 03 00:00:00 GMT-03:00 2014
19bc75e9ddabf42138d7f2a0fc608bd4175b6b47,05dba41a5,caa914184,Mon Apr 07 00:00:00 GMT-03:00 2014
d9cdf87776a50c4d598bc02e1ef39f68d9525acd,501136323,a832eea3a,Thu Apr 10 00:00:00 GMT-03:00 2014
de3fcfb8a54c4bc68fdba00f4ae7cb7c67c828d4,886fd0761,d9cdf8777,Fri Apr 11 00:00:00 GMT-03:00 2014
d7f5bc995d77e2520b0f736999522ca3697351cf,01ea5743d,f2d5bf784,Sat Apr 12 00:00:00 GMT-03:00 2014
b2575c69c91e33a821279158bd5ad5520895fa32,d7f5bc995,95b6bb3aa,Sat Apr 12 00:00:00 GMT-03:00 2014
f77269a07570595ee373a868b4009fb9b5824098,b2575c69c,0fb76be7d,Sat Apr 12 00:00:00 GMT-03:00 2014
6128ffdbb927e940d8fcca952ce81e8563dd4d97,7ec616423,1c3dcbda4,Thu Apr 17 00:00:00 GMT-03:00 2014
215a2aa3bd064baf91141915542a2e0fd9ae25ae,6128ffdbb,5d65eefc3,Tue Apr 22 00:00:00 GMT-03:00 2014
085aff37c3f0ef48e107c9a0bc2737d9b8a46321,215a2aa3b,059b28003,Tue Apr 22 00:00:00 GMT-03:00 2014
2540cc9d19e1c20405427c38d4ae365e56a98b6c,ed72d9172,79223a5ad,Tue Apr 29 00:00:00 GMT-03:00 2014
6a5688e600f74071bc7b2bfda07734a26a841573,24fdd4353,4e6d22d3e,Tue May 06 00:00:00 GMT-03:00 2014
d0f8185d87c0825e9befaf9ba391687cb3f6e4f0,db51640df,cea67a811,Tue May 13 00:00:00 GMT-03:00 2014
c5a3e35bdca1604f4ee74605717fe71589f84919,d0f8185d8,66b4777dc,Tue May 20 00:00:00 GMT-03:00 2014
8ec7dacfd82a298ff7c349ce88a1ee1282fd4f16,c5a3e35bd,7f8657030,Wed May 21 00:00:00 GMT-03:00 2014
0c671be095977c6b99d65aa077f813b8772a128c,8ec7dacfd,f1ba0df8f,Wed May 21 00:00:00 GMT-03:00 2014
8ca09320904c125ab77d553a70521fd04130c446,0c671be09,e26ec0594,Wed May 21 00:00:00 GMT-03:00 2014
053c242e698d3e4f8a1cb890c887c3ca79498f06,8958f6b33,5d044dbb0,Thu Jun 05 00:00:00 GMT-03:00 2014
e4e84039ad899fdcada84e483ec47dd50577008c,053c242e6,73e5b2d23,Tue Jul 08 00:00:00 GMT-03:00 2014
