Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_76e88-8e429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e2ace-4b0a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2920d-be344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b712e-34cc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_30395-944d2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4146d-039c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6540f-a029b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bc07b-79318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5348e-39c9c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cd4c4-2c6ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d332e-9083e,0,0,0,0,1,0,0,0,0,0,45,0,0,0,0,0,0,0
rev_b1a77-40805,1,0,0,0,1,1,1,0,0,0,9,6,4,4,0,0,0,0
rev_bc799-c3b6c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4d270-0d321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c5775-37e62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_48879-b2382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_90db8-cd5ed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_68d6a-cd74a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7dc2d-f8e0c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_47e95-8d135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a9f47-c8ef9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1c01f-c8437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0d024-58e92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ccc1f-ad498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6b856-eecc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fc572-34026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f8316-6f40a,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_0d6fa-08823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4262a-a4b23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_277ad-9d09f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e2429-14c65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6398d-23218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_405bb-8b090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_09422-c5da2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_93527-0a736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5a3e6-843d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
