Merge,Parent1,Parent2,Date
1e6ae18ff072a236dd765d3c0a130c3e905fb4e2,a3a597da,656c62cf,Thu Feb 27 00:00:00 GMT-03:00 2014
10782121df23227e4d56086d3905a9fa068be285,1e6ae18f,89b685d5,Tue Mar 11 00:00:00 GMT-03:00 2014
3feda7b143c3ad37809695840495eb2d7c301659,10782121,256475a1,Sat Mar 22 00:00:00 GMT-03:00 2014
4f3b6483cb9489d48d3a41a67ee9f532d4cdd72b,3feda7b1,a1626401,Wed Mar 26 00:00:00 GMT-03:00 2014
8e42946c932b25b4bb966b23187f0cbbfdd48080,4f3b6483,8882d6a9,Sat Jun 21 00:00:00 GMT-03:00 2014
505b871d4110dcf9a4598e0b94c39f2d9f340c95,76e883da,8e42946c,Tue Jul 08 00:00:00 GMT-03:00 2014
4b0a1ea2d227a993ff303609f85ad202f3f0383a,505b871d,c93506fe,Wed Jul 30 00:00:00 GMT-03:00 2014
6b35e03b4720286332306a653453b14e27ea0082,e2acee82,4b0a1ea2,Mon Sep 29 00:00:00 GMT-03:00 2014
2920d516d2aca2175342ca405ca6596a1c6e6e38,bfc83d7e,169d6f32,Sun Oct 19 00:00:00 GMT-03:00 2014
b712e4481b88fabd5dde734059f84c6056985c0a,2920d516,be344d8a,Sun Oct 19 00:00:00 GMT-03:00 2014
a037d25fdffd39c44393db4bb2aa6609ee6cf478,b712e448,34cc3691,Sun Oct 19 00:00:00 GMT-03:00 2014
944d2e85dd519b44a532b70572b78596317c606c,a037d25f,b6c3ceec,Mon Oct 27 00:00:00 GMT-03:00 2014
990c13328be69fc7d9131fe37cf94f0adff2616c,3039599a,944d2e85,Mon Oct 27 00:00:00 GMT-03:00 2014
4146d719c25e6ed1e6a9713245544ae017206317,944d2e85,813faefc,Wed Oct 29 00:00:00 GMT-03:00 2014
6540fa0ed2b6ed790dfec1d669d5ba8d1b08f7db,4146d719,039c6ed1,Thu Oct 30 00:00:00 GMT-03:00 2014
79318c47b25356b5f1909861571e458419fda12a,6540fa0e,a029b926,Thu Oct 30 00:00:00 GMT-03:00 2014
f34bbb937512fe61335f24e3ca70bc36d84463d6,bc07b128,79318c47,Thu Oct 30 00:00:00 GMT-03:00 2014
785d0cd568b9bd1d6bb6d344fed034dca185f09a,79318c47,fa254ba0,Fri Oct 31 00:00:00 GMT-03:00 2014
8629e1c086b21f1fffcdb3b758031afa531ad856,785d0cd5,0d7effe0,Sun Nov 02 00:00:00 GMT-03:00 2014
5348e5f055589edb5ef352c1c424b06df86af8c6,8629e1c0,8f3e9793,Tue Nov 04 00:00:00 GMT-03:00 2014
cd4c480951b9e2a3459b84c2cb6c87df7e3a8e23,5348e5f0,39c9c163,Wed Nov 05 00:00:00 GMT-03:00 2014
170251af2487d85cdfa7c21f6c39227896750ebf,cd4c4809,2c6ff03b,Wed Nov 05 00:00:00 GMT-03:00 2014
f3a231d5ae78b324b9c42f597023430dd5a99d01,170251af,36653c8a,Fri Nov 07 00:00:00 GMT-03:00 2014
2aa87d15fa9eec9a0f1598ada26b6da5053fa2cf,f3a231d5,637eeb46,Sun Nov 09 00:00:00 GMT-03:00 2014
37ae82e4f25644f82435e7035080d1328c0028b3,2aa87d15,52433bcf,Sun Nov 09 00:00:00 GMT-03:00 2014
50bf0ae0d66cb44ee20f2cf879c65ba3d983fae6,37ae82e4,3f3ee7fb,Mon Nov 10 00:00:00 GMT-03:00 2014
bb94f701cddc6be3b190f145f76f66f4fb031110,50bf0ae0,185e82fb,Mon Nov 17 00:00:00 GMT-03:00 2014
9083e1f73d900ff9f2538dda27175033261e6e3f,bb94f701,c01c591b,Tue Nov 18 00:00:00 GMT-03:00 2014
5eb27a320214e395e5e032344483f76101fa0912,d332e522,9083e1f7,Thu Nov 20 00:00:00 GMT-03:00 2014
109b889f07f58ca9eb997930c504842f9b16d156,9083e1f7,5eb27a32,Thu Nov 20 00:00:00 GMT-03:00 2014
9b65555a33d8f62efd99c7cec7cc97d45677fd50,109b889f,eb9f9e83,Wed Dec 03 00:00:00 GMT-03:00 2014
4080568f29bc5dd07fb1da1977f7d9089915a89b,9b65555a,5b9fcde3,Sun Dec 14 00:00:00 GMT-03:00 2014
9a760015da4b5cdf196f954179517e18f2c40988,b1a77312,4080568f,Sun Dec 14 00:00:00 GMT-03:00 2014
bc799f40bd17ca0e44c00de49892bc323358bcf3,4080568f,0016bfb6,Sun Dec 14 00:00:00 GMT-03:00 2014
d014cfbf89e93bbfedcc4f6e29ef6efb80433427,bc799f40,c3b6c9bd,Sun Dec 14 00:00:00 GMT-03:00 2014
867dfac4c23f68e7b5153b8c3ecf34dcb7d6b0fe,d014cfbf,0ba3c17c,Sun Dec 14 00:00:00 GMT-03:00 2014
6e700cd4957a830aecb2ef9c5baab52af53e6032,867dfac4,45b620df,Sun Dec 14 00:00:00 GMT-03:00 2014
7f02bffabfcdc97a1454fca4dca1302e9492ab49,00d93177,1115b951,Mon Dec 15 00:00:00 GMT-03:00 2014
c57757617002e5acf1b2622f861fbc7c309dabef,7f02bffa,4d2707e6,Sun Dec 21 00:00:00 GMT-03:00 2014
eee44da3bc30310176e37ce64ef1303149208634,4d2707e6,0d321bfa,Sun Dec 21 00:00:00 GMT-03:00 2014
aa0d13f0792c2d7fe5860019e2b35201c1e6d1f2,c5775761,37e62637,Sun Dec 21 00:00:00 GMT-03:00 2014
b2382c41860fa3baba4bf8d19a20f0f4da783e39,aa0d13f0,b6389abf,Wed Jan 07 00:00:00 GMT-03:00 2015
57fd31edef85a8b6ab711e9284f0a246533b099c,48879127,b2382c41,Thu Jan 08 00:00:00 GMT-03:00 2015
7e2423183246b655d2cb86d9d3f31d22b183e42e,b2382c41,57fd31ed,Mon Jan 12 00:00:00 GMT-03:00 2015
f6d7d570d3f50a76e4ef93b22b68ace0712c76c8,90e4f345,2b84a4d2,Sun Jan 25 00:00:00 GMT-03:00 2015
68d6a512af98a6c3496b2e559a122766ab257728,90db8c2e,cd5ed51a,Wed Feb 11 00:00:00 GMT-03:00 2015
922ccfe558027cda884fabf3718c302357f5dc69,68d6a512,cd74abac,Wed Feb 11 00:00:00 GMT-03:00 2015
