Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_ae26e-a2b2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9a24c-56f7c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b6684-56f7c,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_86798-56f7c,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
rev_e5265-56f7c,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0
rev_47bf7-56f7c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d2cc3-56f7c,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0
rev_dd38b-92007,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
rev_88de7-92007,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_34841-92007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_92007-44fc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a082a-fe414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fe414-cfa65,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_3f617-74ba7,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_261d3-f8eea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_09206-1cd43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_70841-5d8a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_65e57-aea01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ecc39-7803c,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_7803c-03bfc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d78a5-23f60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1edf3-3f68d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d17e6-3c4a7,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_3c4a7-5ec83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7f665-3c4a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f385e-fd717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bd745-d581a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_752e8-99b38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8c4fb-ec4a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e1e5a-07160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3e730-5241f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ab466-3b528,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0
rev_61947-dda54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9bf44-c78a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0d712-c2c01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_df821-9b8af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9fd2d-1e6c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c9652-2c23b,1,0,0,0,1,11,11,1,0,0,8,0,0,0,6,2,0,0
rev_2c23b-07d87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_79c9d-a4df2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bd354-74b13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_90ef9-74b13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_74b13-9608e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e6eee-d58c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b5c13-b9b04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a8b90-646e6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4831e-6daa0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a6824-466c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7b8ec-7bf52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_167c7-436ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ac050-0aed6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c3bcf-0800b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9360c-c8a1f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_837cb-dbc84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_41e55-84ec7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f09ea-6c193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_13e5a-8c236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fbcc1-f3e03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_298c9-8bb81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_59544-b0b87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_feab1-6f2a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_aa818-48a19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_51c37-350a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_75a8b-fd255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_57e4d-7f4b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_151fd-b483d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d7436-4a0e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_560ce-f5502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e8932-37f54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9a62b-f3560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_682c0-63154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ca4b1-ed1dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_30a8f-28f76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_eba6e-5d18b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c8094-30d02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e2e39-ca4b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2811b-f0c1c,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_f0c1c-5be3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_397ed-6382e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2f79e-751d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6daee-96154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_594f7-26591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e67b3-e2de2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4e114-1dd5e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a35b3-1e01f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d1270-ef7c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2616b-9df99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d2d48-0383a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f4afe-e790d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d2004-74af3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_970e1-b3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_91b1d-802a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bc0c2-968e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
