Merge,Parent1,Parent2,Date
56f7c3654001ccdc77464f9ad985cdf98518c14f,ae26e01a0,a2b2e2b7a,Wed Apr 30 00:00:00 GMT-03:00 2014
2b64a09d86685dd46ea6ab33f157a94887ed1a0c,9a24c976c,56f7c3654,Wed Apr 30 00:00:00 GMT-03:00 2014
88de7eddc8326194e3fd0b019826ea637cd7217a,b66848e10,56f7c3654,Wed Apr 30 00:00:00 GMT-03:00 2014
dd38b1cc2cfab6e365d83f86a78711edf2a898a3,867989aaf,56f7c3654,Wed Apr 30 00:00:00 GMT-03:00 2014
348414f102dc79d1913e6a13d5b253bc38187d08,e5265c04f,56f7c3654,Wed Apr 30 00:00:00 GMT-03:00 2014
c7cc573cc900fb0fd99d9d090149f84fe3190443,47bf70491,56f7c3654,Wed Apr 30 00:00:00 GMT-03:00 2014
a082a045319a1c24eee0b3a844b63ff4e5606fc7,d2cc339bc,56f7c3654,Wed Apr 30 00:00:00 GMT-03:00 2014
74ba775ccbe3b5e1dac87577a913206ce8a33628,dd38b1cc2,92007d1d7,Wed Apr 30 00:00:00 GMT-03:00 2014
cfa65da59988e0e897775a789663d0b8fbd436bd,88de7eddc,92007d1d7,Wed Apr 30 00:00:00 GMT-03:00 2014
d17e6ce3ebd74020428258e703c6718ef308b77a,348414f10,92007d1d7,Wed Apr 30 00:00:00 GMT-03:00 2014
fe41423c9d35467c88ff9f2054bb451ed52e60c8,92007d1d7,44fc34735,Wed Apr 30 00:00:00 GMT-03:00 2014
44e0aabd84cc1a905f26aae51be0fa8f49d815da,a082a0453,fe41423c9,Wed Apr 30 00:00:00 GMT-03:00 2014
3f617bf9e6b62e7d8edca61bb00a0e4948a99ea4,fe41423c9,cfa65da59,Wed Apr 30 00:00:00 GMT-03:00 2014
4ecc1d50e177059a9499a712f715834334c016ec,3f617bf9e,74ba775cc,Wed Apr 30 00:00:00 GMT-03:00 2014
b32f8c4c63bdfa6e8edcc43b378349bc8e4cb7a2,261d3c1c1,f8eea76ef,Fri May 02 00:00:00 GMT-03:00 2014
708414bfd8eaf03409688d75e78df81af31cd35c,09206d452,1cd43d696,Sat May 03 00:00:00 GMT-03:00 2014
65e57c13fbd30b6ff37b388674933e335beb38b5,708414bfd,5d8a60ae9,Sat May 03 00:00:00 GMT-03:00 2014
7803c56d502b04d48c32deb3d56e70ef42e58a1e,65e57c13f,aea01551e,Sat May 03 00:00:00 GMT-03:00 2014
644dc478687efbfc76dfec9836bb402be565c04c,ecc39d276,7803c56d5,Sat May 03 00:00:00 GMT-03:00 2014
d78a5007eed5b8a9c8a3794c19921f01a13bf50c,7803c56d5,03bfcba9a,Sun May 04 00:00:00 GMT-03:00 2014
1edf3717a1465bca90fdc3ef558ea5f036902c9f,d78a5007e,23f601d1d,Sun May 04 00:00:00 GMT-03:00 2014
3c4a7c63427c04c1dd6ea0a80c19170afd510cec,1edf3717a,3f68d2c5d,Sun May 04 00:00:00 GMT-03:00 2014
5ec83dfc51c1e7b6b838271995dcef9c1534282d,d17e6ce3e,3c4a7c634,Sun May 04 00:00:00 GMT-03:00 2014
eeb48d425f916a45fb2c6434c5d924b2f99ec3a2,3c4a7c634,5ec83dfc5,Sun May 04 00:00:00 GMT-03:00 2014
c2d216664456d3584dad80f226abd6aeb32a1c49,7f6651ae4,3c4a7c634,Mon May 05 00:00:00 GMT-03:00 2014
bd745bf07e30f7b15a09173a28c29dfbbc7b32d5,f385e0292,fd717a741,Mon May 05 00:00:00 GMT-03:00 2014
8c4fb8fec6714495d3e58ebf9dd922f164d965b0,bd745bf07,d581aa0bf,Tue May 06 00:00:00 GMT-03:00 2014
12cf169b3fc59d0040b2f0b7ea9f5a0e30adc614,752e82a26,99b389edb,Wed May 07 00:00:00 GMT-03:00 2014
e1e5afb07138234272091b40ca0d56786f48be8e,8c4fb8fec,ec4a8328e,Wed May 07 00:00:00 GMT-03:00 2014
3e73075978b9901bc90eeb2b26f8e1f4b2f48ce9,e1e5afb07,0716036e8,Fri May 09 00:00:00 GMT-03:00 2014
ab466b77cc6d9de5cca53e4e4d5ae5ab98675b15,3e7307597,5241f0903,Fri May 09 00:00:00 GMT-03:00 2014
