Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_689e9-12136,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_0e263-da048,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
rev_d8b2d-33cc7,1,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
rev_b796c-cae6e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_07daf-1096e,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_7d3a2-500e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3dfeb-57322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9e1f3-babd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_47173-c4b8e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8785a-df445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_618e3-b0d37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4917a-d5bf8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_65a08-47e98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_47e98-8663e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_60273-b3cdd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b3cdd-8e6e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_60f2e-c0755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c0755-69d79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4b070-bde70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ee157-381f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_88d4c-35ccc,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_c9aac-4cf97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
