Merge,Parent1,Parent2,Date
703923c3dd4101b910f2630e82ea9f6ac19739c7,b796cb8b,cae6e8a0,Fri Nov 29 00:00:00 GMT-03:00 2013
16f89da2b9d1e792ee0d98cdaad730354df976da,07daf512,1096ed96,Fri Dec 27 00:00:00 GMT-03:00 2013
7d3a2d913b6b9a7b3e92d66e07fceecb6c2dd373,1096ed96,6a5ba958,Mon Dec 30 00:00:00 GMT-03:00 2013
5732286dc355018cddcb8527e6263c0f699cae86,7d3a2d91,500e2217,Tue Dec 31 00:00:00 GMT-03:00 2013
babd23c706ddc315c37f1eefa281e07e85f3cbd6,3dfebbda,5732286d,Tue Dec 31 00:00:00 GMT-03:00 2013
5ed56743398d11ba90c95d360fdad56a044b36c3,9e1f34e8,babd23c7,Sat Jan 04 00:00:00 GMT-03:00 2014
9b4532e26fe870c5213fa7b79b8d6de159a7b2c8,47173fd8,c4b8eda3,Mon Jan 13 00:00:00 GMT-03:00 2014
fba0952973204af17a3408041b573fb965f02115,8785a0ff,df44510d,Mon Feb 03 00:00:00 GMT-03:00 2014
d7c542bb74124bb7c26bdfba7860ab0505c27a2f,618e344c,b0d371b6,Thu Feb 27 00:00:00 GMT-03:00 2014
a5adc3fca56e9f056d3f849af877e4439f129c1c,4917af82,d5bf8eaf,Thu Feb 27 00:00:00 GMT-03:00 2014
602738d83a48f415871b5fead738aed9a5bbf130,65a08b0d,47e98a86,Sun Mar 02 00:00:00 GMT-03:00 2014
b3cddc1df83dcdcd3e1c0e25e009559acee3b01f,47e98a86,8663ed89,Sun Mar 02 00:00:00 GMT-03:00 2014
60f2e832a606439419931b28cdaeadcf7523b134,602738d8,b3cddc1d,Sun Mar 02 00:00:00 GMT-03:00 2014
c0755f7b638229dd743922adb761409bb27e412a,b3cddc1d,8e6e98ce,Mon Mar 03 00:00:00 GMT-03:00 2014
4b070379689308fcfe168f82f594e1fde2eb5285,60f2e832,c0755f7b,Mon Mar 03 00:00:00 GMT-03:00 2014
bde70b53da1a5327844f909ab78dd590ccf1678f,c0755f7b,69d79be1,Mon Mar 03 00:00:00 GMT-03:00 2014
900fc8da54d78aff938e249dab68fe4a1716e1f8,4b070379,bde70b53,Mon Mar 03 00:00:00 GMT-03:00 2014
4b192ed27e47be04744f47007d4a413033d1d34b,ee15779a,381f100e,Wed Mar 05 00:00:00 GMT-03:00 2014
c9aac786865358449a92bc3e08bc6b2477cad9cc,88d4cf02,35ccc994,Wed Mar 05 00:00:00 GMT-03:00 2014
6ad5f0cd7557746f79a4ff8e52ecb6bfe566b0bc,c9aac786,4cf971a6,Wed Mar 05 00:00:00 GMT-03:00 2014
702922e1dbf7d93a14322143682e810d797d3d49,73a83086,ee2416f1,Thu Mar 06 00:00:00 GMT-03:00 2014
690776a836a0191a5c153222f25f7a41711fee97,49a9e8cf,85fdfc8d,Sat Mar 08 00:00:00 GMT-03:00 2014
2d97ae512ed5caac16709dee58b505fe3e858b75,19ea1acb,ae811b4b,Thu Mar 13 00:00:00 GMT-03:00 2014
2cba73a3d8d1d812350111918c2eb80bb7a0109a,87817057,8cdcc780,Sun Mar 16 00:00:00 GMT-03:00 2014
e40cf3e45a766857273a659f0cbf9de1f8f84849,9b1f72dd,1ae01329,Mon Mar 17 00:00:00 GMT-03:00 2014
1ffb866d039214067479e95df2ff0f7f7e80f59e,719cae2e,6bcbe55e,Thu Mar 27 00:00:00 GMT-03:00 2014
c72b75d89633855b79a6bc0ea82e5f78349ff7b0,dbb18c8d,e4a97775,Wed Apr 02 00:00:00 GMT-03:00 2014
6885afebcd02f84bb3b1a4cc18e69e8504696e72,25caa38b,2ea53b8a,Wed Apr 02 00:00:00 GMT-03:00 2014
b6f012079fbe385cf3dd4466ca79f8fea70fdde3,6885afeb,c375517d,Fri Apr 04 00:00:00 GMT-03:00 2014
df5e3e641f75817473789a171b8772ef3a0830b0,6c2319c7,f68db06c,Tue Apr 08 00:00:00 GMT-03:00 2014
6b25ab56256c91c5447c6c13abf8fb5873cef2ec,e0d42fa3,484fe53a,Sat Apr 26 00:00:00 GMT-03:00 2014
8aefcc9c2d0ff948aef18110b976942c54eb6c97,ee538e7d,68580982,Thu May 01 00:00:00 GMT-03:00 2014
984f7da8d4147efb8225b05134a53f264fd8f403,15acc3c5,8aefcc9c,Thu May 01 00:00:00 GMT-03:00 2014
de0043fe9708211d80c18d4c1fc22a10bebc7a16,ee538e7d,0b85be42,Thu May 08 00:00:00 GMT-03:00 2014
0280fc4da8c0194b651ee15a32f13a6d6deb7dd1,899d8534,de0043fe,Sat May 10 00:00:00 GMT-03:00 2014
2f344c9613b0ff12863680554bd42879e36722f8,8ec94868,d1b6903a,Thu May 15 00:00:00 GMT-03:00 2014
0bcbbdde3de5dc863b9ea4d20bec6e7c5129976e,b2c2c7ee,fd9c07be,Mon May 19 00:00:00 GMT-03:00 2014
33aea42c7968d8b4332684f850784a45300a99bd,8aefcc9c,d1b6903a,Mon May 19 00:00:00 GMT-03:00 2014
8f92fe554b7be62458e98a8ed6c551588c40e1b5,0bcbbdde,d1b6903a,Mon May 19 00:00:00 GMT-03:00 2014
2158e5e2166bde64de37b8306038e29ca40ae17d,d1b6903a,8a40f45b,Mon May 19 00:00:00 GMT-03:00 2014
1456c2527ae011496a898369e55efa2c3348178a,f9cb525f,2158e5e2,Mon May 19 00:00:00 GMT-03:00 2014
21bf79cac24125f9c0d67487d07a9265f29d849c,835b6a59,aad12263,Tue May 20 00:00:00 GMT-03:00 2014
749ecb16894dc569a18ff75ca8b56bb0e3a3a863,139de0d3,21bf79ca,Tue May 20 00:00:00 GMT-03:00 2014
6269eeef2b7845d8d1ebc8d2e541e6b05d211de7,21bf79ca,4a4600b2,Wed May 21 00:00:00 GMT-03:00 2014
9ccb63ef6eeb5fea535f315bf4ddc6713b5f2d66,6269eeef,835e4425,Wed May 21 00:00:00 GMT-03:00 2014
024a2c97a0bb58834648f5dde6bc2f17c3c4823a,d46f15f6,9ccb63ef,Wed May 21 00:00:00 GMT-03:00 2014
e43107ace089c0f78c7152c030ffbcd9f788e01f,33aea42c,024a2c97,Wed May 21 00:00:00 GMT-03:00 2014
5440d459f4fca5547eff9b49e9b6ed4ab88de899,4d21d1a4,835e4425,Wed May 21 00:00:00 GMT-03:00 2014
54c365ee9fd6dcffddfaff0cc6f56cb172a18011,5440d459,2ee97612,Wed May 21 00:00:00 GMT-03:00 2014
175695fe37f732f6e766dca160788a2cc2067a20,2ee97612,7db3d742,Thu May 22 00:00:00 GMT-03:00 2014
a7dff677ced91745215ff17b0dae249b2d22e2fb,175695fe,95f553d8,Fri May 23 00:00:00 GMT-03:00 2014
7066f0e2e7547b7f6936bab466b760386b0c5a58,e34adfe3,872ceb25,Sat May 24 00:00:00 GMT-03:00 2014
3bf4b51f14787fc187a629af8838073b0c40f5df,a39b8bc1,681b2e87,Tue May 27 00:00:00 GMT-03:00 2014
e3b2a21dc5a196c01b2c7eece0be4262ab47af7f,ba9c24c6,a1991c03,Tue May 27 00:00:00 GMT-03:00 2014
7ba9f5c74b593a5e5f6ef63bec7a861a0c404b27,9fd4e26b,347214c7,Thu May 29 00:00:00 GMT-03:00 2014
a3868430a5eb5b33f76be4d429bc7e25adb18468,1285bd0b,7ba9f5c7,Thu May 29 00:00:00 GMT-03:00 2014
bae968d9a85c0501ba8842a6f88e7fc2c6b78693,1500dd50,5dc20910,Thu Jun 05 00:00:00 GMT-03:00 2014
e4f6a3aa7b9e3838b6ea77ccbb3f536d886e74cb,5d93f695,5dc20910,Thu Jun 05 00:00:00 GMT-03:00 2014
f205e3729cebe12c5c336491cb3ee5f5d71aeb81,453bf206,ecd8c80d,Thu Jun 05 00:00:00 GMT-03:00 2014
ab8b279a02acf0a10c3beb0b9382bda3f3fce61b,bae968d9,ecd8c80d,Thu Jun 05 00:00:00 GMT-03:00 2014
934b306b8b8717bf18c9851742bfa494693244ba,ab8b279a,e49f5930,Thu Jun 05 00:00:00 GMT-03:00 2014
0d29fd9917e6e53993ea96798b84e945d17aa41e,f205e372,b307815b,Fri Jun 06 00:00:00 GMT-03:00 2014
2091d684e73990394c175c0add869b9890c0b61f,b307815b,aa89bf3b,Mon Jun 09 00:00:00 GMT-03:00 2014
b2ccb686b6cc47f80ec163fca6258a94fa31b3de,2091d684,d2099488,Mon Jun 09 00:00:00 GMT-03:00 2014
69d16e95ddeaf2d3d87f3a617b7a893055bc027b,386cd501,7996d1c4,Mon Jun 09 00:00:00 GMT-03:00 2014
98e51c762a305d427e339e6c57022888df270753,7996d1c4,8e47a9b7,Mon Jun 09 00:00:00 GMT-03:00 2014
e71e28dd0deeec4586686bb1768af9552647117e,81ce3ae4,22074a2f,Tue Jun 10 00:00:00 GMT-03:00 2014
5a25de85f7d22885946c0e94e9d4e9d2147bf3a2,22074a2f,8e3445f7,Wed Jun 11 00:00:00 GMT-03:00 2014
b49ca81006e2693bb494e9d3b48e6a10feacc81f,558e9446,5a25de85,Wed Jun 11 00:00:00 GMT-03:00 2014
9314bf59ec64729626db528eb0b695afea1a2446,cb7d2a21,8f414b75,Fri Jun 13 00:00:00 GMT-03:00 2014
a1a715d3483cdef63332e8a20e66226ea611bc05,551950d7,9314bf59,Fri Jun 13 00:00:00 GMT-03:00 2014
a0351e6dff08fda05d3ffdc9dc5080f9b4a9259b,f6dba70c,84e089cb,Tue Jun 17 00:00:00 GMT-03:00 2014
4909704576df5efec5934778312e174d19d66d97,db9948c6,35125dae,Wed Jun 18 00:00:00 GMT-03:00 2014
1b696cc9d683cb4ee96158f0f99f9ddfc30c9eb0,92b38d27,d42699b0,Wed Jun 18 00:00:00 GMT-03:00 2014
c6ac91393cb1de9ef8e99080d9c369701066ba57,ad0ecb94,cd0a282d,Wed Jun 18 00:00:00 GMT-03:00 2014
ea8f6bab41c4e2866ae066a6187c03dc78a37ff4,e1f28a28,25ddc31b,Wed Jun 18 00:00:00 GMT-03:00 2014
b7975bcbee50e2ed4f7c85a79ee10ce611f158f6,858a772e,1e776ddc,Thu Jun 19 00:00:00 GMT-03:00 2014
8cf1936883c8dab2e45d732947d4f983744f52b7,80744b9b,b45d89fd,Mon Jun 23 00:00:00 GMT-03:00 2014
b7e1cef0270e304e94f37bb7f50553a0e6dd6934,6e7210d8,01a967d1,Tue Jun 24 00:00:00 GMT-03:00 2014
0e31ea0acbd6e608a2dbf9d9a9cca890b2faedb7,b7e1cef0,ff7619a7,Tue Jun 24 00:00:00 GMT-03:00 2014
1cafb6e7d61987a30b9681753a25b582c04d113b,1b83053c,d24910ff,Tue Jun 24 00:00:00 GMT-03:00 2014
5995c903da52fb12852e571437e0740856b20f1b,557751a9,7d7a7d9f,Wed Jun 25 00:00:00 GMT-03:00 2014
f8f73912ae7e616981924bf26160d04825f064b1,5995c903,2de3aadb,Fri Jun 27 00:00:00 GMT-03:00 2014
56b9cf791380e892e2a91cc7b537b502411d2114,f8f73912,38c042c5,Wed Jul 02 00:00:00 GMT-03:00 2014
d880f6f720d94e0354f9565dde9bc50af5de0cd5,39277fdd,4686f7b0,Wed Jul 02 00:00:00 GMT-03:00 2014
28a0ef644088c023076de6b59d4bb9ae684ca208,91793ba5,d880f6f7,Wed Jul 02 00:00:00 GMT-03:00 2014
5485e922b7071f821cc2803be1bcd3108507fa4f,51fdd21c,a125517d,Wed Jul 02 00:00:00 GMT-03:00 2014
9a0ac201b35618c31c561bc57a62c4f77fa9ca01,97491042,acae307f,Wed Jul 02 00:00:00 GMT-03:00 2014
52c05968278dbee277b6d06d0f80fa2891c37b34,acae307f,ae0ae8e8,Thu Jul 03 00:00:00 GMT-03:00 2014
1bb20ae483ff392bd68c4b9592b7a96440d8f805,d2b3f879,52c05968,Thu Jul 03 00:00:00 GMT-03:00 2014
39576ac032675f9e020ff82077f4fe0e76e13986,f6126828,a1ed221c,Fri Jul 04 00:00:00 GMT-03:00 2014
854067da1f223fe1c860d8842318019fa6aaa340,bf7f1770,a5001cae,Mon Jul 07 00:00:00 GMT-03:00 2014
1d44fdb436f12eb7cefc34ffe2e79fc26e8d8d2c,9a3df0b6,854067da,Mon Jul 07 00:00:00 GMT-03:00 2014
40a0ce39be802f73e084b323a75bb66ec4ed5cd7,83fca9d0,35531330,Thu Jul 10 00:00:00 GMT-03:00 2014
b7cf66450270fac802e6521d8b922de28966b278,40a0ce39,6e10d2ba,Mon Aug 04 00:00:00 GMT-03:00 2014
208a51153ebd092ab8a67c728d894766ed983e1c,b7cf6645,6cb5e40d,Tue Aug 05 00:00:00 GMT-03:00 2014
4bdd4c15a09f1db3c677af1a4f2437ec5cf3e3d3,3ae07474,f247faa5,Fri Aug 08 00:00:00 GMT-03:00 2014
e4c8133a369961d31e4ebc0c0b323b2a1490bfb3,a968ecd6,0e4d059c,Sat Aug 09 00:00:00 GMT-03:00 2014
9ee0f550729c45e3872f120cfa2f757ce715749b,0e4d059c,e4c8133a,Sun Aug 10 00:00:00 GMT-03:00 2014
02caefa581fd01d2dfce5bce6f9b2adbd5b1666b,1675bc6f,4d69543c,Mon Aug 11 00:00:00 GMT-03:00 2014
ec369df858b49d3ac9d25dc656a1a0a7675d4346,248433a4,04a40eeb,Mon Aug 11 00:00:00 GMT-03:00 2014
40571b6ae34beef4d79ddad4507f22cb93a2f05a,57f3e6ee,0f82337c,Mon Aug 11 00:00:00 GMT-03:00 2014
a2f0921b98b4a2a375ff3325da7a37654e060f3a,09efe39d,40571b6a,Mon Aug 11 00:00:00 GMT-03:00 2014
42a9d89441d55665100bc03cd6b2bcdaf1c0c8ea,11e829ea,a2f0921b,Mon Aug 11 00:00:00 GMT-03:00 2014
f82426182752108f58abbb97284c16fdca35fcbe,cd6b1faa,dbc003b3,Mon Aug 11 00:00:00 GMT-03:00 2014
d443bece5296444a2adff079a96efce34edecd25,49ea87ce,f8242618,Mon Aug 11 00:00:00 GMT-03:00 2014
