Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_b31d2-9d265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1bdee-360d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_66e11-0c0c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a8b7b-01d40,1,0,1,0,1,16,16,2,0,0,11,4,0,0,0,2,0,1
rev_c96bc-9ce4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6ce44-89c22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e5135-a8a75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2e9a8-40697,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
rev_dcff0-47433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ef43a-7f21b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_22db0-7b303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e8678-3d605,1,0,0,0,1,1,1,0,0,0,3,2,0,0,0,1,0,0
rev_1bdee-360d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_66e11-0c0c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a8b7b-01d40,1,0,0,0,1,16,16,2,0,0,11,4,0,0,0,2,0,1
rev_c96bc-9ce4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6ce44-89c22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e5135-a8a75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2e9a8-40697,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
rev_dcff0-47433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ef43a-7f21b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_22db0-7b303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e8678-3d605,1,0,0,0,1,1,1,0,0,0,3,2,0,0,0,1,0,0
rev_eb887-908e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_01e6f-160b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7d8bb-54bd9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_08c6f-d25eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0b0ee-6568d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_69dc6-5b6fa,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
rev_2433a-2fd96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6e219-64538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e936b-b73a6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_3c07e-4d4b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_89b6d-b71c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_aa663-3d0a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_90c8b-8bd30,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
rev_d5aee-38fcf,1,0,0,0,1,5,5,1,0,0,3,1,0,0,0,0,0,0
rev_020be-c37d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9455e-5a470,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
rev_c37d7-e90d0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_78c64-b86b8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
