Merge,Parent1,Parent2,Date
0c0c992f38a2cb896f553c13b0a1cb81a2e84c52,1bdee8ff,360d610e,Thu Jan 22 00:00:00 GMT-03:00 2015
59dcfb6f52590e6470cc938247c05f228b3e0160,66e11e9a,0c0c992f,Thu Jan 22 00:00:00 GMT-03:00 2015
0747dae87d95db10cd2f8c43757649542e6c6d62,a8b7bdd2,01d403a5,Thu Jan 29 00:00:00 GMT-03:00 2015
30107c0adbbd5c2fcb55501a4639deed30b07d75,62e509bd,c5be52c6,Fri Feb 06 00:00:00 GMT-03:00 2015
449dc1d0f198d0eea9d827c5d289bd2ed5bafb8d,3b373fda,c5be52c6,Fri Feb 06 00:00:00 GMT-03:00 2015
a7a7a77f215f6fe91e886cbee7f3a83afa4ed7a7,c96bc984,9ce4e785,Tue Feb 10 00:00:00 GMT-03:00 2015
a1aa00f33f95418b81f28fa6a05c2c301dc8df1d,6ce44293,89c22703,Thu Feb 12 00:00:00 GMT-03:00 2015
ef43a947f6429771f523502ca52b92ce67cbbb20,e5135b4f,a8a75cbd,Sat Feb 14 00:00:00 GMT-03:00 2015
f9f3c6676501613cbdf28222945a2b489a03b94b,2e9a8f5c,4069786f,Sun Mar 15 00:00:00 GMT-03:00 2015
eff81b135d7517694f6c62ca1ec3336a4417faed,dcff0e1f,474339e4,Sat Mar 21 00:00:00 GMT-03:00 2015
005c80ce2dfbfa214647e64b44c3b3fa075113aa,ef43a947,7f21b248,Wed Apr 08 00:00:00 GMT-03:00 2015
f0657723aaf67ca8aac1bb3ef7d92a0d0913ac64,49f5bec5,c9461c69,Tue Jun 30 00:00:00 GMT-03:00 2015
7b303201719318831696c86ca576c4a0ed509a59,035625b7,c9461c69,Tue Jun 30 00:00:00 GMT-03:00 2015
7fa72838b8369b44cdaeb836e76a21d7804b76d1,8fe82c49,c5ed08a3,Thu Jul 30 00:00:00 GMT-03:00 2015
3feecb064c033109101c95324a896e83f25beb4e,22db0b9a,7b303201,Thu Aug 13 00:00:00 GMT-03:00 2015
85f0f2f7299a20457cb5f113b00aca8f230c3019,e8678195,3d60559d,Mon Sep 07 00:00:00 GMT-03:00 2015
0cf4466155057bfd0bcd35c40ba0e67f6349fd02,eb887a2c,908e3606,Mon Sep 28 00:00:00 GMT-03:00 2015
9e526dcea1edfa4b06ab7611232e6cdca739ec51,01e6f32a,160b54a0,Mon Nov 23 00:00:00 GMT-03:00 2015
64d5fec8472068c1431d10bd3e6ff7d5695da068,0ed0f268,966e2ae2,Fri Dec 11 00:00:00 GMT-03:00 2015
4c255c8ac3ca71922d7c753ab97a3536e52c3bb8,7d8bb605,54bd98c8,Tue Dec 15 00:00:00 GMT-03:00 2015
9a0236c46acd91ceec8743e54ec3b7c235ad5daa,08c6f44e,d25eb276,Wed Jan 27 00:00:00 GMT-03:00 2016
69dc69a73390d810387a821caa4a792e4a45bbff,0b0eecc3,6568de80,Wed Feb 10 00:00:00 GMT-03:00 2016
3251c0e010843222a9d9d4b1a257dc3e229d8b80,69dc69a7,5b6fa661,Wed Feb 10 00:00:00 GMT-03:00 2016
b175731ff6cbaad0cc4ffa0524dc71f708ce1b71,3251c0e0,eb19d80c,Wed Feb 10 00:00:00 GMT-03:00 2016
75566be438be6ebbde995d18512752e6ceccf6e4,2433a92b,2fd96a2d,Sun Feb 14 00:00:00 GMT-03:00 2016
07cc0a5f6a7b9b029fd3256cbfe3e4e1d9e6f21e,6e21974c,64538d1f,Fri Feb 26 00:00:00 GMT-03:00 2016
04654db56df85f8669be7bd7dca4f993a8bcbd2b,b1ff475e,c3766d68,Tue Mar 01 00:00:00 GMT-03:00 2016
5b48dfa4e183a8240c815e434196f1010cf7ea3d,b7a7b09c,32eeaf3f,Thu Mar 17 00:00:00 GMT-03:00 2016
68ab7f3dd17a277cb4afc92750b8c2159591a4b7,e936b40a,b73a6973,Thu Jun 30 00:00:00 GMT-03:00 2016
59f91cdd802cc788ef0382b47db1aace555ae206,0c985574,b0c50c15,Thu Jul 07 00:00:00 GMT-03:00 2016
6d6f78f6ee85a0086cb9d21448e9a1ce8c13d9e2,59f91cdd,f3ead94b,Mon Aug 22 00:00:00 GMT-03:00 2016
1b89c2fa5070700175fdd066b43a2d7df15ec1e3,3c07e887,4d4b30b3,Tue Sep 06 00:00:00 GMT-03:00 2016
b71c5c3945b55d0814123951db28e818729f7abb,78a730fc,b2ea0a35,Thu Oct 13 00:00:00 GMT-03:00 2016
68b8c8b3435f465170a37325d7dab18bbf2108cd,89b6d0ea,b71c5c39,Fri Oct 21 00:00:00 GMT-03:00 2016
340b0063d668f056f0fe767c7192388d808a5af5,b441f5db,b6249261,Fri Feb 10 00:00:00 GMT-03:00 2017
536cc5bd4be6bc65154b767af10c5beae7ece038,aa66339a,3d0a7714,Tue Apr 04 00:00:00 GMT-03:00 2017
8926686c9f851e3083c1ff4bea8b89a3735d79c1,48c875e2,3e2dd8f2,Wed Apr 12 00:00:00 GMT-03:00 2017
ffbb4d5e73c082a4d83c99602235fdff955b3362,6f7c5d7c,19b3cff7,Thu May 11 00:00:00 GMT-03:00 2017
b471c1a3cf806ac5db304583a78061e2ff944347,90c8b876,8bd306f9,Mon Jul 03 00:00:00 GMT-03:00 2017
d5a07a78c93681ae68a1822b2a5579795bf6b8ea,8bd306f9,b471c1a3,Tue Jul 04 00:00:00 GMT-03:00 2017
15a7246d66bc6afb6cec2f99f873a966419a956c,d5aee555,38fcf24a,Tue Aug 22 00:00:00 GMT-03:00 2017
5a4708a8079b515399d498aa61336447531b90f8,020bea4d,c37d7113,Mon Oct 23 00:00:00 GMT-03:00 2017
d02b6d4c12734c8f6956a4fba61e05154113503d,9455ead3,5a4708a8,Mon Oct 23 00:00:00 GMT-03:00 2017
78c6428eeba8ac5d9fc266a556bdca498e3165cb,c37d7113,d02b6d4c,Wed Oct 25 00:00:00 GMT-03:00 2017
b86b892fc8d0cc1445e7a49ce646fbe3a5f9b890,c37d7113,e90d09b1,Wed Oct 25 00:00:00 GMT-03:00 2017
0d87f8bd9b4b40167795fa6201f417561c61d49f,78c6428e,b86b892f,Wed Oct 25 00:00:00 GMT-03:00 2017
