Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_4b39b-eea6c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ab8e0-f5ec6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ccd4c-56ca3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7b4e9-baa9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2efc1-06074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ac250-fadf9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cd432-3f1c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_60caa-2cb07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f2c7f-52cdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_15697-6d8de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_be4c1-ae8e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fba17-bfeae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_778c1-2242c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6800b-4b178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3418a-4d508,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_f78b8-7ea39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
rev_610a9-07762,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,0,0
rev_f3cc0-2bce3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cf96d-e6c5d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bda9b-1690a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e2220-fd9d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2e7b5-737b8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_68245-bdaf7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bd205-4d574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6ce88-c0ac3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2ef7c-941ae,1,0,0,0,1,6,8,0,2,0,0,0,0,0,3,0,0,0
rev_d665e-bf94f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e5a67-931e2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0
rev_71f62-0297f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
