parent1SHA;parent1BuildId;parent1BuildStatus;parent2SHA;parent2BuildId;parent2BuildStatus;mergeCommitSHA;mergeCommitBuildId;mergeCommitBuildStatus;repMergeCommitSHA;repMergeCommitBuildId;repMergeCommitBuildStatus
3418a2be;3;errored;4d508189;unknown;unknown;3b7fa254ad8db00a1a2a59d06e18921a0cc9be6c;2;errored;unknown;unknown;unknown
f78b80b5;5;errored;7ea396a7;unknown;unknown;e650d65c555fd13704ac72dda382bcac2bc6c6a4;4;errored;unknown;unknown;unknown
610a95c7;7;errored;07762cd7;unknown;unknown;a7755edc83d3907204093840a7c15d954120c926;6;errored;unknown;unknown;unknown
e5a6738c;unknown;unknown;931e29ca;unknown;unknown;71f622ce51031b152a0be6ad5facfb27a654bf5a;8;passed;unknown;unknown;unknown
784a32be;unknown;unknown;e60fd394;unknown;unknown;2b6c719c6645f8e48dca6d0047c752069d321bc4;9;passed;unknown;unknown;unknown
d9a5070e;unknown;unknown;0ec74bb5;unknown;unknown;42b12863b4110d3b32c004d7b2d6311b9249161a;10;passed;unknown;unknown;unknown
51cda416;unknown;unknown;269cc05c;unknown;unknown;7039283ab3b688c5af74404be76e7917688179ab;11;passed;unknown;unknown;unknown
d661a0e2;13;errored;674d0c6b;unknown;unknown;2b86c093ccfca1dd91394b331840613c2c3c2215;12;errored;unknown;unknown;unknown
4b969e91;unknown;unknown;a9c0512f;unknown;unknown;8effb8762ecd59fc288695de9ff7e1dfc9dfbe21;14;passed;unknown;unknown;unknown
dec2f1a6;unknown;unknown;8ceb21ec;unknown;unknown;e134cfd0fad5643b832ad9a37a336a8f7e019a17;15;passed;unknown;unknown;unknown
