Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_e79df-44cb4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
rev_98516-0bd37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_255dc-c398a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_203ee-0fce7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b854d-20ff9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d7857-ef96d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d357d-4d8fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b2d3a-11e26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e876c-7507c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b5e0b-a618e,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rev_7eb88-7b8df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a4daf-59cfe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3fac0-2b3ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ae0c5-73a75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_944b9-c4482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_23c1f-3ed0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2afbc-40aa5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_80717-ae3d4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_ae3d4-8297c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_09b36-7dc6c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_79f22-2621a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
