Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_f4c36-4bb6e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_67521-f9af1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6ae76-d35ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_89ddd-d39f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8ceeb-8c8bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ebe4b-13d1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_965a1-d7212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_294c3-5ad80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cf9c4-23fa5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_57409-5a88f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a7369-b058b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bf4f0-417d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_517d3-d1a7b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_422fb-ca470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_eebc0-b129a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9a99a-1e396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c1b35-55fb5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
