Merge,Parent1,Parent2,Date
9fbc9b2d723884af6ab71646853b107c3d3ca7e3,f4c36ab,4bb6e49,Fri Mar 30 00:00:00 GMT-03:00 2012
6ae769e35e8319747a702a4962df31650303a98e,6752167,f9af115,Thu Apr 05 00:00:00 GMT-03:00 2012
ed65d25697360f7cf038d1d1704bdd5c4f1fab7a,6ae769e,d35ef44,Wed Apr 11 00:00:00 GMT-03:00 2012
3f4189607c46a03b95ac2fe055d5605b0015b73d,89ddd13,d39f7ab,Fri Apr 27 00:00:00 GMT-03:00 2012
ebe4b0e7db3c74761b558ca283a1e4ec6f70b436,8ceebf2,8c8bcfc,Sun Apr 29 00:00:00 GMT-03:00 2012
965a1ecd3fb3c6175cce61dcb3a708481b710a21,ebe4b0e,13d1eae,Sun Apr 29 00:00:00 GMT-03:00 2012
294c3115d5bb31f610f90127c50c9becb852bc73,965a1ec,d721204,Mon Apr 30 00:00:00 GMT-03:00 2012
b35ea8d8ed814515da95115ae211bc92ce818ea2,294c311,5ad8059,Tue May 01 00:00:00 GMT-03:00 2012
2f553869950bad9d9a79ad4d8103ca6cea5d5210,cf9c4be,23fa594,Thu Jun 07 00:00:00 GMT-03:00 2012
f8448ee6f085ef5bc1bf7b3f84de122a91852ba9,57409b5,5a88fa3,Mon Sep 03 00:00:00 GMT-03:00 2012
bf4f0db34ab5524c53abb5708ef0c0fa8520ceb3,a736912,b058b68,Fri Sep 07 00:00:00 GMT-03:00 2012
517d3f6b21093d74eb5273488673efeacd5b6b69,bf4f0db,417d2e7,Thu Sep 13 00:00:00 GMT-03:00 2012
422fb2b299f28ac32de66f3cf129f6fce79578c8,517d3f6,d1a7b47,Thu Sep 13 00:00:00 GMT-03:00 2012
7b4fe73ba2b958627d838704ee6a706abd266301,422fb2b,ca470f8,Thu Sep 13 00:00:00 GMT-03:00 2012
b8ca4910f883dbc2759ba9ef494c591eb65e2521,eebc00f,b129a2c,Tue Oct 23 00:00:00 GMT-03:00 2012
c1b3561c5d4421ff7dfc2a9df2bfb15262b66369,9a99a44,1e39668,Fri Nov 09 00:00:00 GMT-03:00 2012
0ed1989b73dd0996e5644b89a1856608991b9134,c1b3561,55fb59c,Fri Nov 23 00:00:00 GMT-03:00 2012
78f57fb2203b9547034cde6f7d0bd5bd67a19d5c,0ed1989,85257fd,Mon Nov 26 00:00:00 GMT-03:00 2012
45cc91b50f3f13a50a15f69a261a6dfed4136f25,78f57fb,7b4ebc3,Sat Dec 15 00:00:00 GMT-03:00 2012
1453dfb94c1641a22f6665d516c7c1c7af4bbe75,479bfe6,0359c85,Thu Feb 07 00:00:00 GMT-03:00 2013
c9401eb62df5d98e7c0aef04719bed98cc18cf00,e7f578d,6eb9208,Fri Feb 22 00:00:00 GMT-03:00 2013
ad55e225a668facb367956b47d7230fd4d253413,86f12eb,9b6a5ec,Thu Mar 07 00:00:00 GMT-03:00 2013
cf6f10e3dfa9a7aedd82c5d8bb1862f498dc9717,ad55e22,a4851d8,Wed Jun 05 00:00:00 GMT-03:00 2013
7fca6d5c188e2a5102da4a162167697f241ab2c0,cafa2fd,f661af0,Fri Aug 23 00:00:00 GMT-03:00 2013
11dc6b1f541633a6432a41d258357f7fa483778c,7fca6d5,0fe6578,Fri Nov 22 00:00:00 GMT-03:00 2013
