Project,Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
acs-aem-commons,rev_d62f0-5f034,1,1,0,0,1,44,45,3,1,0,1,0,0,0,0,0,0,0
acs-aem-commons,rev_3ee9c-0d173,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
acs-aem-commons,rev_3e078-6b0aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_2fdd3-c2213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_c522f-16c47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_e89dd-d0f38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_b0fd0-90a0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_9e910-33175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_2e52f-21a43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_e01cc-270c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_e16ff-3c3bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_90968-a1d20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_3710d-f8eaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_071c6-e52ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_ff7d0-7bb91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_dc0d4-374e6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
